action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
i,10000,0,0,1,1,4.485159,1.601741,0.000000,0.000000
i,10000,0,0,2,1,2.460464,0.466371,0.307514,0.307514
i,10000,0,0,3,1,1.830614,0.152679,0.060658,0.030329
i,10000,0,0,4,1,1.665653,0.141521,0.054036,0.018012
i,10000,0,0,5,1,1.573620,0.138246,0.063928,0.015982
i,10000,0,0,6,1,1.524261,0.138888,0.064613,0.012923
i,10000,0,0,7,1,1.473054,0.139404,0.072461,0.012077
i,10000,0,0,8,1,1.499472,0.135598,0.075082,0.010726
i,10000,0,0,9,1,1.421875,0.135946,0.093813,0.011727
i,10000,0,0,10,1,1.445796,0.166628,0.098385,0.010932
i,10000,0,0,11,1,17.701504,16.431219,0.140484,0.014048
i,10000,0,0,12,1,1.432698,0.172215,0.523331,0.047576
i,10000,0,0,1,1,2.941468,0.102849,0.000000,0.000000
i,10000,0,0,2,1,2.179879,0.166780,0.040933,0.040933
i,10000,0,0,3,1,1.938013,0.148477,0.058477,0.029239
i,10000,0,0,4,1,1.666330,0.143884,0.056280,0.018760
i,10000,0,0,5,1,1.573541,0.139488,0.075982,0.018995
i,10000,0,0,6,1,1.516761,0.137895,0.068881,0.013776
i,10000,0,0,7,1,1.471213,0.134699,0.073749,0.012292
i,10000,0,0,8,1,1.454559,0.135106,0.076234,0.010891
i,10000,0,0,9,1,1.428638,0.134888,0.086754,0.010844
i,10000,0,0,10,1,1.445441,0.132759,0.081170,0.009019
i,10000,0,0,11,1,1.405401,0.134501,0.145752,0.014575
i,10000,0,0,12,1,1.393049,0.137585,0.119145,0.010831
i,10000,0,0,1,1,2.920176,0.085350,0.000000,0.000000
i,10000,0,0,2,1,2.193520,0.186075,0.039678,0.039678
i,10000,0,0,3,1,1.848027,0.150483,0.058042,0.029021
i,10000,0,0,4,1,1.704110,0.165845,0.054348,0.018116
i,10000,0,0,5,1,1.573949,0.139903,0.065820,0.016455
i,10000,0,0,6,1,1.558633,0.140760,0.069249,0.013850
i,10000,0,0,7,1,1.469831,0.134234,0.072216,0.012036
i,10000,0,0,8,1,1.464619,0.151713,0.077940,0.011134
i,10000,0,0,9,1,1.427751,0.134328,0.089361,0.011170
i,10000,0,0,10,1,1.415247,0.136663,0.108776,0.012086
i,10000,0,0,11,1,1.396956,0.137575,0.117339,0.011734
i,10000,0,0,12,1,1.378514,0.135623,0.131393,0.011945
i,10000,0,0,1,1,2.989550,0.118365,0.000000,0.000000
i,10000,0,0,2,1,43.854822,37.625010,0.041629,0.041629
i,10000,0,0,3,1,1.835437,0.150395,0.058909,0.029455
i,10000,0,0,4,1,1.680021,0.143509,0.057690,0.019230
i,10000,0,0,5,1,1.575473,0.140120,0.070294,0.017574
i,10000,0,0,6,1,1.563153,0.138724,0.069639,0.013928
i,10000,0,0,7,1,1.552906,0.139350,0.081775,0.013629
i,10000,0,0,8,1,1.450902,0.137021,0.081220,0.011603
i,10000,0,0,9,1,1.423849,0.137067,0.090224,0.011278
i,10000,0,0,10,1,1.408342,0.138716,0.107860,0.011984
i,10000,0,0,11,1,1.422106,0.138031,0.107114,0.010711
i,10000,0,0,12,1,21.162249,14.325143,0.128782,0.011707
i,10000,0,0,1,1,2.946550,0.111774,0.000000,0.000000
i,10000,0,0,2,1,2.149104,0.158997,0.040347,0.040347
i,10000,0,0,3,1,1.824443,0.148604,0.057555,0.028778
i,10000,0,0,4,1,1.665842,0.142013,0.059366,0.019789
i,10000,0,0,5,1,1.580274,0.138922,0.059788,0.014947
i,10000,0,0,6,1,1.508165,0.137186,0.072784,0.014557
i,10000,0,0,7,1,1.479253,0.149552,0.124714,0.020786
i,10000,0,0,8,1,1.437584,0.134987,0.087090,0.012441
i,10000,0,0,9,1,1.425267,0.135924,0.095703,0.011963
i,10000,0,0,10,1,1.413168,0.137295,0.106234,0.011804
i,10000,0,0,11,1,1.398120,0.141907,0.161732,0.016173
i,10000,0,0,12,1,1.373809,0.135541,0.108798,0.009891
i,10000,0,0,1,1,4.570894,1.666985,0.000000,0.000000
i,10000,0,0,2,1,2.147745,0.158270,0.039929,0.039929
i,10000,0,0,3,1,1.829392,0.152969,0.059249,0.029625
i,10000,0,0,4,1,1.667234,0.142515,0.060316,0.020105
