action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
i,10000,0,0,1,1,2.692561,0.056280,0.000000,0.000000
i,10000,0,0,1,2,2.728013,0.095906,0.000000,0.000000
i,10000,0,0,1,3,2.697415,0.069062,0.000000,0.000000
i,10000,0,0,1,4,2.708024,0.080470,0.000000,0.000000
i,10000,0,0,1,5,2.697741,0.069093,0.000000,0.000000
i,10000,0,0,1,6,2.700177,0.069694,0.000000,0.000000
i,10000,0,0,1,7,2.702966,0.069943,0.000000,0.000000
i,10000,0,0,1,8,2.699515,0.069250,0.000000,0.000000
i,10000,0,0,1,9,2.698858,0.071347,0.000000,0.000000
i,10000,0,0,1,10,2.701901,0.068679,0.000000,0.000000
i,10000,0,0,1,11,2.698668,0.067593,0.000000,0.000000
i,10000,0,0,1,12,2.697499,0.068097,0.000000,0.000000
i,10000,0,0,1,13,2.697842,0.068451,0.000000,0.000000
i,10000,0,0,1,14,2.699911,0.068042,0.000000,0.000000
i,10000,0,0,1,15,2.708339,0.071901,0.000000,0.000000
i,10000,0,0,1,16,2.699618,0.068894,0.000000,0.000000
i,10000,0,0,1,17,2.700408,0.068229,0.000000,0.000000
i,10000,0,0,1,18,2.700964,0.067844,0.000000,0.000000
i,10000,0,0,1,19,2.702648,0.068204,0.000000,0.000000
i,10000,0,0,1,20,2.701786,0.067480,0.000000,0.000000
i,10000,0,0,1,21,2.711300,0.071505,0.000000,0.000000
i,10000,0,0,1,22,2.702542,0.068008,0.000000,0.000000
i,10000,0,0,1,23,2.701588,0.068506,0.000000,0.000000
i,10000,0,0,1,24,2.703997,0.067664,0.000000,0.000000
i,10000,0,0,1,25,2.700746,0.067332,0.000000,0.000000
i,10000,0,0,1,26,2.702400,0.067720,0.000000,0.000000
i,10000,0,0,1,27,2.702521,0.068207,0.000000,0.000000
i,10000,0,0,1,28,2.703716,0.067729,0.000000,0.000000
i,10000,0,0,1,29,2.706976,0.069311,0.000000,0.000000
i,10000,0,0,1,30,2.704954,0.068134,0.000000,0.000000
i,10000,0,0,1,31,2.707391,0.068499,0.000000,0.000000
i,10000,0,0,1,32,2.706298,0.068604,0.000000,0.000000
i,10000,0,0,1,33,2.705897,0.068388,0.000000,0.000000
i,10000,0,0,1,34,2.931252,0.283581,0.000000,0.000000
i,10000,0,0,1,35,2.705292,0.068204,0.000000,0.000000
i,10000,0,0,1,36,2.707153,0.069636,0.000000,0.000000
i,10000,0,0,1,37,2.707177,0.068864,0.000000,0.000000
i,10000,0,0,1,38,2.709202,0.068721,0.000000,0.000000
i,10000,0,0,1,39,2.709116,0.068960,0.000000,0.000000
i,10000,0,0,1,40,2.712139,0.069526,0.000000,0.000000
i,10000,0,0,1,41,2.710020,0.068685,0.000000,0.000000
i,10000,0,0,1,42,2.711972,0.068911,0.000000,0.000000
i,10000,0,0,1,43,2.712977,0.069052,0.000000,0.000000
i,10000,0,0,1,44,2.713115,0.069075,0.000000,0.000000
i,10000,0,0,1,45,2.715547,0.069507,0.000000,0.000000
i,10000,0,0,1,46,2.714449,0.068706,0.000000,0.000000
i,10000,0,0,1,47,2.716413,0.069325,0.000000,0.000000
i,10000,0,0,1,48,2.715718,0.069381,0.000000,0.000000
i,10000,0,0,1,49,2.717145,0.068774,0.000000,0.000000
i,10000,0,0,1,50,2.715930,0.068858,0.000000,0.000000
i,10000,0,0,1,51,2.714961,0.068446,0.000000,0.000000
i,10000,0,0,1,52,2.716573,0.067155,0.000000,0.000000
i,10000,0,0,1,53,2.753890,0.068691,0.000000,0.000000
i,10000,0,0,1,54,2.719309,0.068700,0.000000,0.000000
i,10000,0,0,1,55,2.717841,0.068202,0.000000,0.000000
i,10000,0,0,1,56,2.717449,0.068744,0.000000,0.000000
i,10000,0,0,1,57,2.720244,0.068722,0.000000,0.000000
i,10000,0,0,1,58,2.723008,0.068372,0.000000,0.000000
i,10000,0,0,1,59,2.758278,0.068641,0.000000,0.000000
i,10000,0,0,1,60,2.721529,0.068216,0.000000,0.000000
i,10000,0,0,1,61,2.724690,0.069459,0.000000,0.000000
i,10000,0,0,1,62,2.724902,0.068994,0.000000,0.000000
i,10000,0,0,1,63,2.724029,0.067480,0.000000,0.000000
i,10000,0,0,1,64,2.722521,0.068431,0.000000,0.000000
i,1000,0,0,1,1,1.060576,0.003237,0.000000,0.000000
i,1000,0,0,1,2,1.053165,0.003015,0.000000,0.000000
i,1000,0,0,1,3,1.053000,0.002838,0.000000,0.000000
i,1000,0,0,1,4,1.052874,0.002600,0.000000,0.000000
i,1000,0,0,1,5,1.053243,0.002829,0.000000,0.000000
i,1000,0,0,1,6,1.051478,0.002898,0.000000,0.000000
i,1000,0,0,1,7,1.054112,0.003164,0.000000,0.000000
i,1000,0,0,1,8,1.074360,0.022245,0.000000,0.000000
i,1000,0,0,1,9,1.053022,0.002598,0.000000,0.000000
i,1000,0,0,1,10,1.053100,0.002868,0.000000,0.000000
i,1000,0,0,1,11,1.053657,0.002921,0.000000,0.000000
i,1000,0,0,1,12,1.053554,0.003397,0.000000,0.000000
i,1000,0,0,1,13,1.052293,0.002764,0.000000,0.000000
i,1000,0,0,1,14,1.053997,0.002785,0.000000,0.000000
i,1000,0,0,1,15,1.053440,0.002732,0.000000,0.000000
i,1000,0,0,1,16,1.063324,0.002922,0.000000,0.000000
i,1000,0,0,1,17,1.053289,0.002883,0.000000,0.000000
i,1000,0,0,1,18,1.053414,0.002852,0.000000,0.000000
i,1000,0,0,1,19,1.053405,0.002783,0.000000,0.000000
