action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,15000,100,100000,1,64,8.875993,0.759651,0.000000,0.000000
e1,15000,100,100000,1,63,8.453231,0.230203,0.000000,0.000000
e1,15000,100,100000,1,62,8.537780,0.222693,0.000000,0.000000
e1,15000,100,100000,1,61,8.615213,0.217282,0.000000,0.000000
e1,15000,100,100000,1,60,8.715885,0.224385,0.000000,0.000000
e1,15000,100,100000,1,59,8.824031,0.228610,0.000000,0.000000
e1,15000,100,100000,1,58,8.925874,0.222248,0.000000,0.000000
e1,15000,100,100000,1,57,9.045539,0.231492,0.000000,0.000000
e1,15000,100,100000,1,56,9.177401,0.215067,0.000000,0.000000
e1,15000,100,100000,1,55,9.270215,0.216055,0.000000,0.000000
e1,15000,100,100000,1,54,9.397742,0.213833,0.000000,0.000000
e1,15000,100,100000,1,53,9.603930,0.279236,0.000000,0.000000
e1,15000,100,100000,1,52,9.728507,0.226988,0.000000,0.000000
