action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,1000,100,100000,2,1,2.731188,0.040760,0.008993,0.008993
e1,1000,100,100000,2,2,2.695541,0.011275,0.007547,0.007547
e1,1000,100,100000,2,3,2.695608,0.012865,0.009872,0.009872
e1,1000,100,100000,2,4,2.688561,0.012419,0.008594,0.008594
e1,1000,100,100000,2,5,2.686349,0.017212,0.006883,0.006883
e1,1000,100,100000,2,6,2.701218,0.017567,0.006962,0.006962
e1,1000,100,100000,2,7,2.684174,0.012986,0.009378,0.009378
e1,1000,100,100000,2,8,2.692821,0.010747,0.007366,0.007366
e1,1000,100,100000,2,9,2.680362,0.010662,0.007231,0.007231
e1,1000,100,100000,2,10,2.700095,0.017063,0.006795,0.006795
e1,1000,100,100000,2,11,2.693619,0.010854,0.006941,0.006941
e1,1000,100,100000,2,12,2.680646,0.010465,0.006951,0.006951
