m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.037193326,0.037193,430.184706
2500,2500,2500,0.054117085,0.054117,577.451650
3000,3000,3000,0.074141434,0.074141,728.337680
3500,3500,3500,0.125627296,0.125627,682.574590
4000,4000,4000,0.169940042,0.169940,753.206828
4500,4500,4500,0.272109195,0.272109,669.767885
5000,5000,5000,0.371884555,0.371885,672.251635
5500,5500,5500,0.495001426,0.495001,672.220286
6000,6000,6000,0.642954849,0.642955,671.897880
6500,6500,6500,0.773881149,0.773881,709.734306
7000,7000,7000,0.980135885,0.980136,699.902953
7500,7500,7500,1.116774808,1.116775,755.523848
8000,8000,8000,1.314750079,1.314750,778.855249
8500,8500,8500,1.529992718,1.529993,802.781599
9000,9000,9000,1.796893027,1.796893,811.400555
9500,9500,9500,2.011079947,2.011080,852.651334
10000,10000,10000,2.428039622,2.428040,823.709787
10500,10500,10500,2.666553134,2.666553,868.255716
11000,11000,11000,2.837978021,2.837978,937.991760
11500,11500,11500,3.280661401,3.280661,927.175843
12000,12000,12000,3.752098274,3.752098,921.084617
12500,12500,12500,4.160144598,4.160145,938.969766
13000,13000,13000,4.590264171,4.590264,957.243382
13500,13500,13500,4.899703237,4.899703,1004.295518
14000,14000,14000,4.461767395,4.461767,1230.005851
14500,14500,14500,5.898907903,5.898908,1033.623528
15000,15000,15000,6.467696997,6.467697,1043.648149
15500,15500,15500,6.873334415,6.873334,1083.571604
16000,16000,16000,7.745636882,7.745637,1057.627684
16500,16500,16500,10.360770466,10.360770,867.141110
17000,17000,17000,11.338976971,11.338977,866.568477
17500,17500,17500,12.611242727,12.611243,849.936064
18000,18000,18000,13.577241027,13.577241,859.084697
18500,18500,18500,14.096842585,14.096843,898.303994
19000,19000,19000,15.722975130,15.722975,872.481187
19500,19500,19500,14.432515895,14.432516,1027.523552
20000,20000,20000,15.354997582,15.354998,1042.006025
2000,2000,2000,0.036201501,0.036202,441.970624
2500,2500,2500,0.055174537,0.055175,566.384454
3000,3000,3000,0.073123301,0.073123,738.478696
3500,3500,3500,0.109068591,0.109069,786.202510
4000,4000,4000,0.168587947,0.168588,759.247635
4500,4500,4500,0.270088809,0.270089,674.778051
5000,5000,5000,0.417762088,0.417762,598.426729
5500,5500,5500,0.493726334,0.493726,673.956354
6000,6000,6000,0.634740038,0.634740,680.593588
6500,6500,6500,0.781317015,0.781317,702.979699
7000,7000,7000,0.943303855,0.943304,727.231206
7500,7500,7500,1.155512683,1.155513,730.195360
8000,8000,8000,1.318668136,1.318668,776.541096
8500,8500,8500,1.530734560,1.530735,802.392545
9000,9000,9000,1.759044711,1.759045,828.858977
9500,9500,9500,2.035277992,2.035278,842.513901
10000,10000,10000,2.407072480,2.407072,830.884827
10500,10500,10500,2.677099310,2.677099,864.835306
11000,11000,11000,2.930772632,2.930773,908.292909
11500,11500,11500,3.283088082,3.283088,926.490525
12000,12000,12000,3.679413103,3.679413,939.280234
12500,12500,12500,4.042081835,4.042082,966.395575
13000,13000,13000,4.575258221,4.575258,960.382953
13500,13500,13500,4.130811123,4.130811,1191.230936
14000,14000,14000,5.501876665,5.501877,997.477831
14500,14500,14500,6.029194105,6.029194,1011.287727
15000,15000,15000,6.626559462,6.626559,1018.628149
15500,15500,15500,6.484739950,6.484740,1148.504035
16000,16000,16000,7.675932309,7.675932,1067.231923
16500,16500,16500,10.268236680,10.268237,874.955485
17000,17000,17000,10.805338712,10.805339,909.365293
17500,17500,17500,12.393254510,12.393255,864.885813
18000,18000,18000,13.302261677,13.302262,876.843373
18500,18500,18500,14.749805939,14.749806,858.536719
19000,19000,19000,14.888252921,14.888253,921.397566
19500,19500,19500,14.669209543,14.669210,1010.944043
20000,20000,20000,15.675300720,15.675301,1020.714070
2000,2000,2000,0.036275593,0.036276,441.067910
2500,2500,2500,0.053729074,0.053729,581.621786
3000,3000,3000,0.075044720,0.075045,719.570944
3500,3500,3500,0.111775065,0.111775,767.165736
4000,4000,4000,0.167573689,0.167574,763.843064
4500,4500,4500,0.277496867,0.277497,656.764172
5000,5000,5000,0.389265016,0.389265,642.235982
5500,5500,5500,0.504728392,0.504728,659.265469
6000,6000,6000,0.640189344,0.640189,674.800360
6500,6500,6500,0.763407522,0.763408,719.471559
7000,7000,7000,0.931088882,0.931089,736.771766
7500,7500,7500,1.149867956,1.149868,733.779905
8000,8000,8000,1.334458538,1.334459,767.352429
8500,8500,8500,1.548312518,1.548313,793.283001
9000,9000,9000,1.753534174,1.753534,831.463693
9500,9500,9500,2.003164117,2.003164,856.020725
10000,10000,10000,2.332141461,2.332141,857.580912
10500,10500,10500,2.695560498,2.695560,858.912275
11000,11000,11000,2.897258295,2.897258,918.799682
11500,11500,11500,3.447930544,3.447931,882.195845
12000,12000,12000,3.638327259,3.638327,949.887065
12500,12500,12500,4.227542976,4.227543,924.000069
13000,13000,13000,4.622277482,4.622277,950.613635
13500,13500,13500,4.969164985,4.969165,990.256917
14000,14000,14000,5.450049202,5.450049,1006.963386
14500,14500,14500,6.126326114,6.126326,995.253907
15000,15000,15000,6.593813613,6.593814,1023.686806
15500,15500,15500,7.148712228,7.148712,1041.830999
16000,16000,16000,7.815559430,7.815559,1048.165531
16500,16500,16500,10.302251941,10.302252,872.066617
17000,17000,17000,11.408376575,11.408377,861.296955
17500,17500,17500,12.576562583,12.576563,852.279781
18000,18000,18000,13.676396786,13.676397,852.856215
18500,18500,18500,14.611095078,14.611095,866.687263
19000,19000,19000,15.749512209,15.749512,871.011103
19500,19500,19500,13.907224825,13.907225,1066.334239
20000,20000,20000,15.960302001,15.960302,1002.487296
2000,2000,2000,0.035168007,0.035168,454.958963
2500,2500,2500,0.055142635,0.055143,566.712128
3000,3000,3000,0.074052600,0.074053,729.211398
3500,3500,3500,0.108254660,0.108255,792.113707
4000,4000,4000,0.174443586,0.174444,733.761573
4500,4500,4500,0.272512995,0.272513,668.775447
5000,5000,5000,0.429680085,0.429680,581.828222
5500,5500,5500,0.509617568,0.509618,652.940599
6000,6000,6000,0.626894450,0.626894,689.111221
6500,6500,6500,0.776631650,0.776632,707.220727
7000,7000,7000,0.967052407,0.967052,709.372103
7500,7500,7500,1.168183704,1.168184,722.275099
8000,8000,8000,1.319624286,1.319624,775.978444
8500,8500,8500,1.545455273,1.545455,794.749626
9000,9000,9000,1.791957066,1.791957,813.635565
9500,9500,9500,2.013840783,2.013841,851.482408
10000,10000,10000,2.425206175,2.425206,824.672154
10500,10500,10500,2.573486773,2.573487,899.654906
11000,11000,11000,2.918276093,2.918276,912.182369
11500,11500,11500,3.406961202,3.406961,892.804414
12000,12000,12000,3.788484825,3.788485,912.238048
12500,12500,12500,4.104812844,4.104813,951.626822
13000,13000,13000,4.607187224,4.607187,953.727250
13500,13500,13500,4.914195830,4.914196,1001.333722
14000,14000,14000,5.457031847,5.457032,1005.674908
14500,14500,14500,5.968887729,5.968888,1021.505225
15000,15000,15000,6.617822525,6.617823,1019.972956
15500,15500,15500,7.208830786,7.208831,1033.142575
16000,16000,16000,7.720185497,7.720185,1061.114400
16500,16500,16500,10.294822957,10.294823,872.695921
17000,17000,17000,10.777697953,10.777698,911.697474
17500,17500,17500,12.213607823,12.213608,877.607187
18000,18000,18000,13.664815686,13.664816,853.579021
18500,18500,18500,14.569275019,14.569275,869.175026
19000,19000,19000,14.685148015,14.685148,934.141078
19500,19500,19500,14.951196891,14.951197,991.877112
20000,20000,20000,14.949435965,14.949436,1070.274493
2000,2000,2000,0.038214898,0.038215,418.684880
2500,2500,2500,0.053419682,0.053420,584.990379
3000,3000,3000,0.075827357,0.075827,712.144035
3500,3500,3500,0.109135501,0.109136,785.720496
4000,4000,4000,0.171006702,0.171007,748.508675
4500,4500,4500,0.278242772,0.278243,655.003538
5000,5000,5000,0.374988391,0.374988,666.687306
5500,5500,5500,0.498632562,0.498633,667.325051
6000,6000,6000,0.631855629,0.631856,683.700485
6500,6500,6500,0.755608610,0.755609,726.897487
7000,7000,7000,0.969086504,0.969087,707.883143
7500,7500,7500,1.133045742,1.133046,744.674260
8000,8000,8000,1.331027071,1.331027,769.330709
8500,8500,8500,1.551252378,1.551252,791.779608
9000,9000,9000,1.778002373,1.778002,820.021403
9500,9500,9500,1.991395382,1.991395,861.079631
10000,10000,10000,2.017713130,2.017713,991.221185
10500,10500,10500,2.698380920,2.698381,858.014516
11000,11000,11000,2.940795995,2.940796,905.197098
11500,11500,11500,3.419807723,3.419808,889.450591
12000,12000,12000,3.796511891,3.796512,910.309278
12500,12500,12500,4.123820403,4.123820,947.240573
13000,13000,13000,4.276761718,4.276762,1027.412863
13500,13500,13500,4.862925277,4.862925,1011.890934
14000,14000,14000,5.583017248,5.583017,982.981022
14500,14500,14500,5.704518071,5.704518,1068.845768
15000,15000,15000,6.624275279,6.624275,1018.979393
15500,15500,15500,7.234807697,7.234808,1029.433029
16000,16000,16000,7.614662981,7.614663,1075.819116
16500,16500,16500,10.194543276,10.194543,881.280285
17000,17000,17000,11.334338063,11.334338,866.923145
17500,17500,17500,12.342818271,12.342818,868.419980
18000,18000,18000,13.699206615,13.699207,851.436169
18500,18500,18500,14.528400102,14.528400,871.620406
19000,19000,19000,15.606872413,15.606872,878.971753
19500,19500,19500,14.814731912,14.814732,1001.013727
20000,20000,20000,16.236213319,16.236213,985.451453
2000,2000,2000,0.036527097,0.036527,438.030977
2500,2500,2500,0.054688399,0.054688,571.419178
3000,3000,3000,0.072328393,0.072328,746.594771
3500,3500,3500,0.110071585,0.110072,779.038478
4000,4000,4000,0.166200272,0.166200,770.155178
4500,4500,4500,0.272782870,0.272783,668.113801
5000,5000,5000,0.374810155,0.374810,667.004340
5500,5500,5500,0.504672678,0.504673,659.338249
6000,6000,6000,0.620317206,0.620317,696.417890
6500,6500,6500,0.795578582,0.795579,690.378062
7000,7000,7000,0.949626956,0.949627,722.388929
7500,7500,7500,1.128148914,1.128149,747.906584
8000,8000,8000,1.314936539,1.314937,778.744806
8500,8500,8500,1.554977851,1.554978,789.882634
9000,9000,9000,1.763676680,1.763677,826.682133
9500,9500,9500,1.984870248,1.984870,863.910375
10000,10000,10000,2.532615329,2.532615,789.697502
10500,10500,10500,2.534869234,2.534869,913.360724
11000,11000,11000,2.968296878,2.968297,896.810565
11500,11500,11500,3.332875693,3.332876,912.650300
12000,12000,12000,3.684515452,3.684515,937.979510
12500,12500,12500,4.258690652,4.258691,917.242016
13000,13000,13000,4.567822625,4.567823,961.946284
13500,13500,13500,4.853958874,4.853959,1013.760134
14000,14000,14000,5.326687061,5.326687,1030.283915
14500,14500,14500,6.052507909,6.052508,1007.392323
15000,15000,15000,6.625138512,6.625139,1018.846623
15500,15500,15500,7.174189397,7.174189,1038.131221
16000,16000,16000,7.685511011,7.685511,1065.901797
16500,16500,16500,10.257930980,10.257931,875.834515
17000,17000,17000,10.768107598,10.768108,912.509455
17500,17500,17500,12.334262333,12.334262,869.022379
18000,18000,18000,13.731725149,13.731725,849.419856
18500,18500,18500,14.729521358,14.729521,859.719043
19000,19000,19000,15.716073346,15.716073,872.864341
19500,19500,19500,14.570214624,14.570215,1017.812735
20000,20000,20000,16.130776517,16.130777,991.892733
2000,2000,2000,0.037345237,0.037345,428.434823
2500,2500,2500,0.054762718,0.054763,570.643700
3000,3000,3000,0.072680735,0.072681,742.975425
3500,3500,3500,0.108364153,0.108364,791.313341
4000,4000,4000,0.170877774,0.170878,749.073428
4500,4500,4500,0.271489862,0.271490,671.295785
5000,5000,5000,0.397397297,0.397397,629.093358
5500,5500,5500,0.498661327,0.498661,667.286557
6000,6000,6000,0.643366232,0.643366,671.468253
6500,6500,6500,0.788414164,0.788414,696.651614
7000,7000,7000,0.951680129,0.951680,720.830434
7500,7500,7500,1.153870866,1.153871,731.234339
8000,8000,8000,1.344407502,1.344408,761.673822
8500,8500,8500,1.548325988,1.548326,793.276099
9000,9000,9000,1.789571534,1.789572,814.720156
9500,9500,9500,2.157186627,2.157187,794.901089
10000,10000,10000,2.304691724,2.304692,867.795020
10500,10500,10500,2.641190283,2.641190,876.593411
11000,11000,11000,2.960539065,2.960539,899.160572
11500,11500,11500,3.400734403,3.400734,894.439153
12000,12000,12000,3.786858219,3.786858,912.629890
12500,12500,12500,4.289161238,4.289161,910.725847
13000,13000,13000,3.829367837,3.829368,1147.447878
13500,13500,13500,4.879205362,4.879205,1008.514632
14000,14000,14000,5.541093272,5.541093,990.418268
14500,14500,14500,6.132579530,6.132580,994.239043
15000,15000,15000,6.601238724,6.601239,1022.535358
15500,15500,15500,7.124107516,7.124108,1045.429197
16000,16000,16000,7.657068073,7.657068,1069.861195
16500,16500,16500,10.394753203,10.394753,864.306235
17000,17000,17000,10.849266553,10.849267,905.683343
17500,17500,17500,12.445033867,12.445034,861.287331
18000,18000,18000,13.511941857,13.511942,863.236397
18500,18500,18500,14.490117748,14.490118,873.923195
19000,19000,19000,15.639446511,15.639447,877.141016
19500,19500,19500,15.119221411,15.119221,980.854080
20000,20000,20000,16.238135558,16.238136,985.334797
2000,2000,2000,0.048715613,0.048716,328.436799
2500,2500,2500,0.054879254,0.054879,569.431939
3000,3000,3000,0.071825853,0.071826,751.818430
3500,3500,3500,0.108919698,0.108920,787.277247
4000,4000,4000,0.174720949,0.174721,732.596753
4500,4500,4500,0.274382968,0.274383,664.217613
5000,5000,5000,0.376899081,0.376899,663.307534
5500,5500,5500,0.496482949,0.496483,670.214356
6000,6000,6000,0.632894289,0.632894,682.578446
6500,6500,6500,0.785959266,0.785959,698.827565
7000,7000,7000,0.941969496,0.941969,728.261375
7500,7500,7500,1.121995519,1.121996,752.008351
8000,8000,8000,1.319401413,1.319401,776.109522
8500,8500,8500,1.548347562,1.548348,793.265046
9000,9000,9000,1.763685998,1.763686,826.677766
9500,9500,9500,2.028193974,2.028194,845.456609
10000,10000,10000,2.424437268,2.424437,824.933698
10500,10500,10500,2.662556691,2.662557,869.558950
11000,11000,11000,2.888822092,2.888822,921.482845
11500,11500,11500,3.349663587,3.349664,908.076265
12000,12000,12000,3.769699471,3.769699,916.783958
12500,12500,12500,4.217314656,4.217315,926.241061
13000,13000,13000,3.819978781,3.819979,1150.268170
13500,13500,13500,4.880046831,4.880047,1008.340733
14000,14000,14000,5.483444346,5.483444,1000.830802
14500,14500,14500,6.058306188,6.058306,1006.428168
15000,15000,15000,6.619498265,6.619498,1019.714747
15500,15500,15500,7.059032952,7.059033,1055.066615
16000,16000,16000,7.670857722,7.670858,1067.937941
16500,16500,16500,10.210696306,10.210696,879.886124
17000,17000,17000,11.246965681,11.246966,873.657863
17500,17500,17500,12.532516091,12.532516,855.275184
18000,18000,18000,13.674944371,13.674944,852.946797
18500,18500,18500,14.395828016,14.395828,879.647213
19000,19000,19000,15.926956993,15.926957,861.307028
19500,19500,19500,14.152903099,14.152903,1047.823891
20000,20000,20000,15.737392209,15.737392,1016.686868
2000,2000,2000,0.037378218,0.037378,428.056790
2500,2500,2500,0.054621344,0.054621,572.120671
