action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e0,10000,100,1,64,1,270.995754,15.978019,59.356703,0.942170
e0,10000,100,1,63,1,270.440500,26.490147,84.624268,1.364908
e0,10000,100,1,62,1,264.656729,16.337067,55.334808,0.907128
e0,10000,100,1,61,1,256.862556,13.630292,92.862466,1.547708
e0,10000,100,1,60,1,272.178977,30.431090,106.438767,1.804047
e0,10000,100,1,59,1,255.439172,14.809521,98.381992,1.696241
e0,10000,100,1,58,1,252.670945,13.380809,89.533706,1.570767
e0,10000,100,1,57,1,254.141198,13.031873,106.067638,1.894065
e0,10000,100,1,56,1,252.865539,13.674749,79.854476,1.451900
e0,10000,100,1,55,1,252.064533,13.146115,73.197812,1.355515
e0,10000,100,1,54,1,249.328200,12.863698,94.876682,1.790126
e0,10000,100,1,53,1,254.602189,17.958068,337.924331,6.498545
e0,10000,100,1,52,1,247.526041,13.636355,71.814579,1.408129
e0,10000,100,1,51,1,247.010028,12.950622,92.660417,1.853208
e0,10000,100,1,50,1,245.479974,13.463545,87.358850,1.782834
e0,10000,100,1,49,1,244.194812,13.107251,82.064319,1.709673
e0,10000,100,1,48,1,244.128882,13.862047,81.529102,1.734662
e0,10000,100,1,47,1,244.521497,14.471977,90.538251,1.968223
e0,10000,100,1,46,1,241.273083,13.460008,76.310498,1.695789
e0,10000,100,1,45,1,240.960971,13.265108,49.035866,1.114452
e0,10000,100,1,44,1,238.598452,12.894201,55.078629,1.280898
e0,10000,100,1,43,1,239.118623,14.004440,70.349058,1.674978
e0,10000,100,1,42,1,237.328998,12.816677,63.540364,1.549765
e0,10000,100,1,41,1,235.714145,12.692658,49.472074,1.236802
e0,10000,100,1,40,1,237.061021,13.865831,85.484543,2.191911
e0,10000,100,1,39,1,249.631517,25.323339,44.179241,1.162612
e0,10000,100,1,38,1,237.097222,13.684812,79.064272,2.136872
e0,10000,100,1,37,1,236.400685,12.647272,55.813823,1.550384
