action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,30000,100,100000,13,1,232.452651,2.789010,20.516766,1.709731
e1,30000,100,100000,14,1,216.703506,2.539395,18.900321,1.453871
e1,30000,100,100000,15,1,202.324365,2.457023,18.993781,1.356699
e1,30000,100,100000,16,1,190.039596,2.367651,18.710398,1.247360
e1,30000,100,100000,17,1,178.419105,2.313476,19.485594,1.217850
e1,30000,100,100000,18,1,169.188408,2.330152,21.057620,1.238684
e1,30000,100,100000,19,1,160.285058,2.298217,21.208356,1.178242
e1,30000,100,100000,20,1,154.027888,2.197994,20.925539,1.101344
e1,30000,100,100000,21,1,154.491061,2.480445,27.770226,1.388511
e1,30000,100,100000,22,1,141.285493,2.243274,24.307258,1.157488
e1,30000,100,100000,23,1,133.579190,2.182524,23.876857,1.085312
e1,30000,100,100000,25,1,129.122581,4.363739,25.862526,1.077605
e1,30000,100,100000,26,1,151.260413,7.405351,31.569593,1.262784
e1,30000,100,100000,27,1,120.754154,7.815066,30.127349,1.158744
e1,30000,100,100000,28,1,120.230311,10.769667,33.838618,1.253282
e1,30000,100,100000,29,1,119.125424,13.446140,26.895328,0.960547
e1,30000,100,100000,30,1,111.972716,8.016774,31.409700,1.083093
e1,30000,100,100000,31,1,121.614384,21.766940,58.333955,1.944465
e1,30000,100,100000,32,1,122.989946,24.039372,34.120639,1.100666
e1,30000,100,100000,33,1,139.829987,33.273503,36.622903,1.144466
e1,30000,100,100000,34,1,131.155420,34.113464,59.799051,1.812092
e1,30000,100,100000,36,1,124.762707,33.799253,60.423536,1.726387
e1,30000,100,100000,37,1,116.129559,33.135355,42.842072,1.190058
e1,30000,100,100000,39,1,111.099250,15.648150,40.698794,1.071021
e1,30000,100,100000,40,1,128.518958,34.149421,45.294719,1.161403
e1,30000,100,100000,48,1,105.811118,34.780529,59.108083,1.257619
e1,30000,100,100000,49,1,99.856600,32.942667,65.643972,1.367583
e1,30000,100,100000,50,1,109.741806,34.793447,51.480024,1.050613
e1,30000,100,100000,53,1,98.096909,35.865484,71.024730,1.365860
e1,30000,100,100000,54,1,90.126388,33.350786,59.538692,1.123372
e1,30000,100,100000,55,1,91.102258,35.179739,55.986935,1.036795
e1,30000,100,100000,56,1,84.652898,29.828875,62.710291,1.140187
e1,30000,100,100000,57,1,70.015992,16.366751,64.378428,1.149615
e1,30000,100,100000,58,1,68.254387,15.427753,65.014806,1.140611
e1,30000,100,100000,59,1,67.816820,15.463654,65.422627,1.127976
e1,30000,100,100000,60,1,69.842849,18.929576,63.041835,1.068506
e1,30000,100,100000,61,1,65.382967,15.153047,68.390251,1.139838
e1,30000,100,100000,62,1,66.060738,16.784313,63.093061,1.034312
e1,30000,100,100000,63,1,64.446348,15.825914,75.800535,1.222589
e1,30000,100,100000,64,1,63.941587,16.209964,86.930628,1.379851
e1,30000,100,100000,65,1,62.871529,15.940851,61.953434,0.968022
e1,30000,100,100000,66,1,82.502007,36.227985,61.360704,0.944011
e1,30000,100,100000,67,1,81.474430,35.644297,66.474140,1.007184
e1,30000,100,100000,68,1,81.525108,36.275017,76.186863,1.137117
e1,30000,100,100000,69,1,80.631750,36.401073,72.874096,1.071678
e1,30000,100,100000,70,1,81.849515,38.146548,80.344142,1.164408
e1,30000,100,100000,71,1,77.334641,34.426645,80.622262,1.151747
e1,30000,100,100000,72,1,79.643502,37.211236,129.468436,1.823499
e1,30000,100,100000,13,1,231.833969,2.131528,12.517451,1.043121
