action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,15000,100,100000,1,64,8.686187,0.588028,0.000000,0.000000
e1,15000,100,100000,1,63,8.531439,0.215583,0.000000,0.000000
e1,15000,100,100000,1,62,8.556671,0.217330,0.000000,0.000000
e1,15000,100,100000,1,61,8.671533,0.216486,0.000000,0.000000
e1,15000,100,100000,1,60,8.824558,0.223436,0.000000,0.000000
e1,15000,100,100000,1,59,8.919392,0.220800,0.000000,0.000000
e1,15000,100,100000,1,58,9.060018,0.214019,0.000000,0.000000
e1,15000,100,100000,1,57,9.195293,0.223551,0.000000,0.000000
e1,15000,100,100000,1,56,9.321380,0.215129,0.000000,0.000000
e1,15000,100,100000,1,55,9.547511,0.217751,0.000000,0.000000
e1,15000,100,100000,1,54,9.746706,0.216209,0.000000,0.000000
e1,15000,100,100000,1,53,9.887901,0.213546,0.000000,0.000000
e1,15000,100,100000,1,52,10.046651,0.219283,0.000000,0.000000
e1,15000,100,100000,1,51,10.076845,0.222979,0.000000,0.000000
e1,15000,100,100000,1,50,10.352517,0.211224,0.000000,0.000000
e1,15000,100,100000,1,49,10.537010,0.214683,0.000000,0.000000
e1,15000,100,100000,1,48,10.789330,0.210857,0.000000,0.000000
e1,15000,100,100000,1,47,10.902828,0.232553,0.000000,0.000000
e1,15000,100,100000,1,46,11.160164,0.215805,0.000000,0.000000
e1,15000,100,100000,1,45,11.366803,0.215593,0.000000,0.000000
e1,15000,100,100000,1,44,11.593032,0.212509,0.000000,0.000000
e1,15000,100,100000,1,43,11.764941,0.212508,0.000000,0.000000
e1,15000,100,100000,1,42,12.042921,0.218444,0.000000,0.000000
e1,15000,100,100000,1,41,12.239051,0.210029,0.000000,0.000000
e1,15000,100,100000,1,40,12.482100,0.210522,0.000000,0.000000
e1,15000,100,100000,1,39,12.732748,0.216124,0.000000,0.000000
e1,15000,100,100000,1,38,12.971226,0.215598,0.000000,0.000000
e1,15000,100,100000,1,37,13.167978,0.209341,0.000000,0.000000
e1,15000,100,100000,1,36,13.609415,0.208163,0.000000,0.000000
e1,15000,100,100000,1,35,13.900321,0.214780,0.000000,0.000000
e1,15000,100,100000,1,34,14.224919,0.214297,0.000000,0.000000
e1,15000,100,100000,1,33,14.578790,0.212063,0.000000,0.000000
e1,15000,100,100000,1,32,14.941611,0.208960,0.000000,0.000000
e1,15000,100,100000,1,31,15.301887,0.208799,0.000000,0.000000
e1,15000,100,100000,1,30,15.871431,0.207121,0.000000,0.000000
e1,15000,100,100000,1,29,16.422782,0.207858,0.000000,0.000000
e1,15000,100,100000,1,28,16.834518,0.207297,0.000000,0.000000
e1,15000,100,100000,1,27,17.434922,0.207126,0.000000,0.000000
e1,15000,100,100000,1,26,18.177341,0.207250,0.000000,0.000000
e1,15000,100,100000,1,25,18.698932,0.206884,0.000000,0.000000
e1,15000,100,100000,1,24,19.437035,0.205963,0.000000,0.000000
e1,15000,100,100000,1,23,20.317012,0.203950,0.000000,0.000000
e1,15000,100,100000,1,22,21.030818,0.207387,0.000000,0.000000
e1,15000,100,100000,1,21,22.053670,0.212359,0.000000,0.000000
e1,15000,100,100000,1,20,23.068510,0.213299,0.000000,0.000000
e1,15000,100,100000,1,19,24.057800,0.211484,0.000000,0.000000
e1,15000,100,100000,1,18,25.537919,0.210381,0.000000,0.000000
e1,15000,100,100000,1,17,26.876746,0.208237,0.000000,0.000000
e1,15000,100,100000,1,16,28.419164,0.206639,0.000000,0.000000
e1,15000,100,100000,1,15,30.203022,0.207496,0.000000,0.000000
e1,15000,100,100000,1,14,32.180835,0.224749,0.000000,0.000000
e1,15000,100,100000,1,13,34.593754,0.217440,0.000000,0.000000
e1,15000,100,100000,1,12,37.671923,0.602586,0.000000,0.000000
e1,15000,100,100000,1,11,40.916923,0.558899,0.000000,0.000000
e1,15000,100,100000,1,10,44.803336,0.503786,0.000000,0.000000
e1,15000,100,100000,1,9,49.630052,0.506747,0.000000,0.000000
e1,15000,100,100000,1,8,55.592987,0.502992,0.000000,0.000000
e1,15000,100,100000,1,7,63.283058,0.476125,0.000000,0.000000
e1,15000,100,100000,1,6,73.618286,0.552085,0.000000,0.000000
e1,15000,100,100000,1,5,88.172029,0.544494,0.000000,0.000000
e1,15000,100,100000,1,4,109.814574,0.772210,0.000000,0.000000
e1,15000,100,100000,1,3,145.725995,0.534040,0.000000,0.000000
e1,15000,100,100000,1,2,216.501900,0.558598,0.000000,0.000000
e1,15000,100,100000,1,1,425.404588,0.546367,0.000000,0.000000
e1,15000,100,100000,1,64,8.693053,0.574383,0.000000,0.000000
e1,15000,100,100000,1,63,8.396823,0.195783,0.000000,0.000000
e1,15000,100,100000,1,62,8.521823,0.195283,0.000000,0.000000
e1,15000,100,100000,1,61,8.635943,0.194775,0.000000,0.000000
e1,15000,100,100000,1,60,8.776396,0.197134,0.000000,0.000000
e1,15000,100,100000,1,59,8.878636,0.196463,0.000000,0.000000
e1,15000,100,100000,1,58,9.018192,0.196456,0.000000,0.000000
e1,15000,100,100000,1,57,9.148049,0.195367,0.000000,0.000000
e1,15000,100,100000,1,56,9.292891,0.194924,0.000000,0.000000
e1,15000,100,100000,1,55,9.405529,0.194862,0.000000,0.000000
e1,15000,100,100000,1,54,9.713589,0.203775,0.000000,0.000000
e1,15000,100,100000,1,53,9.818826,0.193904,0.000000,0.000000
e1,15000,100,100000,1,52,10.013258,0.199494,0.000000,0.000000
e1,15000,100,100000,1,51,10.135792,0.196600,0.000000,0.000000
e1,15000,100,100000,1,50,10.215106,0.195945,0.000000,0.000000
e1,15000,100,100000,1,49,10.547322,0.194503,0.000000,0.000000
e1,15000,100,100000,1,48,10.673927,0.195787,0.000000,0.000000
e1,15000,100,100000,1,47,10.924179,0.194825,0.000000,0.000000
e1,15000,100,100000,1,46,11.095931,0.196371,0.000000,0.000000
e1,15000,100,100000,1,45,11.319886,0.196174,0.000000,0.000000
e1,15000,100,100000,1,44,11.585947,0.196184,0.000000,0.000000
e1,15000,100,100000,1,43,11.819789,0.194817,0.000000,0.000000
e1,15000,100,100000,1,42,11.983867,0.195691,0.000000,0.000000
e1,15000,100,100000,1,41,12.240826,0.194191,0.000000,0.000000
e1,15000,100,100000,1,40,12.450158,0.195603,0.000000,0.000000
e1,15000,100,100000,1,39,12.787637,0.194324,0.000000,0.000000
e1,15000,100,100000,1,38,12.879141,0.195066,0.000000,0.000000
e1,15000,100,100000,1,37,13.283807,0.194528,0.000000,0.000000
e1,15000,100,100000,1,36,13.601859,0.194854,0.000000,0.000000
e1,15000,100,100000,1,35,13.828189,0.195225,0.000000,0.000000
e1,15000,100,100000,1,34,14.370727,0.196835,0.000000,0.000000
e1,15000,100,100000,1,33,14.536905,0.196017,0.000000,0.000000
e1,15000,100,100000,1,32,14.863907,0.196204,0.000000,0.000000
e1,15000,100,100000,1,31,15.253067,0.194930,0.000000,0.000000
e1,15000,100,100000,1,30,15.748040,0.194474,0.000000,0.000000
e1,15000,100,100000,1,29,16.334073,0.193582,0.000000,0.000000
e1,15000,100,100000,1,28,16.969366,0.193729,0.000000,0.000000
e1,15000,100,100000,1,27,17.472196,0.194210,0.000000,0.000000
e1,15000,100,100000,1,26,17.925645,0.194831,0.000000,0.000000
e1,15000,100,100000,1,25,18.677204,0.193622,0.000000,0.000000
e1,15000,100,100000,1,24,19.448328,0.193973,0.000000,0.000000
e1,15000,100,100000,1,23,20.159131,0.194681,0.000000,0.000000
e1,15000,100,100000,1,22,21.025624,0.192853,0.000000,0.000000
e1,15000,100,100000,1,21,21.962411,0.198834,0.000000,0.000000
e1,15000,100,100000,1,20,23.008904,0.208768,0.000000,0.000000
e1,15000,100,100000,1,19,24.141869,0.193615,0.000000,0.000000
e1,15000,100,100000,1,18,25.407931,0.193644,0.000000,0.000000
e1,15000,100,100000,1,17,26.844698,0.194261,0.000000,0.000000
e1,15000,100,100000,1,16,28.377934,0.194792,0.000000,0.000000
e1,15000,100,100000,1,15,30.225033,0.226268,0.000000,0.000000
e1,15000,100,100000,1,14,32.177664,0.201564,0.000000,0.000000
e1,15000,100,100000,1,13,34.565124,0.194512,0.000000,0.000000
e1,15000,100,100000,1,12,37.607561,0.529978,0.000000,0.000000
e1,15000,100,100000,1,11,40.900722,0.525878,0.000000,0.000000
e1,15000,100,100000,1,10,44.834525,0.522241,0.000000,0.000000
e1,15000,100,100000,1,9,49.609230,0.490579,0.000000,0.000000
e1,15000,100,100000,1,8,55.566774,0.494796,0.000000,0.000000
e1,15000,100,100000,1,7,63.260634,0.449848,0.000000,0.000000
e1,15000,100,100000,1,6,73.541641,0.485703,0.000000,0.000000
e1,15000,100,100000,1,5,88.062334,0.438982,0.000000,0.000000
e1,15000,100,100000,1,4,109.527512,0.493986,0.000000,0.000000
e1,15000,100,100000,1,3,145.936533,0.720451,0.000000,0.000000
e1,15000,100,100000,1,2,216.441015,0.518214,0.000000,0.000000
e1,15000,100,100000,1,1,425.643764,0.459617,0.000000,0.000000
e1,15000,100,100000,1,64,8.597877,0.492371,0.000000,0.000000
e1,15000,100,100000,1,63,8.396209,0.197827,0.000000,0.000000
e1,15000,100,100000,1,62,8.569112,0.196273,0.000000,0.000000
e1,15000,100,100000,1,61,8.631381,0.197902,0.000000,0.000000
e1,15000,100,100000,1,60,8.753077,0.195928,0.000000,0.000000
e1,15000,100,100000,1,59,9.009372,0.197636,0.000000,0.000000
e1,15000,100,100000,1,58,9.007266,0.197069,0.000000,0.000000
e1,15000,100,100000,1,57,9.146036,0.195008,0.000000,0.000000
e1,15000,100,100000,1,56,9.286864,0.196232,0.000000,0.000000
e1,15000,100,100000,1,55,9.417974,0.196718,0.000000,0.000000
e1,15000,100,100000,1,54,9.548622,0.196393,0.000000,0.000000
e1,15000,100,100000,1,53,9.803084,0.196158,0.000000,0.000000
e1,15000,100,100000,1,52,10.004219,0.195160,0.000000,0.000000
e1,15000,100,100000,1,51,10.125368,0.196587,0.000000,0.000000
e1,15000,100,100000,1,50,10.286724,0.196978,0.000000,0.000000
e1,15000,100,100000,1,49,10.504753,0.196512,0.000000,0.000000
e1,15000,100,100000,1,48,10.693859,0.195407,0.000000,0.000000
e1,15000,100,100000,1,47,10.893834,0.196931,0.000000,0.000000
e1,15000,100,100000,1,46,11.109667,0.195306,0.000000,0.000000
e1,15000,100,100000,1,45,11.332211,0.195763,0.000000,0.000000
e1,15000,100,100000,1,44,11.505989,0.196019,0.000000,0.000000
e1,15000,100,100000,1,43,11.757789,0.195533,0.000000,0.000000
e1,15000,100,100000,1,42,11.984142,0.196415,0.000000,0.000000
e1,15000,100,100000,1,41,12.244042,0.195156,0.000000,0.000000
e1,15000,100,100000,1,40,12.508075,0.204326,0.000000,0.000000
e1,15000,100,100000,1,39,12.723841,0.195142,0.000000,0.000000
e1,15000,100,100000,1,38,13.014450,0.196350,0.000000,0.000000
e1,15000,100,100000,1,37,13.279426,0.199045,0.000000,0.000000
e1,15000,100,100000,1,36,13.593382,0.201062,0.000000,0.000000
e1,15000,100,100000,1,35,13.886456,0.198946,0.000000,0.000000
e1,15000,100,100000,1,34,14.068377,0.195708,0.000000,0.000000
e1,15000,100,100000,1,33,14.494689,0.236902,0.000000,0.000000
e1,15000,100,100000,1,32,14.910920,0.194976,0.000000,0.000000
e1,15000,100,100000,1,31,15.336744,0.194244,0.000000,0.000000
e1,15000,100,100000,1,30,15.721501,0.194210,0.000000,0.000000
e1,15000,100,100000,1,29,16.265470,0.194968,0.000000,0.000000
e1,15000,100,100000,1,28,16.883244,0.194410,0.000000,0.000000
e1,15000,100,100000,1,27,17.498013,0.195189,0.000000,0.000000
e1,15000,100,100000,1,26,17.974300,0.194018,0.000000,0.000000
e1,15000,100,100000,1,25,18.799782,0.203026,0.000000,0.000000
e1,15000,100,100000,1,24,19.344548,0.194224,0.000000,0.000000
e1,15000,100,100000,1,23,20.283278,0.195334,0.000000,0.000000
e1,15000,100,100000,1,22,21.002836,0.194625,0.000000,0.000000
e1,15000,100,100000,1,21,21.923803,0.193742,0.000000,0.000000
e1,15000,100,100000,1,20,23.045047,0.193682,0.000000,0.000000
e1,15000,100,100000,1,19,24.143970,0.194531,0.000000,0.000000
e1,15000,100,100000,1,18,25.395958,0.194876,0.000000,0.000000
e1,15000,100,100000,1,17,26.858994,0.193683,0.000000,0.000000
e1,15000,100,100000,1,16,28.404961,0.193677,0.000000,0.000000
e1,15000,100,100000,1,15,30.173286,0.197001,0.000000,0.000000
e1,15000,100,100000,1,14,32.177519,0.193757,0.000000,0.000000
e1,15000,100,100000,1,13,34.557270,0.193532,0.000000,0.000000
e1,15000,100,100000,1,12,37.467601,0.398847,0.000000,0.000000
e1,15000,100,100000,1,11,40.771265,0.406848,0.000000,0.000000
e1,15000,100,100000,1,10,44.847936,0.539558,0.000000,0.000000
e1,15000,100,100000,1,9,49.601074,0.468776,0.000000,0.000000
e1,15000,100,100000,1,8,55.505768,0.419192,0.000000,0.000000
e1,15000,100,100000,1,7,63.179135,0.389292,0.000000,0.000000
e1,15000,100,100000,1,6,73.439554,0.378647,0.000000,0.000000
e1,15000,100,100000,1,5,88.085321,0.388058,0.000000,0.000000
e1,15000,100,100000,1,4,109.606526,0.571620,0.000000,0.000000
e1,15000,100,100000,1,3,145.702757,0.455855,0.000000,0.000000
e1,15000,100,100000,1,2,216.443063,0.456719,0.000000,0.000000
e1,15000,100,100000,1,1,425.641501,0.496947,0.000000,0.000000
e1,15000,100,100000,1,64,8.690081,0.540532,0.000000,0.000000
e1,15000,100,100000,1,63,8.445544,0.227095,0.000000,0.000000
