action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e0,10000,100,100000,1,26,241.818393,0.188012,0.000000,0.000000
e0,10000,100,100000,1,27,241.911865,0.198713,0.000000,0.000000
e0,10000,100,100000,1,28,241.805049,0.200083,0.000000,0.000000
e0,10000,100,100000,1,29,241.594712,0.185367,0.000000,0.000000
e0,10000,100,100000,1,30,241.670662,0.188866,0.000000,0.000000
e0,10000,100,100000,1,31,241.786895,0.194684,0.000000,0.000000
e0,10000,100,100000,1,32,241.972352,0.183275,0.000000,0.000000
e0,10000,100,100000,1,33,242.077068,0.266124,0.000000,0.000000
e0,10000,100,100000,1,34,241.569262,0.188734,0.000000,0.000000
e0,10000,100,100000,1,35,241.876952,0.225923,0.000000,0.000000
e0,10000,100,100000,1,26,242.963643,1.222770,0.000000,0.000000
e0,10000,100,100000,1,27,242.085305,0.404075,0.000000,0.000000
e0,10000,100,100000,1,28,168.348958,1.000039,0.000000,0.000000
e0,10000,100,100000,1,29,243.108654,1.269470,0.000000,0.000000
e0,10000,100,100000,1,30,242.149739,0.319650,0.000000,0.000000
e0,10000,100,100000,1,31,243.008112,1.197363,0.000000,0.000000
e0,10000,100,100000,1,32,242.023338,0.274509,0.000000,0.000000
e0,10000,100,100000,1,33,241.917414,0.175575,0.000000,0.000000
e0,10000,100,100000,1,34,223.852542,0.541661,0.000000,0.000000
e0,10000,100,100000,1,35,242.982502,1.233825,0.000000,0.000000
e0,10000,100,100000,1,26,242.925840,1.072744,0.000000,0.000000
e0,10000,100,100000,1,27,242.968144,1.082084,0.000000,0.000000
e0,10000,100,100000,1,28,242.869895,1.526837,0.000000,0.000000
e0,10000,100,100000,1,29,241.868448,0.226613,0.000000,0.000000
e0,10000,100,100000,1,30,242.666982,1.022032,0.000000,0.000000
