action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,15000,100,100000,1,64,8.753904,0.563952,0.000000,0.000000
e1,15000,100,100000,1,63,8.532570,0.219742,0.000000,0.000000
e1,15000,100,100000,1,62,8.620008,0.217285,0.000000,0.000000
e1,15000,100,100000,1,61,8.766574,0.235238,0.000000,0.000000
e1,15000,100,100000,1,60,8.953147,0.221475,0.000000,0.000000
e1,15000,100,100000,1,59,8.977561,0.216558,0.000000,0.000000
e1,15000,100,100000,1,58,9.114706,0.217694,0.000000,0.000000
e1,15000,100,100000,1,57,9.295296,0.217476,0.000000,0.000000
e1,15000,100,100000,1,56,9.411141,0.219588,0.000000,0.000000
e1,15000,100,100000,1,55,9.550500,0.214630,0.000000,0.000000
e1,15000,100,100000,1,54,9.711099,0.209697,0.000000,0.000000
e1,15000,100,100000,1,53,9.875493,0.212612,0.000000,0.000000
e1,15000,100,100000,1,52,10.212260,0.210066,0.000000,0.000000
e1,15000,100,100000,1,51,10.341040,0.210701,0.000000,0.000000
e1,15000,100,100000,1,50,10.481246,0.209071,0.000000,0.000000
e1,15000,100,100000,1,49,10.551078,0.207983,0.000000,0.000000
e1,15000,100,100000,1,48,10.842311,0.209324,0.000000,0.000000
e1,15000,100,100000,1,47,11.068763,0.208583,0.000000,0.000000
e1,15000,100,100000,1,46,11.211151,0.208438,0.000000,0.000000
e1,15000,100,100000,1,45,11.439786,0.209329,0.000000,0.000000
e1,15000,100,100000,1,44,11.686775,0.208589,0.000000,0.000000
e1,15000,100,100000,1,43,11.900865,0.213400,0.000000,0.000000
e1,15000,100,100000,1,42,12.126612,0.210219,0.000000,0.000000
e1,15000,100,100000,1,41,12.372734,0.210136,0.000000,0.000000
e1,15000,100,100000,1,40,12.610968,0.210713,0.000000,0.000000
e1,15000,100,100000,1,39,12.853640,0.208967,0.000000,0.000000
e1,15000,100,100000,1,38,13.185660,0.209101,0.000000,0.000000
e1,15000,100,100000,1,37,13.484137,0.209949,0.000000,0.000000
e1,15000,100,100000,1,36,13.788932,0.210285,0.000000,0.000000
e1,15000,100,100000,1,35,14.118200,0.210488,0.000000,0.000000
e1,15000,100,100000,1,34,14.444851,0.208272,0.000000,0.000000
e1,15000,100,100000,1,33,14.842456,0.209497,0.000000,0.000000
e1,15000,100,100000,1,32,15.227815,0.207186,0.000000,0.000000
e1,15000,100,100000,1,31,15.565848,0.218143,0.000000,0.000000
e1,15000,100,100000,1,30,16.095373,0.208097,0.000000,0.000000
e1,15000,100,100000,1,29,16.611047,0.208495,0.000000,0.000000
e1,15000,100,100000,1,28,17.084560,0.208280,0.000000,0.000000
e1,15000,100,100000,1,27,17.609015,0.208191,0.000000,0.000000
e1,15000,100,100000,1,26,18.236513,0.208262,0.000000,0.000000
e1,15000,100,100000,1,25,18.903021,0.208337,0.000000,0.000000
e1,15000,100,100000,1,24,19.753599,0.207644,0.000000,0.000000
e1,15000,100,100000,1,23,20.337368,0.220031,0.000000,0.000000
e1,15000,100,100000,1,22,21.075757,0.206775,0.000000,0.000000
e1,15000,100,100000,1,21,22.030864,0.205888,0.000000,0.000000
e1,15000,100,100000,1,20,23.048508,0.205895,0.000000,0.000000
e1,15000,100,100000,1,19,24.301284,0.205081,0.000000,0.000000
e1,15000,100,100000,1,18,25.371916,0.205604,0.000000,0.000000
e1,15000,100,100000,1,17,26.886082,0.205807,0.000000,0.000000
e1,15000,100,100000,1,16,28.335963,0.204864,0.000000,0.000000
e1,15000,100,100000,1,15,30.199235,0.204267,0.000000,0.000000
e1,15000,100,100000,1,14,32.162405,0.205069,0.000000,0.000000
e1,15000,100,100000,1,13,34.551409,0.217868,0.000000,0.000000
e1,15000,100,100000,1,12,37.603239,0.524812,0.000000,0.000000
e1,15000,100,100000,1,11,40.866176,0.512943,0.000000,0.000000
e1,15000,100,100000,1,10,44.793586,0.481734,0.000000,0.000000
e1,15000,100,100000,1,9,49.635039,0.474995,0.000000,0.000000
e1,15000,100,100000,1,8,55.559525,0.456250,0.000000,0.000000
e1,15000,100,100000,1,7,63.253972,0.450810,0.000000,0.000000
e1,15000,100,100000,1,6,73.587166,0.457238,0.000000,0.000000
e1,15000,100,100000,1,5,87.981759,0.481011,0.000000,0.000000
e1,15000,100,100000,1,4,109.545435,0.500660,0.000000,0.000000
e1,15000,100,100000,1,3,145.497460,0.465889,0.000000,0.000000
e1,15000,100,100000,1,2,216.380239,0.421795,0.000000,0.000000
e1,15000,100,100000,1,1,426.631069,0.554680,0.000000,0.000000
e1,15000,100,100000,1,64,8.598011,0.403244,0.000000,0.000000
e1,15000,100,100000,1,63,8.474574,0.199213,0.000000,0.000000
e1,15000,100,100000,1,62,8.587555,0.199084,0.000000,0.000000
e1,15000,100,100000,1,61,8.765017,0.258078,0.000000,0.000000
e1,15000,100,100000,1,60,8.828563,0.199119,0.000000,0.000000
e1,15000,100,100000,1,59,8.980607,0.200085,0.000000,0.000000
e1,15000,100,100000,1,58,9.238399,0.199201,0.000000,0.000000
e1,15000,100,100000,1,57,9.384054,0.211700,0.000000,0.000000
e1,15000,100,100000,1,56,9.491184,0.196846,0.000000,0.000000
e1,15000,100,100000,1,55,9.591057,0.199474,0.000000,0.000000
e1,15000,100,100000,1,54,9.702349,0.197870,0.000000,0.000000
e1,15000,100,100000,1,53,9.890561,0.228555,0.000000,0.000000
e1,15000,100,100000,1,52,10.164834,0.198706,0.000000,0.000000
e1,15000,100,100000,1,51,10.361842,0.212649,0.000000,0.000000
e1,15000,100,100000,1,50,10.490377,0.199353,0.000000,0.000000
e1,15000,100,100000,1,49,10.638459,0.198327,0.000000,0.000000
e1,15000,100,100000,1,48,10.837511,0.197641,0.000000,0.000000
e1,15000,100,100000,1,47,11.045222,0.197331,0.000000,0.000000
e1,15000,100,100000,1,46,11.202305,0.196525,0.000000,0.000000
e1,15000,100,100000,1,45,11.453822,0.199932,0.000000,0.000000
e1,15000,100,100000,1,44,11.683383,0.200571,0.000000,0.000000
e1,15000,100,100000,1,43,11.988827,0.304039,0.000000,0.000000
e1,15000,100,100000,1,42,12.219888,0.302294,0.000000,0.000000
e1,15000,100,100000,1,41,12.597724,0.417913,0.000000,0.000000
e1,15000,100,100000,1,40,12.756510,0.283812,0.000000,0.000000
e1,15000,100,100000,1,39,12.877988,0.197993,0.000000,0.000000
e1,15000,100,100000,1,38,13.164197,0.198463,0.000000,0.000000
e1,15000,100,100000,1,37,13.487491,0.223328,0.000000,0.000000
e1,15000,100,100000,1,36,13.769997,0.198828,0.000000,0.000000
e1,15000,100,100000,1,35,14.115573,0.198131,0.000000,0.000000
e1,15000,100,100000,1,34,14.473040,0.197931,0.000000,0.000000
e1,15000,100,100000,1,33,14.828348,0.197944,0.000000,0.000000
e1,15000,100,100000,1,32,15.193113,0.196411,0.000000,0.000000
e1,15000,100,100000,1,31,15.522082,0.197041,0.000000,0.000000
e1,15000,100,100000,1,30,16.050689,0.196300,0.000000,0.000000
e1,15000,100,100000,1,29,16.525028,0.196841,0.000000,0.000000
e1,15000,100,100000,1,28,17.054727,0.196630,0.000000,0.000000
e1,15000,100,100000,1,27,17.603941,0.195984,0.000000,0.000000
e1,15000,100,100000,1,26,18.218454,0.197462,0.000000,0.000000
e1,15000,100,100000,1,25,18.842415,0.196047,0.000000,0.000000
e1,15000,100,100000,1,24,19.721723,0.195698,0.000000,0.000000
e1,15000,100,100000,1,23,20.301195,0.195052,0.000000,0.000000
e1,15000,100,100000,1,22,21.057933,0.195249,0.000000,0.000000
e1,15000,100,100000,1,21,22.006600,0.195588,0.000000,0.000000
e1,15000,100,100000,1,20,23.037107,0.194781,0.000000,0.000000
e1,15000,100,100000,1,19,24.217143,0.193599,0.000000,0.000000
e1,15000,100,100000,1,18,25.441601,0.197401,0.000000,0.000000
e1,15000,100,100000,1,17,26.816749,0.194159,0.000000,0.000000
e1,15000,100,100000,1,16,28.408242,0.194180,0.000000,0.000000
e1,15000,100,100000,1,15,30.216310,0.220585,0.000000,0.000000
e1,15000,100,100000,1,14,32.151482,0.195248,0.000000,0.000000
e1,15000,100,100000,1,13,34.838121,0.507702,0.000000,0.000000
e1,15000,100,100000,1,12,37.534486,0.455705,0.000000,0.000000
e1,15000,100,100000,1,11,40.817837,0.460648,0.000000,0.000000
e1,15000,100,100000,1,10,44.771631,0.482868,0.000000,0.000000
e1,15000,100,100000,1,9,49.778943,0.611595,0.000000,0.000000
e1,15000,100,100000,1,8,55.585962,0.464298,0.000000,0.000000
e1,15000,100,100000,1,7,63.279244,0.486002,0.000000,0.000000
e1,15000,100,100000,1,6,73.714254,0.539435,0.000000,0.000000
e1,15000,100,100000,1,5,88.198104,0.660215,0.000000,0.000000
e1,15000,100,100000,1,4,109.580618,0.497995,0.000000,0.000000
e1,15000,100,100000,1,3,145.589981,0.547065,0.000000,0.000000
e1,15000,100,100000,1,2,216.742576,0.527694,0.000000,0.000000
e1,15000,100,100000,1,1,426.930119,0.542082,0.000000,0.000000
e1,15000,100,100000,1,64,8.637439,0.434580,0.000000,0.000000
e1,15000,100,100000,1,63,8.491209,0.203882,0.000000,0.000000
e1,15000,100,100000,1,62,8.631595,0.198504,0.000000,0.000000
e1,15000,100,100000,1,61,8.722942,0.202872,0.000000,0.000000
e1,15000,100,100000,1,60,8.838348,0.200091,0.000000,0.000000
e1,15000,100,100000,1,59,8.990757,0.201012,0.000000,0.000000
e1,15000,100,100000,1,58,9.205271,0.201558,0.000000,0.000000
e1,15000,100,100000,1,57,9.384509,0.199296,0.000000,0.000000
e1,15000,100,100000,1,56,9.725320,0.406454,0.000000,0.000000
e1,15000,100,100000,1,55,9.534625,0.202835,0.000000,0.000000
e1,15000,100,100000,1,54,9.697202,0.198508,0.000000,0.000000
e1,15000,100,100000,1,53,9.862384,0.198444,0.000000,0.000000
e1,15000,100,100000,1,52,10.141083,0.202499,0.000000,0.000000
e1,15000,100,100000,1,51,10.548555,0.452162,0.000000,0.000000
e1,15000,100,100000,1,50,10.491261,0.198302,0.000000,0.000000
e1,15000,100,100000,1,49,10.695894,0.199836,0.000000,0.000000
e1,15000,100,100000,1,48,10.843964,0.199904,0.000000,0.000000
e1,15000,100,100000,1,47,11.044539,0.199312,0.000000,0.000000
e1,15000,100,100000,1,46,11.218193,0.200267,0.000000,0.000000
e1,15000,100,100000,1,45,11.458645,0.216078,0.000000,0.000000
e1,15000,100,100000,1,44,11.618851,0.202751,0.000000,0.000000
e1,15000,100,100000,1,43,11.887320,0.203101,0.000000,0.000000
e1,15000,100,100000,1,42,12.107207,0.209916,0.000000,0.000000
e1,15000,100,100000,1,41,12.370868,0.200651,0.000000,0.000000
e1,15000,100,100000,1,40,12.624370,0.203147,0.000000,0.000000
e1,15000,100,100000,1,39,12.902973,0.205375,0.000000,0.000000
e1,15000,100,100000,1,38,13.221434,0.201494,0.000000,0.000000
e1,15000,100,100000,1,37,13.486372,0.201190,0.000000,0.000000
e1,15000,100,100000,1,36,13.788391,0.201425,0.000000,0.000000
e1,15000,100,100000,1,35,14.095542,0.199345,0.000000,0.000000
e1,15000,100,100000,1,34,14.449307,0.198880,0.000000,0.000000
e1,15000,100,100000,1,33,14.866377,0.197337,0.000000,0.000000
e1,15000,100,100000,1,32,15.232812,0.197908,0.000000,0.000000
e1,15000,100,100000,1,31,15.528229,0.197966,0.000000,0.000000
e1,15000,100,100000,1,30,16.008426,0.197883,0.000000,0.000000
e1,15000,100,100000,1,29,16.562605,0.196872,0.000000,0.000000
e1,15000,100,100000,1,28,17.035734,0.199316,0.000000,0.000000
e1,15000,100,100000,1,27,17.587055,0.200671,0.000000,0.000000
e1,15000,100,100000,1,26,18.187019,0.199863,0.000000,0.000000
e1,15000,100,100000,1,25,18.898889,0.200363,0.000000,0.000000
e1,15000,100,100000,1,24,19.752859,0.195525,0.000000,0.000000
e1,15000,100,100000,1,23,20.337387,0.196820,0.000000,0.000000
e1,15000,100,100000,1,22,21.075185,0.196743,0.000000,0.000000
e1,15000,100,100000,1,21,21.984294,0.196112,0.000000,0.000000
e1,15000,100,100000,1,20,23.037521,0.196932,0.000000,0.000000
e1,15000,100,100000,1,19,24.263521,0.227296,0.000000,0.000000
e1,15000,100,100000,1,18,25.473683,0.200858,0.000000,0.000000
e1,15000,100,100000,1,17,26.874814,0.196358,0.000000,0.000000
e1,15000,100,100000,1,16,28.444842,0.198035,0.000000,0.000000
e1,15000,100,100000,1,15,30.205534,0.195352,0.000000,0.000000
e1,15000,100,100000,1,14,32.476927,0.515046,0.000000,0.000000
e1,15000,100,100000,1,13,34.813823,0.485035,0.000000,0.000000
e1,15000,100,100000,1,12,37.622104,0.515397,0.000000,0.000000
e1,15000,100,100000,1,11,40.831074,0.484417,0.000000,0.000000
e1,15000,100,100000,1,10,44.773842,0.472300,0.000000,0.000000
e1,15000,100,100000,1,9,49.496423,0.353970,0.000000,0.000000
e1,15000,100,100000,1,8,55.610865,0.511315,0.000000,0.000000
e1,15000,100,100000,1,7,63.377883,0.561843,0.000000,0.000000
e1,15000,100,100000,1,6,73.647470,0.538695,0.000000,0.000000
e1,15000,100,100000,1,5,88.032369,0.528147,0.000000,0.000000
e1,15000,100,100000,1,4,109.582609,0.503291,0.000000,0.000000
e1,15000,100,100000,1,3,147.351328,0.643851,0.000000,0.000000
e1,15000,100,100000,1,2,216.941135,0.593308,0.000000,0.000000
e1,15000,100,100000,1,1,428.151907,0.515112,0.000000,0.000000
e1,15000,100,100000,1,64,8.752902,0.540748,0.000000,0.000000
e1,15000,100,100000,1,63,8.498421,0.212454,0.000000,0.000000
e1,15000,100,100000,1,62,8.699232,0.198366,0.000000,0.000000
e1,15000,100,100000,1,61,8.724973,0.217797,0.000000,0.000000
e1,15000,100,100000,1,60,8.860625,0.228972,0.000000,0.000000
e1,15000,100,100000,1,59,8.976362,0.202686,0.000000,0.000000
e1,15000,100,100000,1,58,9.182473,0.199332,0.000000,0.000000
e1,15000,100,100000,1,57,9.401237,0.197901,0.000000,0.000000
e1,15000,100,100000,1,56,9.566810,0.334718,0.000000,0.000000
e1,15000,100,100000,1,55,9.577502,0.216298,0.000000,0.000000
e1,15000,100,100000,1,54,9.733121,0.200328,0.000000,0.000000
e1,15000,100,100000,1,53,9.905326,0.230245,0.000000,0.000000
e1,15000,100,100000,1,52,10.169382,0.198590,0.000000,0.000000
e1,15000,100,100000,1,51,10.338098,0.200162,0.000000,0.000000
e1,15000,100,100000,1,50,10.485066,0.198237,0.000000,0.000000
e1,15000,100,100000,1,49,10.640591,0.198113,0.000000,0.000000
e1,15000,100,100000,1,48,10.855190,0.198353,0.000000,0.000000
e1,15000,100,100000,1,47,11.037355,0.199080,0.000000,0.000000
