action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,30000,100,100000,1,12,252.765423,2.576225,0.000000,0.000000
e1,30000,100,100000,1,11,275.033601,2.304637,0.000000,0.000000
e1,30000,100,100000,1,10,302.594839,2.433019,0.000000,0.000000
e1,30000,100,100000,1,9,335.753928,2.286367,0.000000,0.000000
e1,30000,100,100000,1,8,377.274423,2.391854,0.000000,0.000000
e1,30000,100,100000,1,7,430.433483,2.233841,0.000000,0.000000
e1,30000,100,100000,1,6,502.119418,2.422508,0.000000,0.000000
e1,30000,100,100000,1,5,601.516261,2.321837,0.000000,0.000000
e1,30000,100,100000,1,4,752.690129,3.367802,0.000000,0.000000
e1,30000,100,100000,1,3,1002.407238,2.541837,0.000000,0.000000
e1,30000,100,100000,1,2,1501.989529,2.284948,0.000000,0.000000
