action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
i,100,0,0,1,1,1.047062,0.003057,0.000000,0.000000
i,141,0,0,2,1,1.035894,0.001625,0.001043,0.001043
i,200,0,0,3,1,1.038216,0.001809,0.001824,0.000912
i,283,0,0,4,1,1.050574,0.001821,0.002232,0.000744
i,400,0,0,5,1,1.067908,0.002661,0.006013,0.001503
i,566,0,0,6,1,1.053639,0.003109,0.005969,0.001194
i,800,0,0,7,1,1.086931,0.003597,0.004056,0.000676
i,1131,0,0,8,1,1.089369,0.003537,0.007794,0.001113
i,1600,0,0,9,1,1.111398,0.005352,0.007727,0.000966
i,2263,0,0,10,1,1.126417,0.014164,0.009460,0.001051
i,3200,0,0,11,1,1.131035,0.013295,0.009242,0.000924
i,4525,0,0,12,1,1.161046,0.025547,0.028421,0.002584
i,6400,0,0,13,1,1.241416,0.056285,0.034183,0.002849
i,9051,0,0,14,1,1.293309,0.084583,0.146145,0.011242
i,12800,0,0,15,1,1.466555,0.156669,0.213021,0.015216
i,18102,0,0,16,1,1.785397,0.317801,0.434184,0.028946
i,25600,0,0,17,1,2.405409,0.614949,0.774587,0.048412
i,36204,0,0,18,1,3.575625,1.210889,1.390243,0.081779
i,51200,0,0,19,1,5.650478,2.273473,2.885881,0.160327
i,72408,0,0,20,1,10.049577,4.676477,5.505916,0.289785
i,102400,0,0,21,1,19.293481,10.114602,11.974810,0.598740
i,144815,0,0,22,1,40.651629,21.630703,24.793455,1.180641
i,204800,0,0,23,1,102.276209,68.892444,61.048925,2.774951
i,289631,0,0,24,1,401.353636,336.937316,382.623656,16.635811
i,100,0,0,1,1,1.045404,0.002224,0.000000,0.000000
i,141,0,0,2,1,1.036360,0.001508,0.000755,0.000755
i,200,0,0,3,1,1.040371,0.001438,0.001388,0.000694
i,283,0,0,4,1,1.043558,0.001872,0.003398,0.001133
i,400,0,0,5,1,1.050592,0.002674,0.005754,0.001438
i,566,0,0,6,1,1.059712,0.002575,0.005379,0.001076
i,800,0,0,7,1,1.077693,0.003437,0.007179,0.001196
i,1131,0,0,8,1,1.062898,0.005502,0.011434,0.001633
i,1600,0,0,9,1,1.111547,0.005582,0.006187,0.000773
i,2263,0,0,10,1,1.120269,0.010017,0.020574,0.002286
i,3200,0,0,11,1,1.127553,0.016280,0.021536,0.002154
i,4525,0,0,12,1,1.175469,0.031988,0.061678,0.005607
i,6400,0,0,13,1,1.240108,0.049576,0.045902,0.003825
i,9051,0,0,14,1,1.321593,0.089321,0.107264,0.008251
i,12800,0,0,15,1,1.488770,0.165956,0.162076,0.011577
i,18102,0,0,16,1,1.828872,0.321479,0.300778,0.020052
i,25600,0,0,17,1,3.241528,1.137234,0.923910,0.057744
i,36204,0,0,18,1,4.735689,1.383917,2.015383,0.118552
i,51200,0,0,19,1,6.713374,2.895963,2.468495,0.137139
i,72408,0,0,20,1,11.639747,5.223039,5.199358,0.273650
i,102400,0,0,21,1,22.817649,10.692543,10.652994,0.532650
i,144815,0,0,22,1,42.612777,23.146661,24.411112,1.162434
i,204800,0,0,23,1,138.590040,95.892440,47.450896,2.156859
i,289631,0,0,24,1,315.192047,253.905769,412.684531,17.942806
i,100,0,0,1,1,1.039135,0.003337,0.000000,0.000000
i,141,0,0,2,1,1.178372,0.145181,0.000638,0.000638
i,200,0,0,3,1,1.043007,0.001935,0.002114,0.001057
i,283,0,0,4,1,1.060088,0.002342,0.001653,0.000551
i,400,0,0,5,1,1.050493,0.003106,0.003665,0.000916
i,566,0,0,6,1,1.067141,0.002629,0.004515,0.000903
i,800,0,0,7,1,1.067748,0.003655,0.008209,0.001368
i,1131,0,0,8,1,1.092632,0.004643,0.008371,0.001196
i,1600,0,0,9,1,1.111017,0.007398,0.010245,0.001281
i,2263,0,0,10,1,1.131217,0.008679,0.012403,0.001378
i,3200,0,0,11,1,1.144934,0.014358,0.012584,0.001258
i,4525,0,0,12,1,1.301145,0.151310,0.730951,0.066450
i,6400,0,0,13,1,1.562407,0.369677,0.873201,0.072767
i,9051,0,0,14,1,1.409167,0.191357,0.131235,0.010095
i,12800,0,0,15,1,1.502100,0.172306,0.191047,0.013646
i,18102,0,0,16,1,1.824671,0.319639,0.392125,0.026142
i,25600,0,0,17,1,2.642955,0.617054,0.744679,0.046542
i,36204,0,0,18,1,3.528265,1.172705,1.427753,0.083985
i,51200,0,0,19,1,5.791220,2.387648,2.943180,0.163510
i,72408,0,0,20,1,10.481263,4.919890,4.882714,0.256985
i,102400,0,0,21,1,22.311234,10.128749,10.249594,0.512480
