m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,37.631901382,37.631901,1434.952740
29500,29500,29500,36.183272646,36.183273,1419.018962
29000,29000,29000,34.219951209,34.219951,1425.425761
28500,28500,28500,31.478073789,31.478074,1470.809501
28000,28000,28000,33.517641530,33.517642,1309.877366
27500,27500,27500,34.010359599,34.010360,1222.972956
27000,27000,27000,33.366785765,33.366786,1179.795989
26500,26500,26500,34.813666095,34.813666,1069.098839
26000,26000,26000,29.766088163,29.766088,1180.941204
25500,25500,25500,32.043696395,32.043696,1034.922738
25000,25000,25000,31.371097001,31.371097,996.139854
24500,24500,24500,31.004597956,31.004598,948.641554
24000,24000,24000,27.094830866,27.094831,1020.416039
23500,23500,23500,20.029053071,20.029053,1295.904999
23000,23000,23000,25.462486337,25.462486,955.680434
22500,22500,22500,18.183152939,18.183153,1252.876774
22000,22000,22000,19.864082477,19.864082,1072.085762
21500,21500,21500,17.263153404,17.263153,1151.397403
21000,21000,21000,14.824364613,14.824365,1249.429603
20500,20500,20500,14.014541014,14.014541,1229.455177
20000,20000,20000,16.096942200,16.096942,993.977602
19500,19500,19500,14.651856742,14.651857,1012.141346
19000,19000,19000,14.516211781,14.516212,945.012391
18500,18500,18500,13.376166507,13.376167,946.702480
18000,18000,18000,12.589564648,12.589565,926.481600
17500,17500,17500,11.755288109,11.755288,911.823675
17000,17000,17000,10.088305028,10.088305,973.999098
16500,16500,16500,9.624229997,9.624230,933.503252
16000,16000,16000,7.559081733,7.559082,1083.729518
15500,15500,15500,5.827878398,5.827878,1277.952197
15000,15000,15000,5.431052104,5.431052,1242.853110
14500,14500,14500,5.962994307,5.962994,1022.514812
14000,14000,14000,5.449214973,5.449215,1007.117544
13500,13500,13500,4.970677557,4.970678,989.955583
13000,13000,13000,4.557014340,4.557014,964.227819
12500,12500,12500,4.135191560,4.135192,944.635803
12000,12000,12000,3.731565981,3.731566,926.152725
11500,11500,11500,3.400504929,3.400505,894.499512
11000,11000,11000,3.572031887,3.572032,745.234109
10500,10500,10500,2.710870484,2.710870,854.061459
10000,10000,10000,2.409055006,2.409055,830.201052
9500,9500,9500,2.114689366,2.114689,810.875596
9000,9000,9000,1.758439131,1.758439,829.144424
8500,8500,8500,1.530830196,1.530830,802.342417
8000,8000,8000,1.312102024,1.312102,780.427117
7500,7500,7500,1.077193497,1.077193,783.285456
7000,7000,7000,0.889383482,0.889383,771.320824
6500,6500,6500,0.723613373,0.723613,759.037934
6000,6000,6000,0.600721370,0.600721,719.135395
5500,5500,5500,0.456314283,0.456314,729.212327
5000,5000,5000,0.329661750,0.329662,758.353069
4500,4500,4500,0.221022400,0.221022,824.577056
4000,4000,4000,0.131711093,0.131711,971.823991
3500,3500,3500,0.083557612,0.083558,1026.238040
3000,3000,3000,0.055850737,0.055851,966.862801
2500,2500,2500,0.038730654,0.038731,806.854436
2000,2000,2000,0.025244420,0.025244,633.803431
