m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,40.276651336,40.276651,1340.727151
29500,29500,29500,46.275242914,46.275243,1109.551172
29000,29000,29000,42.105115648,42.105116,1158.481559
28500,28500,28500,44.242985833,44.242986,1046.454011
28000,28000,28000,40.529142231,40.529142,1083.269904
27500,27500,27500,43.956059287,43.956059,946.257482
27000,27000,27000,41.113558008,41.113558,957.494362
26500,26500,26500,43.202881960,43.202882,861.499241
26000,26000,26000,40.029664178,40.029664,878.148761
25500,25500,25500,45.022803515,45.022804,736.576744
25000,25000,25000,45.550725782,45.550726,686.048344
24500,24500,24500,44.730905575,44.730906,657.537549
24000,24000,24000,41.785698236,41.785698,661.661793
23500,23500,23500,40.859259824,40.859260,635.247680
23000,23000,23000,24.085002723,24.085003,1010.338271
22500,22500,22500,23.483720312,23.483720,970.086924
22000,22000,22000,21.449957021,21.449957,992.822502
21500,21500,21500,22.526850409,22.526850,882.358148
21000,21000,21000,19.336098992,19.336099,957.897454
20500,20500,20500,22.661344894,22.661345,760.336603
20000,20000,20000,21.190484274,21.190484,755.055892
19500,19500,19500,19.017844658,19.017845,779.780794
19000,19000,19000,20.894691904,20.894692,656.530379
18500,18500,18500,19.895480274,19.895480,636.488782
18000,18000,18000,18.779402795,18.779403,621.106013
17500,17500,17500,16.553420722,16.553421,647.524773
17000,17000,17000,15.696471875,15.696472,626.000548
16500,16500,16500,15.488153155,15.488153,580.072389
16000,16000,16000,8.996489078,8.996489,910.577441
15500,15500,15500,8.523534345,8.523534,873.786589
15000,15000,15000,8.908876804,8.908877,757.671270
14500,14500,14500,8.244448569,8.244449,739.558255
14000,14000,14000,9.115660250,9.115660,602.040867
13500,13500,13500,7.006349451,7.006349,702.327230
13000,13000,13000,6.504351350,6.504351,675.547762
12500,12500,12500,5.879123103,5.879123,664.427319
12000,12000,12000,4.862342759,4.862343,710.768486
11500,11500,11500,3.917601642,3.917602,776.431674
11000,11000,11000,4.193642446,4.193642,634.770378
10500,10500,10500,3.687327223,3.687327,627.893827
10000,10000,10000,3.291695620,3.291696,607.589592
9500,9500,9500,2.823029537,2.823030,607.414828
9000,9000,9000,2.359555441,2.359555,617.913008
8500,8500,8500,2.156510700,2.156511,569.554327
8000,8000,8000,1.801984116,1.801984,568.262501
7500,7500,7500,1.492055719,1.492056,565.494967
7000,7000,7000,1.231840328,1.231840,556.890357
6500,6500,6500,0.971540809,0.971541,565.339093
6000,6000,6000,0.760291033,0.760291,568.203466
5500,5500,5500,0.589311572,0.589312,564.641890
5000,5000,5000,0.415800262,0.415800,601.250222
4500,4500,4500,0.293365888,0.293366,621.237872
4000,4000,4000,0.184680747,0.184681,693.087948
3500,3500,3500,0.126122128,0.126122,679.896552
3000,3000,3000,0.086759466,0.086759,622.410470
2500,2500,2500,0.055687046,0.055687,561.171803
2000,2000,2000,0.036356286,0.036356,440.088957
