m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,40.004651657,40.004652,1349.843025
29500,29500,29500,37.588764045,37.588764,1365.960050
29000,29000,29000,37.446172850,37.446173,1302.616430
28500,28500,28500,36.051415427,36.051415,1284.228357
28000,28000,28000,33.309622323,33.309622,1318.057574
27500,27500,27500,36.813493400,36.813493,1129.850665
27000,27000,27000,34.012370895,34.012371,1157.402409
26500,26500,26500,35.766576304,35.766576,1040.615397
26000,26000,26000,32.547762571,32.547763,1080.012794
25500,25500,25500,32.180102041,32.180102,1030.535887
25000,25000,25000,31.829173643,31.829174,981.803686
24500,24500,24500,31.445869343,31.445869,935.329524
24000,24000,24000,31.334238834,31.334239,882.357480
23500,23500,23500,29.157999301,29.157999,890.175959
23000,23000,23000,18.955165158,18.955165,1283.766182
22500,22500,22500,21.892331884,21.892332,1040.604086
22000,22000,22000,17.418384550,17.418385,1222.616250
21500,21500,21500,17.634515353,17.634515,1127.150341
21000,21000,21000,15.606052847,15.606053,1186.847192
20500,20500,20500,14.450029765,14.450030,1192.402388
20000,20000,20000,16.289949627,16.289950,982.200705
19500,19500,19500,14.652147298,14.652147,1012.121275
19000,19000,19000,15.745492867,15.745493,871.233445
18500,18500,18500,14.768436340,14.768436,857.453674
18000,18000,18000,13.778335710,13.778336,846.546364
17500,17500,17500,12.588356759,12.588357,851.481270
17000,17000,17000,10.873249031,10.873249,903.685731
16500,16500,16500,10.255857847,10.255858,876.011557
16000,16000,16000,7.683910115,7.683910,1066.123871
15500,15500,15500,7.242397953,7.242398,1028.354151
15000,15000,15000,6.714899378,6.714899,1005.227274
14500,14500,14500,5.934622189,5.934622,1027.403229
14000,14000,14000,5.585164830,5.585165,982.603051
13500,13500,13500,4.895121579,4.895122,1005.235502
13000,13000,13000,4.557772344,4.557772,964.067458
12500,12500,12500,4.159452851,4.159453,939.125924
12000,12000,12000,3.832186599,3.832187,901.835000
11500,11500,11500,3.444366134,3.444366,883.108787
11000,11000,11000,2.890937560,2.890938,920.808542
10500,10500,10500,2.623755579,2.623756,882.418324
10000,10000,10000,2.366934267,2.366934,844.974881
9500,9500,9500,2.017805131,2.017805,849.809515
9000,9000,9000,1.724204456,1.724204,845.607373
8500,8500,8500,1.683624200,1.683624,729.527409
8000,8000,8000,1.304602027,1.304602,784.913697
7500,7500,7500,1.108814933,1.108815,760.947544
7000,7000,7000,0.927552027,0.927552,739.581156
6500,6500,6500,0.772772748,0.772773,710.752290
6000,6000,6000,0.622623660,0.622624,693.838072
5500,5500,5500,0.511221368,0.511221,650.892198
5000,5000,5000,0.365112717,0.365113,684.720056
4500,4500,4500,0.287581479,0.287581,633.733440
4000,4000,4000,0.167156171,0.167156,765.750969
3500,3500,3500,0.107931366,0.107931,794.486378
3000,3000,3000,0.074542457,0.074542,724.419374
2500,2500,2500,0.051541526,0.051542,606.307233
2000,2000,2000,0.036770234,0.036770,435.134571
