m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,43.813751931,43.813752,1232.489746
29500,29500,29500,51.216520859,51.216521,1002.503668
29000,29000,29000,38.148331047,38.148331,1278.640472
28500,28500,28500,37.883032906,37.883033,1222.136837
28000,28000,28000,36.920452532,36.920453,1189.151188
27500,27500,27500,27.134280047,27.134280,1532.885705
27000,27000,27000,25.910481716,25.910482,1519.307917
26500,26500,26500,26.866204645,26.866205,1385.355710
26000,26000,26000,24.397964294,24.397964,1440.775942
25500,25500,25500,22.782638643,22.782639,1455.614976
25000,25000,25000,21.203278730,21.203279,1473.828666
24500,24500,24500,22.964158729,22.964159,1280.789353
24000,24000,24000,23.322140468,23.322140,1185.482955
23500,23500,23500,19.965935072,19.965935,1300.001723
23000,23000,23000,18.027657006,18.027657,1349.814898
22500,22500,22500,18.897601720,18.897602,1205.510114
22000,22000,22000,21.243609472,21.243609,1002.466178
21500,21500,21500,16.569468508,16.569469,1199.600940
21000,21000,21000,19.025777168,19.025777,973.521336
20500,20500,20500,18.558285505,18.558286,928.439752
20000,20000,20000,19.044932519,19.044933,840.118493
19500,19500,19500,16.229415779,16.229416,913.757476
19000,19000,19000,13.298440784,13.298441,1031.549504
18500,18500,18500,15.049031953,15.049032,841.466085
18000,18000,18000,14.145900433,14.145900,824.549844
17500,17500,17500,8.552446629,8.552447,1253.296333
17000,17000,17000,8.119859797,8.119860,1210.119417
16500,16500,16500,10.431096986,10.431097,861.294839
16000,16000,16000,8.006594201,8.006594,1023.156637
15500,15500,15500,6.600623918,6.600624,1128.340304
15000,15000,15000,7.640928378,7.640928,883.400507
14500,14500,14500,7.914686506,7.914687,770.371637
14000,14000,14000,6.661084628,6.661085,823.889848
13500,13500,13500,5.441423578,5.441424,904.312985
13000,13000,13000,4.911618584,4.911619,894.613441
12500,12500,12500,4.876310471,4.876310,801.066713
12000,12000,12000,4.460521798,4.460522,774.797245
11500,11500,11500,3.423186371,3.423186,888.572713
11000,11000,11000,4.006424634,4.006425,664.432816
10500,10500,10500,3.478838936,3.478839,665.523769
10000,10000,10000,3.129388368,3.129388,639.102523
9500,9500,9500,2.178591126,2.178591,787.091244
9000,9000,9000,1.850297875,1.850298,787.981232
8500,8500,8500,2.147069405,2.147069,572.058825
8000,8000,8000,2.001105268,2.001105,511.717208
7500,7500,7500,1.051550561,1.051551,802.386525
7000,7000,7000,0.810909025,0.810909,845.964194
6500,6500,6500,1.099518297,1.099518,499.536935
6000,6000,6000,0.807157285,0.807157,535.211672
5500,5500,5500,0.304129981,0.304130,1094.104563
5000,5000,5000,0.205506015,0.205506,1216.509405
4500,4500,4500,0.285176888,0.285177,639.077035
4000,4000,4000,0.214435181,0.214435,596.916977
3500,3500,3500,0.103766224,0.103766,826.376799
3000,3000,3000,0.077474668,0.077475,697.002019
2500,2500,2500,0.084006751,0.084007,371.993913
2000,2000,2000,0.056448935,0.056449,283.442017
30000,30000,30000,52.803137536,52.803138,1022.666503
