m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,54.400399033,54.400399,992.639778
29500,29500,29500,53.008714509,53.008715,968.609605
29000,29000,29000,49.944431349,49.944431,976.645417
28500,28500,28500,36.948048240,36.948048,1253.063483
28000,28000,28000,44.906239710,44.906240,977.681504
27500,27500,27500,42.678180013,42.678180,974.590528
27000,27000,27000,29.024348848,29.024349,1356.309497
26500,26500,26500,32.355917321,32.355917,1150.307365
26000,26000,26000,28.981576959,28.981577,1212.908464
25500,25500,25500,26.919420494,26.919420,1231.926594
25000,25000,25000,23.086523543,23.086524,1353.603540
24500,24500,24500,24.954125905,24.954126,1178.652785
24000,24000,24000,23.676346696,23.676347,1167.747725
23500,23500,23500,25.530251858,25.530252,1016.666429
23000,23000,23000,25.770505175,25.770505,944.257780
22500,22500,22500,18.022663986,18.022664,1264.033442
22000,22000,22000,28.543966475,28.543966,746.077109
21500,21500,21500,16.219843040,16.219843,1225.458838
21000,21000,21000,20.311201893,20.311202,911.910585
20500,20500,20500,14.038286057,14.038286,1227.375616
20000,20000,20000,13.797753551,13.797754,1159.609058
30000,30000,30000,51.591590602,51.591591,1046.682209
29500,29500,29500,40.027042163,40.027042,1282.751541
29000,29000,29000,34.312416735,34.312417,1421.584506
28500,28500,28500,32.361452948,32.361453,1430.660424
28000,28000,28000,35.760003504,35.760004,1227.740372
27500,27500,27500,29.979440912,29.979441,1387.409129
27000,27000,27000,28.491278614,28.491279,1381.685973
26500,26500,26500,26.784148781,26.784149,1389.599883
26000,26000,26000,28.295323633,28.295324,1242.325426
25500,25500,25500,26.151520660,26.151521,1268.100254
25000,25000,25000,21.097794501,21.097795,1481.197478
24500,24500,24500,29.039667158,29.039667,1012.830135
24000,24000,24000,27.674000274,27.674000,999.060480
23500,23500,23500,21.027475075,21.027475,1234.373119
23000,23000,23000,22.795703421,22.795703,1067.481865
22500,22500,22500,23.761284004,23.761284,958.755007
22000,22000,22000,28.664478217,28.664478,742.940438
21500,21500,21500,20.865833864,20.865834,952.597923
21000,21000,21000,20.332606472,20.332606,910.950597
20500,20500,20500,14.053778554,14.053779,1226.022591
20000,20000,20000,13.405838357,13.405838,1193.509841
30000,30000,30000,40.135254533,40.135255,1345.450543
29500,29500,29500,36.224923389,36.224923,1417.387401
29000,29000,29000,37.683831543,37.683832,1294.401286
28500,28500,28500,31.840457748,31.840458,1454.069862
28000,28000,28000,37.102551051,37.102551,1183.314860
27500,27500,27500,34.249575892,34.249576,1214.431096
27000,27000,27000,33.226691091,33.226691,1184.770397
26500,26500,26500,32.223492547,32.223493,1155.034636
26000,26000,26000,25.527316672,25.527317,1377.034666
25500,25500,25500,30.424410367,30.424410,1090.004690
25000,25000,25000,22.974666058,22.974666,1360.193873
24500,24500,24500,26.065864878,26.065865,1128.381895
24000,24000,24000,29.245544291,29.245544,945.374780
23500,23500,23500,25.308718430,25.308718,1025.565560
23000,23000,23000,23.601965322,23.601965,1031.015836
22500,22500,22500,23.925050954,23.925051,952.192329
22000,22000,22000,29.241463666,29.241464,728.280918
21500,21500,21500,20.816005274,20.816005,954.878217
21000,21000,21000,15.557761185,15.557761,1190.531194
20500,20500,20500,14.577975117,14.577975,1181.937125
20000,20000,20000,11.736300499,11.736300,1363.291610
30000,30000,30000,48.238381127,48.238381,1119.440552
29500,29500,29500,46.700634919,46.700635,1099.444367
29000,29000,29000,50.126594281,50.126594,973.096232
28500,28500,28500,47.316976876,47.316977,978.470161
28000,28000,28000,35.835313606,35.835314,1225.160200
27500,27500,27500,42.758845426,42.758845,972.751944
27000,27000,27000,28.000311195,28.000311,1405.912946
26500,26500,26500,27.026978460,27.026978,1377.114725
26000,26000,26000,25.689745816,25.689746,1368.328058
25500,25500,25500,25.041611109,25.041611,1324.305767
25000,25000,25000,23.057706773,23.057707,1355.295230
24500,24500,24500,21.939799013,21.939799,1340.588853
24000,24000,24000,23.708270260,23.708270,1166.175334
23500,23500,23500,25.135701154,25.135701,1032.624865
23000,23000,23000,26.281095812,26.281096,925.912685
22500,22500,22500,24.124449708,24.124450,944.322058
22000,22000,22000,28.341260602,28.341261,751.413295
21500,21500,21500,21.012891177,21.012891,945.931230
21000,21000,21000,15.614980258,15.614980,1186.168647
20500,20500,20500,14.527489025,14.527489,1186.044606
20000,20000,20000,11.602626558,11.602627,1378.998102
30000,30000,30000,55.519804764,55.519805,972.625899
29500,29500,29500,50.317792605,50.317793,1020.409429
29000,29000,29000,38.701700570,38.701701,1260.358054
28500,28500,28500,32.633393395,32.633393,1418.738451
28000,28000,28000,44.681414997,44.681415,982.600932
27500,27500,27500,34.958292075,34.958292,1189.810701
27000,27000,27000,33.075117838,33.075118,1190.199841
26500,26500,26500,30.573287832,30.573288,1217.378066
26000,26000,26000,36.055747218,36.055747,974.934725
25500,25500,25500,31.103488830,31.103489,1066.206758
25000,25000,25000,21.182849549,21.182850,1475.250057
24500,24500,24500,25.276057174,25.276057,1163.640745
24000,24000,24000,23.493490139,23.493490,1176.836640
23500,23500,23500,25.502243188,25.502243,1017.783017
23000,23000,23000,22.328660091,22.328660,1089.810132
22500,22500,22500,21.574500339,21.574500,1055.934072
22000,22000,22000,28.666171991,28.666172,742.896540
21500,21500,21500,20.917070951,20.917071,950.264501
21000,21000,21000,15.541181261,15.541181,1191.801298
20500,20500,20500,14.620409941,14.620410,1178.506627
20000,20000,20000,13.066245305,13.066245,1224.529283
