m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,45.826739464,45.826739,1178.351343
29500,29500,29500,47.424679855,47.424680,1082.658864
29000,29000,29000,45.415533155,45.415533,1074.037815
28500,28500,28500,43.957490779,43.957491,1053.250520
28000,28000,28000,42.829223960,42.829224,1025.094455
27500,27500,27500,41.905436799,41.905437,992.562139
27000,27000,27000,40.648533456,40.648533,968.448223
26500,26500,26500,38.224391820,38.224392,973.704178
26000,26000,26000,31.036859551,31.036860,1132.588816
25500,25500,25500,30.237688825,30.237689,1096.735607
25000,25000,25000,23.227382622,23.227383,1345.394809
24500,24500,24500,21.690399507,21.690400,1356.003147
24000,24000,24000,20.392653051,20.392653,1355.782395
23500,23500,23500,21.706659800,21.706660,1195.750532
23000,23000,23000,18.641285164,18.641285,1305.382101
22500,22500,22500,21.412252738,21.412253,1063.935228
22000,22000,22000,23.906873104,23.906873,890.789854
21500,21500,21500,17.422743014,17.422743,1140.850782
21000,21000,21000,19.305532990,19.305533,959.414071
20500,20500,20500,18.270673815,18.270674,943.054984
20000,20000,20000,16.023194090,16.023194,998.552468
19500,19500,19500,16.191034582,16.191035,915.923558
19000,19000,19000,14.901083963,14.901084,920.604168
18500,18500,18500,13.699469110,13.699469,924.360638
18000,18000,18000,12.703651308,12.703651,918.161221
17500,17500,17500,11.756141167,11.756141,911.757510
17000,17000,17000,10.136313801,10.136314,969.385932
16500,16500,16500,9.588700203,9.588700,936.962238
16000,16000,16000,7.614098726,7.614099,1075.898842
15500,15500,15500,7.029566142,7.029566,1059.489284
15000,15000,15000,6.430525716,6.430526,1049.680897
14500,14500,14500,5.953309672,5.953310,1024.178203
14000,14000,14000,5.458643089,5.458643,1005.378060
13500,13500,13500,4.207406501,4.207407,1169.544706
13000,13000,13000,3.914091834,3.914092,1122.610349
12500,12500,12500,3.573928778,3.573929,1092.984847
12000,12000,12000,3.754199149,3.754199,920.569171
11500,11500,11500,3.413949530,3.413950,890.976850
11000,11000,11000,3.521362322,3.521362,755.957427
10500,10500,10500,2.728353055,2.728353,848.588857
10000,10000,10000,2.274569502,2.274570,879.287267
9500,9500,9500,2.109512642,2.109513,812.865477
9000,9000,9000,1.786575971,1.786576,816.086203
8500,8500,8500,1.539704918,1.539705,797.717787
8000,8000,8000,1.300664696,1.300665,787.289763
7500,7500,7500,1.096001991,1.096002,769.843492
7000,7000,7000,0.930502379,0.930502,737.236159
6500,6500,6500,0.731421847,0.731422,750.934638
6000,6000,6000,0.590825427,0.590825,731.180447
5500,5500,5500,0.465234177,0.465234,715.231203
5000,5000,5000,0.324022080,0.324022,771.552358
4500,4500,4500,0.219605120,0.219605,829.898684
4000,4000,4000,0.132694183,0.132694,964.624048
3500,3500,3500,0.081238465,0.081238,1055.534469
3000,3000,3000,0.052773874,0.052774,1023.233580
2500,2500,2500,0.036547972,0.036548,855.040603
2000,2000,2000,0.025085160,0.025085,637.827305
