m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,51.155723933,51.155724,1055.600348
29500,29500,29500,36.246891484,36.246891,1416.528367
29000,29000,29000,33.948668581,33.948669,1436.816289
28500,28500,28500,32.318199442,32.318199,1432.575168
28000,28000,28000,30.795230433,30.795230,1425.675320
27500,27500,27500,31.535435389,31.535435,1318.952774
27000,27000,27000,28.627311654,28.627312,1375.120391
26500,26500,26500,27.135736896,27.135737,1371.595330
26000,26000,26000,28.218832208,28.218832,1245.692938
25500,25500,25500,30.620945356,30.620945,1083.008693
25000,25000,25000,26.089367553,26.089368,1197.805962
24500,24500,24500,29.253002999,29.253003,1005.443783
24000,24000,24000,27.420343463,27.420343,1008.302468
23500,23500,23500,27.407021925,27.407022,947.047442
23000,23000,23000,26.552748383,26.552748,916.439973
22500,22500,22500,24.264807794,24.264808,938.859693
22000,22000,22000,22.808052602,22.808053,933.705318
21500,21500,21500,16.198368267,16.198368,1227.083474
21000,21000,21000,15.071176994,15.071177,1228.968382
20500,20500,20500,14.052258326,14.052258,1226.155227
20000,20000,20000,13.177437183,13.177437,1214.196644
19500,19500,19500,13.555990774,13.555991,1093.962828
19000,19000,19000,14.907058134,14.907058,920.235225
18500,18500,18500,13.689474215,13.689474,925.035527
18000,18000,18000,12.418906120,12.418906,939.213155
17500,17500,17500,11.540933526,11.540934,928.759357
17000,17000,17000,10.140365945,10.140366,968.998560
16500,16500,16500,9.631037184,9.631037,932.843455
16000,16000,16000,7.546129728,7.546130,1085.589606
15500,15500,15500,5.655662682,5.655663,1316.866019
15000,15000,15000,6.382464803,6.382465,1057.585151
14500,14500,14500,6.000440486,6.000440,1016.133735
14000,14000,14000,5.487989267,5.487989,1000.001956
13500,13500,13500,4.987977219,4.987977,986.522148
13000,13000,13000,4.585641041,4.585641,958.208451
12500,12500,12500,4.136805814,4.136806,944.267190
12000,12000,12000,3.709854975,3.709855,931.572804
11500,11500,11500,2.862951784,2.862952,1062.452402
11000,11000,11000,3.561796794,3.561797,747.375596
10500,10500,10500,2.764350398,2.764350,837.538541
10000,10000,10000,2.437482613,2.437483,820.518673
9500,9500,9500,2.140955143,2.140955,800.927570
9000,9000,9000,1.770514237,1.770514,823.489566
8500,8500,8500,1.542137555,1.542138,796.459431
8000,8000,8000,1.317462394,1.317462,777.251787
7500,7500,7500,1.062155863,1.062156,794.374940
7000,7000,7000,0.882227482,0.882227,777.577228
6500,6500,6500,0.743145639,0.743146,739.087968
6000,6000,6000,0.599394700,0.599395,720.727094
5500,5500,5500,0.465634646,0.465635,714.616068
5000,5000,5000,0.329714821,0.329715,758.231005
4500,4500,4500,0.217068733,0.217069,839.595816
4000,4000,4000,0.132926027,0.132926,962.941592
3500,3500,3500,0.090528085,0.090528,947.219860
3000,3000,3000,0.063194918,0.063195,854.499091
2500,2500,2500,0.043042010,0.043042,726.034867
2000,2000,2000,0.029317418,0.029317,545.750652
30000,30000,30000,51.130520763,51.130521,1056.120673
29500,29500,29500,35.722623599,35.722624,1437.317443
29000,29000,29000,34.218153505,34.218154,1425.500648
28500,28500,28500,32.400139291,32.400139,1428.952190
28000,28000,28000,30.835464375,30.835464,1423.815107
27500,27500,27500,29.972105321,29.972105,1387.748693
27000,27000,27000,28.490882004,28.490882,1381.705206
26500,26500,26500,26.894653291,26.894653,1383.890307
26000,26000,26000,28.359550723,28.359551,1239.511879
25500,25500,25500,31.355962898,31.355963,1057.621803
25000,25000,25000,27.370728620,27.370729,1141.730658
24500,24500,24500,29.130223377,29.130223,1009.681581
24000,24000,24000,26.621193035,26.621193,1038.571035
23500,23500,23500,27.637014739,27.637015,939.166196
23000,23000,23000,26.650557217,26.650557,913.076594
22500,22500,22500,24.802565871,24.802566,918.503760
22000,22000,22000,21.929828852,21.929829,971.097410
21500,21500,21500,16.154742414,16.154742,1230.397210
21000,21000,21000,15.705547076,15.705547,1179.328546
20500,20500,20500,13.952128163,13.952128,1234.954969
20000,20000,20000,13.066446004,13.066446,1224.510475
