m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.036067399,0.036067,443.613913
2500,2500,2500,0.067489964,0.067490,463.031807
3000,3000,3000,0.114933629,0.114934,469.836378
3500,3500,3500,0.181062337,0.181062,473.593799
4000,4000,4000,0.269859662,0.269860,474.320612
4500,4500,4500,0.382944375,0.382944,475.917684
5000,5000,5000,0.526806467,0.526806,474.557576
5500,5500,5500,0.714030382,0.714030,466.016585
6000,6000,6000,0.948408863,0.948409,455.499750
6500,6500,6500,1.181907709,1.181908,464.714796
7000,7000,7000,1.507602421,1.507602,455.027128
7500,7500,7500,1.908950792,1.908951,441.996726
8000,8000,8000,2.302089608,2.302090,444.813267
8500,8500,8500,2.819695271,2.819695,435.596716
9000,9000,9000,3.353494819,3.353495,434.770315
9500,9500,9500,4.033584644,4.033585,425.118140
10000,10000,10000,4.704000396,4.704000,425.170032
10500,10500,10500,5.567637723,5.567638,415.840634
11000,11000,11000,6.491076117,6.491076,410.101492
11500,11500,11500,7.475522629,7.475523,406.894628
12000,12000,12000,8.410529280,8.410529,410.913497
12500,12500,12500,9.797570277,9.797570,398.695788
13000,13000,13000,10.690809597,10.690810,411.007226
13500,13500,13500,12.129536389,12.129536,405.683271
14000,14000,14000,13.269083323,13.269083,413.593002
14500,14500,14500,14.934694881,14.934695,408.260768
15000,15000,15000,16.444516954,16.444517,410.471163
15500,15500,15500,18.055138311,18.055138,412.500302
16000,16000,16000,19.353162809,19.353163,423.289985
16500,16500,16500,21.498891432,21.498891,417.893640
17000,17000,17000,22.779239009,22.779239,431.357694
17500,17500,17500,25.451854885,25.451855,421.138265
18000,18000,18000,27.206704864,27.206705,428.717849
18500,18500,18500,30.049938488,30.049938,421.406853
19000,19000,19000,32.531305411,32.531305,421.686121
19500,19500,19500,35.175029253,35.175029,421.598797
20000,20000,20000,38.042654168,38.042654,420.580539
20500,20500,20500,41.162934112,41.162934,418.586536
21000,21000,21000,44.416837183,44.416837,417.004028
21500,21500,21500,48.131449207,48.131449,412.968035
22000,22000,22000,51.179501981,51.179502,416.104088
22500,22500,22500,55.463254737,55.463255,410.744918
23000,23000,23000,59.741514198,59.741514,407.321447
23500,23500,23500,63.823129015,63.823129,406.682505
24000,24000,24000,66.597563176,66.597563,415.150325
24500,24500,24500,71.538424122,71.538424,411.139194
25000,25000,25000,77.616742807,77.616743,402.619317
25500,25500,25500,81.646258660,81.646259,406.175991
26000,26000,26000,86.373811491,86.373811,406.975209
26500,26500,26500,92.003857581,92.003858,404.540103
27000,27000,27000,96.965023035,96.965023,405.981443
27500,27500,27500,101.907211816,101.907212,408.153155
28000,28000,28000,105.186644216,105.186644,417.391393
28500,28500,28500,111.390609958,111.390610,415.638715
29000,29000,29000,118.759183766,118.759184,410.730341
29500,29500,29500,125.725726349,125.725726,408.386982
30000,30000,30000,129.871774683,129.871775,415.794734
2000,2000,2000,0.036147661,0.036148,442.628916
2500,2500,2500,0.067977923,0.067978,459.708073
3000,3000,3000,0.114711530,0.114712,470.746053
3500,3500,3500,0.181710684,0.181711,471.904008
4000,4000,4000,0.270997185,0.270997,472.329630
4500,4500,4500,0.384817216,0.384817,473.601472
5000,5000,5000,0.546210293,0.546210,457.699174
5500,5500,5500,0.700633595,0.700634,474.927269
6000,6000,6000,0.905058785,0.905059,477.317062
6500,6500,6500,1.202148647,1.202149,456.890253
7000,7000,7000,1.506547493,1.506547,455.345751
7500,7500,7500,1.883410790,1.883411,447.990425
8000,8000,8000,2.334391333,2.334391,438.658243
8500,8500,8500,2.891072231,2.891072,424.842377
9000,9000,9000,3.357174109,3.357174,434.293829
9500,9500,9500,3.992228639,3.992229,429.521993
10000,10000,10000,4.697515475,4.697515,425.756980
10500,10500,10500,5.553805922,5.553806,416.876289
11000,11000,11000,6.490982474,6.490982,410.107408
11500,11500,11500,7.471172719,7.471173,407.131533
12000,12000,12000,8.496213163,8.496213,406.769455
12500,12500,12500,9.689713695,9.689714,403.133686
13000,13000,13000,10.766063225,10.766063,408.134330
13500,13500,13500,12.146679950,12.146680,405.110699
14000,14000,14000,13.377526447,13.377526,410.240265
14500,14500,14500,14.800713294,14.800713,411.956497
15000,15000,15000,16.432531206,16.432531,410.770557
15500,15500,15500,17.895713722,17.895714,416.175075
16000,16000,16000,19.517756207,19.517756,419.720377
16500,16500,16500,21.553865808,21.553866,416.827778
17000,17000,17000,22.907571435,22.907571,428.941148
17500,17500,17500,25.389115440,25.389115,422.178946
18000,18000,18000,27.432437506,27.432438,425.190069
18500,18500,18500,30.036621910,30.036622,421.593681
19000,19000,19000,32.566902965,32.566903,421.225193
19500,19500,19500,35.131876066,35.131876,422.116655
20000,20000,20000,38.180453470,38.180453,419.062597
20500,20500,20500,41.468947550,41.468948,415.497644
21000,21000,21000,44.562953680,44.562954,415.636722
21500,21500,21500,48.287674187,48.287674,411.631961
22000,22000,22000,51.106524241,51.106524,416.698265
22500,22500,22500,55.761459492,55.761459,408.548309
23000,23000,23000,59.653590691,59.653591,407.921798
23500,23500,23500,63.825763523,63.825764,406.665719
24000,24000,24000,66.754647582,66.754648,414.173410
24500,24500,24500,71.732127187,71.732127,410.028967
25000,25000,25000,77.372027228,77.372027,403.892739
25500,25500,25500,81.832324230,81.832324,405.252451
26000,26000,26000,86.280322342,86.280322,407.416188
26500,26500,26500,91.769528822,91.769529,405.573075
27000,27000,27000,96.567986832,96.567987,407.650623
27500,27500,27500,102.080233373,102.080233,407.461353
28000,28000,28000,104.726498104,104.726498,419.225323
28500,28500,28500,111.352658085,111.352658,415.780376
29000,29000,29000,119.275877670,119.275878,408.951088
29500,29500,29500,124.364993435,124.364993,412.855327
30000,30000,30000,130.346002838,130.346003,414.281979
2000,2000,2000,0.036196692,0.036197,442.029343
2500,2500,2500,0.067603512,0.067604,462.254091
3000,3000,3000,0.115556579,0.115557,467.303554
3500,3500,3500,0.181923323,0.181923,471.352428
4000,4000,4000,0.269765534,0.269766,474.486114
4500,4500,4500,0.381802933,0.381803,477.340492
5000,5000,5000,0.526943315,0.526943,474.434333
5500,5500,5500,0.709358980,0.709359,469.085483
6000,6000,6000,0.908468957,0.908469,475.525329
6500,6500,6500,1.219800205,1.219800,450.278659
7000,7000,7000,1.488648583,1.488649,460.820645
7500,7500,7500,1.933534263,1.933534,436.377062
8000,8000,8000,2.335011370,2.335011,438.541762
8500,8500,8500,2.815138356,2.815138,436.301824
9000,9000,9000,3.419036587,3.419037,426.435916
9500,9500,9500,3.998935400,3.998935,428.801626
10000,10000,10000,4.683972034,4.683972,426.988032
10500,10500,10500,5.560861877,5.560862,416.347331
11000,11000,11000,6.478689886,6.478690,410.885541
11500,11500,11500,7.448332718,7.448333,408.379985
12000,12000,12000,8.448135955,8.448136,409.084326
12500,12500,12500,9.800483539,9.800484,398.577273
13000,13000,13000,10.719343000,10.719343,409.913182
13500,13500,13500,12.123431348,12.123431,405.887563
14000,14000,14000,13.249928621,13.249929,414.190911
14500,14500,14500,14.788448937,14.788449,412.298141
15000,15000,15000,16.347091687,16.347092,412.917486
15500,15500,15500,17.847027676,17.847028,417.310386
16000,16000,16000,19.426372647,19.426373,421.694783
