m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,129.295241843,129.295242,417.648780
29500,29500,29500,124.785258011,124.785258,411.464870
29000,29000,29000,117.974780712,117.974781,413.461247
28500,28500,28500,111.861045860,111.861046,413.890731
28000,28000,28000,104.760393248,104.760393,419.089683
27500,27500,27500,101.942371481,101.942371,408.012384
27000,27000,27000,96.878516457,96.878516,406.343960
26500,26500,26500,92.175758884,92.175759,403.785664
26000,26000,26000,86.829269895,86.829270,404.840442
25500,25500,25500,82.025280559,82.025281,404.299135
25000,25000,25000,78.002991071,78.002991,400.625663
24500,24500,24500,71.753426717,71.753427,409.907252
24000,24000,24000,66.734570726,66.734571,414.298012
23500,23500,23500,63.948753237,63.948753,405.883597
23000,23000,23000,59.919388056,59.919388,406.112292
22500,22500,22500,55.518294108,55.518294,410.337716
22000,22000,22000,51.474599608,51.474600,413.718614
21500,21500,21500,48.104387234,48.104387,413.200357
21000,21000,21000,44.257493725,44.257494,418.505397
20500,20500,20500,40.954694911,40.954695,420.714891
20000,20000,20000,38.072330046,38.072330,420.252713
19500,19500,19500,35.604694113,35.604694,416.511091
19000,19000,19000,32.571663094,32.571663,421.163634
18500,18500,18500,30.266480527,30.266481,418.391890
18000,18000,18000,27.499769684,27.499770,424.149007
17500,17500,17500,25.483486207,25.483486,420.615528
17000,17000,17000,22.999760026,22.999760,427.221849
16500,16500,16500,21.686597040,21.686597,414.276614
16000,16000,16000,19.565437951,19.565438,418.697502
15500,15500,15500,17.995590243,17.995590,413.865280
15000,15000,15000,16.491803009,16.491803,409.294241
14500,14500,14500,14.776398459,14.776398,412.634379
14000,14000,14000,13.317411347,13.317411,412.092099
13500,13500,13500,12.079719726,12.079720,407.356306
13000,13000,13000,10.601748213,10.601748,414.459947
12500,12500,12500,9.814227515,9.814228,398.019100
12000,12000,12000,8.481558666,8.481559,407.472274
11500,11500,11500,7.466741791,7.466742,407.373133
11000,11000,11000,6.462328508,6.462329,411.925825
10500,10500,10500,5.572210564,5.572211,415.499374
10000,10000,10000,4.716248281,4.716248,424.065885
9500,9500,9500,3.981345936,3.981346,430.696058
9000,9000,9000,3.362683847,3.362684,433.582242
8500,8500,8500,2.801367699,2.801368,438.446549
8000,8000,8000,2.309145563,2.309146,443.454071
7500,7500,7500,1.946950054,1.946950,433.370131
7000,7000,7000,1.520152035,1.520152,451.270652
6500,6500,6500,1.204454278,1.204454,456.015650
6000,6000,6000,0.911811182,0.911811,473.782301
5500,5500,5500,0.716306724,0.716307,464.535637
5000,5000,5000,0.525543738,0.525544,475.697800
4500,4500,4500,0.382847433,0.382847,476.038192
4000,4000,4000,0.269031714,0.269032,475.780339
3500,3500,3500,0.180642432,0.180642,474.694672
3000,3000,3000,0.114793951,0.114794,470.408062
2500,2500,2500,0.067923720,0.067924,460.074919
2000,2000,2000,0.036298201,0.036298,440.793195
30000,30000,30000,130.302951339,130.302951,414.418856
29500,29500,29500,123.518340333,123.518340,415.685232
29000,29000,29000,118.088165800,118.088166,413.064253
28500,28500,28500,111.664275358,111.664275,414.620073
28000,28000,28000,104.906254984,104.906255,418.506980
27500,27500,27500,101.360334406,101.360334,410.355296
27000,27000,27000,96.303023238,96.303023,408.772214
26500,26500,26500,91.497416509,91.497417,406.779245
26000,26000,26000,86.687992246,86.687992,405.500221
25500,25500,25500,81.886529438,81.886529,404.984192
25000,25000,25000,77.363533367,77.363533,403.937083
24500,24500,24500,71.886995031,71.886995,409.145632
24000,24000,24000,67.013581841,67.013582,412.573082
23500,23500,23500,63.642355328,63.642355,407.837671
23000,23000,23000,59.671441979,59.671442,407.799765
22500,22500,22500,55.331026487,55.331026,411.726502
22000,22000,22000,51.278751098,51.278751,415.298726
21500,21500,21500,48.136665293,48.136665,412.923286
21000,21000,21000,44.443507006,44.443507,416.753790
20500,20500,20500,41.172133873,41.172134,418.493004
20000,20000,20000,38.106870836,38.106871,419.871788
19500,19500,19500,35.311760614,35.311761,419.966316
19000,19000,19000,32.430484697,32.430485,422.997070
18500,18500,18500,30.352180388,30.352180,417.210554
18000,18000,18000,27.385125912,27.385126,425.924644
17500,17500,17500,25.363522095,25.363522,422.604951
17000,17000,17000,23.042245163,23.042245,426.434140
16500,16500,16500,21.631193943,21.631194,415.337684
16000,16000,16000,19.482213808,19.482214,420.486095
15500,15500,15500,18.066072500,18.066073,412.250643
15000,15000,15000,16.347251834,16.347252,412.913441
14500,14500,14500,14.754146306,14.754146,413.256713
14000,14000,14000,13.280836171,13.280836,413.226993
13500,13500,13500,12.014521805,12.014522,409.566862
13000,13000,13000,10.740140295,10.740140,409.119423
12500,12500,12500,9.708016772,9.708017,402.373635
12000,12000,12000,8.434567804,8.434568,409.742393
11500,11500,11500,7.484633987,7.484634,406.399298
11000,11000,11000,6.472544787,6.472545,411.275640
10500,10500,10500,5.571690396,5.571690,415.538164
10000,10000,10000,4.690772438,4.690772,426.369010
9500,9500,9500,4.004400359,4.004400,428.216424
9000,9000,9000,3.396400195,3.396400,429.278034
8500,8500,8500,2.811572464,2.811572,436.855182
8000,8000,8000,2.331624685,2.331625,439.178744
7500,7500,7500,1.870339576,1.870340,451.121289
7000,7000,7000,1.483180608,1.483181,462.519532
6500,6500,6500,1.181830928,1.181831,464.744988
6000,6000,6000,0.910359600,0.910360,474.537754
5500,5500,5500,0.700760961,0.700761,474.840949
5000,5000,5000,0.524088184,0.524088,477.018959
4500,4500,4500,0.385819735,0.385820,472.370860
4000,4000,4000,0.269594936,0.269595,474.786366
3500,3500,3500,0.180666135,0.180666,474.632393
3000,3000,3000,0.115198932,0.115199,468.754346
2500,2500,2500,0.067978103,0.067978,459.706856
2000,2000,2000,0.036130468,0.036130,442.839545
30000,30000,30000,129.148870533,129.148871,418.122124
29500,29500,29500,123.967175673,123.967176,414.180203
29000,29000,29000,118.584355378,118.584355,411.335879
28500,28500,28500,111.459819493,111.459819,415.380630
28000,28000,28000,104.437345334,104.437345,420.386021
27500,27500,27500,101.534446747,101.534447,409.651614
27000,27000,27000,96.005050038,96.005050,410.040930
26500,26500,26500,91.848526511,91.848527,405.224247
26000,26000,26000,86.563606011,86.563606,406.082898
25500,25500,25500,81.803475680,81.803476,405.395366
25000,25000,25000,77.663615609,77.663616,402.376322
24500,24500,24500,71.364793347,71.364793,412.139497
24000,24000,24000,66.552531121,66.552531,415.431232
23500,23500,23500,63.745347479,63.745347,407.178736
23000,23000,23000,59.648553554,59.648554,407.956246
22500,22500,22500,55.599980621,55.599981,409.734855
22000,22000,22000,51.182164872,51.182165,416.082439
21500,21500,21500,48.062718194,48.062718,413.558591
21000,21000,21000,44.642216970,44.642217,414.898750
20500,20500,20500,41.098447930,41.098448,419.243326
20000,20000,20000,38.297962289,38.297962,417.776797
19500,19500,19500,35.267028684,35.267029,420.498992
19000,19000,19000,32.436816245,32.436816,422.914502
18500,18500,18500,30.036195135,30.036195,421.599671
