m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,52.982793228,52.982793,1019.198814
29500,29500,29500,66.884284174,66.884284,767.665389
29000,29000,29000,68.155250083,68.155250,715.689546
28500,28500,28500,68.236710217,68.236710,678.494755
28000,28000,28000,52.212619205,52.212619,840.869519
27500,27500,27500,51.177374669,51.177375,812.737079
27000,27000,27000,52.611107442,52.611107,748.245036
26500,26500,26500,47.209237552,47.209238,788.389136
26000,26000,26000,45.377434968,45.377435,774.658154
25500,25500,25500,28.388902516,28.388903,1168.158930
25000,25000,25000,28.179915273,28.179915,1108.945847
24500,24500,24500,27.416940100,27.416940,1072.776535
24000,24000,24000,24.468413882,24.468414,1129.946556
23500,23500,23500,22.791470170,22.791470,1138.836144
23000,23000,23000,23.977456966,23.977457,1014.869927
22500,22500,22500,26.777281828,26.777282,850.767832
22000,22000,22000,21.518729036,21.518729,989.649526
21500,21500,21500,28.909471927,28.909472,687.551473
21000,21000,21000,22.937101486,22.937101,807.512667
20500,20500,20500,23.980184291,23.980184,718.520333
20000,20000,20000,25.762727236,25.762727,621.052261
19500,19500,19500,24.114054829,24.114055,614.983673
19000,19000,19000,17.614974062,17.614974,778.769242
18500,18500,18500,17.347896027,17.347896,729.958837
18000,18000,18000,16.517844817,16.517845,706.145392
17500,17500,17500,12.623402040,12.623402,849.117375
17000,17000,17000,15.849682021,15.849682,619.949346
16500,16500,16500,12.325178270,12.325178,728.934690
16000,16000,16000,10.200391270,10.200391,803.106448
15500,15500,15500,9.586174192,9.586174,776.926212
15000,15000,15000,11.020726008,11.020726,612.482335
14500,14500,14500,10.105905638,10.105906,603.335339
14000,14000,14000,9.081383001,9.081383,604.313242
13500,13500,13500,8.423213871,8.423214,584.189132
13000,13000,13000,6.414280745,6.414281,685.033938
12500,12500,12500,5.753991802,5.753992,678.876532
12000,12000,12000,5.225420024,5.225420,661.382240
11500,11500,11500,4.658685273,4.658685,652.920260
11000,11000,11000,4.162130374,4.162130,639.576313
10500,10500,10500,3.683578344,3.683578,628.532851
10000,10000,10000,3.295441803,3.295442,606.898898
9500,9500,9500,2.829114332,2.829114,606.108414
9000,9000,9000,2.407666124,2.407666,605.565691
8500,8500,8500,1.985553020,1.985553,618.593403
8000,8000,8000,1.802914751,1.802915,567.969173
7500,7500,7500,1.500068732,1.500069,562.474227
7000,7000,7000,1.223679585,1.223680,560.604270
6500,6500,6500,0.973194668,0.973195,564.378349
6000,6000,6000,0.765425289,0.765425,564.392118
5500,5500,5500,0.587962876,0.587963,565.937092
5000,5000,5000,0.419956824,0.419957,595.299292
4500,4500,4500,0.298286345,0.298286,610.990087
4000,4000,4000,0.192722242,0.192722,664.168280
3500,3500,3500,0.119937323,0.119937,714.956761
3000,3000,3000,0.072586589,0.072587,743.939077
2500,2500,2500,0.053153676,0.053154,587.917946
2000,2000,2000,0.036252108,0.036252,441.353645
