m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,53.877541075,53.877541,1002.272912
29500,29500,29500,54.703381496,54.703381,938.602854
29000,29000,29000,52.523166188,52.523166,928.694965
28500,28500,28500,44.994057125,44.994057,1028.985892
28000,28000,28000,52.240167977,52.240168,840.426088
27500,27500,27500,56.347491589,56.347492,738.165069
27000,27000,27000,57.208418268,57.208418,688.115512
26500,26500,26500,44.117356677,44.117357,843.641886
26000,26000,26000,50.587347066,50.587347,694.877317
25500,25500,25500,50.566711540,50.566712,655.821765
25000,25000,25000,43.843222556,43.843223,712.766950
24500,24500,24500,42.616281930,42.616282,690.164619
24000,24000,24000,42.934776739,42.934777,643.953506
23500,23500,23500,25.001663700,25.001664,1038.160912
23000,23000,23000,24.220011835,24.220012,1004.706363
22500,22500,22500,21.493804549,21.493805,1059.898444
22000,22000,22000,24.442649085,24.442649,871.263991
21500,21500,21500,23.724083106,23.724083,837.830061
21000,21000,21000,17.710318338,17.710318,1045.831004
20500,20500,20500,24.648589778,24.648590,699.035935
20000,20000,20000,24.726741499,24.726741,647.072725
19500,19500,19500,22.813261086,22.813261,650.049545
19000,19000,19000,22.381912478,22.381912,612.905622
18500,18500,18500,20.096514000,20.096514,630.121722
18000,18000,18000,16.578848012,16.578848,703.547073
17500,17500,17500,16.048615389,16.048615,667.892509
17000,17000,17000,10.791304725,10.791305,910.547913
16500,16500,16500,13.908791429,13.908791,645.940378
16000,16000,16000,10.256454006,10.256454,798.716593
15500,15500,15500,9.612797112,9.612797,774.774492
15000,15000,15000,11.161451398,11.161451,604.760058
14500,14500,14500,10.395788182,10.395788,586.511565
14000,14000,14000,9.359708576,9.359709,586.343042
13500,13500,13500,8.592812071,8.592812,572.658864
13000,13000,13000,6.500542302,6.500542,675.943605
12500,12500,12500,6.797848122,6.797848,574.630373
12000,12000,12000,5.301606270,5.301606,651.877907
11500,11500,11500,4.732157989,4.732158,642.782850
11000,11000,11000,4.269138368,4.269138,623.545027
10500,10500,10500,3.764472965,3.764473,615.026332
10000,10000,10000,3.357067023,3.357067,595.758138
9500,9500,9500,2.876652490,2.876652,596.092161
9000,9000,9000,2.404519745,2.404520,606.358090
8500,8500,8500,2.152111181,2.152111,570.718656
8000,8000,8000,1.793872725,1.793873,570.832025
7500,7500,7500,1.500458948,1.500459,562.327947
7000,7000,7000,1.234771693,1.234772,555.568292
6500,6500,6500,0.972869797,0.972870,564.566812
6000,6000,6000,0.761343699,0.761344,567.417844
5500,5500,5500,0.590853306,0.590853,563.168551
5000,5000,5000,0.427289665,0.427290,585.083189
4500,4500,4500,0.301447593,0.301448,604.582701
4000,4000,4000,0.194143942,0.194144,659.304631
3500,3500,3500,0.121464544,0.121465,705.967332
3000,3000,3000,0.079208267,0.079208,681.747020
2500,2500,2500,0.054848899,0.054849,569.747079
2000,2000,2000,0.040424973,0.040425,395.794946
30000,30000,30000,49.434809303,49.434809,1092.347695
29500,29500,29500,45.789256286,45.789256,1121.327450
29000,29000,29000,53.101531511,53.101532,918.579909
28500,28500,28500,56.666424289,56.666424,817.031436
28000,28000,28000,50.859411683,50.859412,863.242388
27500,27500,27500,54.111958511,54.111959,768.660960
27000,27000,27000,56.508963615,56.508964,696.632843
26500,26500,26500,54.659530587,54.659531,680.928826
26000,26000,26000,52.122708292,52.122708,674.408548
25500,25500,25500,40.484176445,40.484176,819.153381
25000,25000,25000,43.993531151,43.993531,710.331705
24500,24500,24500,42.838713716,42.838714,686.581072
24000,24000,24000,41.295289370,41.295289,669.519464
23500,23500,23500,41.178558727,41.178559,630.321964
23000,23000,23000,24.267289026,24.267289,1002.749008
22500,22500,22500,22.254314377,22.254314,1023.677909
22000,22000,22000,24.078563453,24.078563,884.438145
21500,21500,21500,23.196285901,23.196286,856.893646
21000,21000,21000,19.241069616,19.241070,962.628397
20500,20500,20500,22.338147548,22.338148,771.337460
20000,20000,20000,24.875199448,24.875199,643.210923
19500,19500,19500,21.171474753,21.171475,700.458998
19000,19000,19000,22.452451848,22.452452,610.980043
18500,18500,18500,20.757649822,20.757650,610.052203
18000,18000,18000,18.643735627,18.643736,625.625692
17500,17500,17500,16.035774871,16.035775,668.427319
17000,17000,17000,11.885018206,11.885018,826.755149
16500,16500,16500,13.875078115,13.875078,647.509868
16000,16000,16000,10.312314450,10.312314,794.390051
15500,15500,15500,8.240734564,8.240735,903.772588
15000,15000,15000,11.115040917,11.115041,607.285214
14500,14500,14500,10.406770453,10.406770,585.892619
14000,14000,14000,9.009186755,9.009187,609.155981
