m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,1157.443845735,1157.443846,46.654531
30000,30000,30000,582.337037329,582.337037,92.729805
30000,30000,30000,385.604280273,385.604280,140.039939
30000,30000,30000,292.894452689,292.894453,184.366756
30000,30000,30000,233.299683271,233.299683,231.461952
30000,30000,30000,194.354908575,194.354909,277.842224
30000,30000,30000,167.386741551,167.386742,322.606196
30000,30000,30000,149.917434563,149.917435,360.198266
30000,30000,30000,134.867744714,134.867745,400.392252
30000,30000,30000,122.497042227,122.497042,440.826970
30000,30000,30000,113.376843033,113.376843,476.287737
30000,30000,30000,108.054434553,108.054435,499.748115
30000,30000,30000,105.161774281,105.161774,513.494569
30000,30000,30000,96.750196049,96.750196,558.138404
30000,30000,30000,100.553867974,100.553868,537.025587
30000,30000,30000,96.765509770,96.765510,558.050075
30000,30000,30000,95.910426896,95.910427,563.025333
30000,30000,30000,85.834018447,85.834018,629.121192
30000,30000,30000,83.204171119,83.204171,649.005925
30000,30000,30000,90.507410371,90.507410,596.636229
30000,30000,30000,80.895684016,80.895684,667.526342
30000,30000,30000,77.238854551,77.238855,699.129995
30000,30000,30000,75.588038802,75.588039,714.398744
30000,30000,30000,71.950060483,71.950060,750.520564
30000,30000,30000,72.151453182,72.151453,748.425674
30000,30000,30000,69.402476801,69.402477,778.070214
30000,30000,30000,69.390917522,69.390918,778.199827
30000,30000,30000,67.312263072,67.312263,802.231236
30000,30000,30000,66.126747494,66.126747,816.613580
30000,30000,30000,64.036842078,64.036842,843.264568
30000,30000,30000,64.254416759,64.254417,840.409154
30000,30000,30000,60.394766620,60.394767,894.117206
30000,30000,30000,61.900379018,61.900379,872.369456
30000,30000,30000,59.430297046,59.430297,908.627462
30000,30000,30000,59.675017418,59.675017,904.901286
30000,30000,30000,59.176733720,59.176734,912.520793
30000,30000,30000,59.617499250,59.617499,905.774323
30000,30000,30000,57.556198587,57.556199,938.213456
30000,30000,30000,59.059943447,59.059943,914.325291
30000,30000,30000,56.916707228,56.916707,948.754814
30000,30000,30000,57.329259781,57.329260,941.927389
30000,30000,30000,56.241750184,56.241750,960.140818
30000,30000,30000,56.456118919,56.456119,956.495080
30000,30000,30000,54.533678640,54.533679,990.213779
30000,30000,30000,55.202021310,55.202021,978.225049
30000,30000,30000,50.706821776,50.706822,1064.945467
30000,30000,30000,52.996544920,52.996545,1018.934349
30000,30000,30000,51.883781445,51.883781,1040.787670
30000,30000,30000,52.195291423,52.195291,1034.576080
30000,30000,30000,51.614265019,51.614265,1046.222396
30000,30000,30000,52.004727712,52.004728,1038.367133
30000,30000,30000,49.757002799,49.757003,1085.274373
30000,30000,30000,50.886063279,50.886063,1061.194294
30000,30000,30000,50.373641243,50.373641,1071.989212
30000,30000,30000,49.661620788,49.661621,1087.358792
30000,30000,30000,49.882022950,49.882023,1082.554331
30000,30000,30000,49.709958662,49.709959,1086.301447
30000,30000,30000,48.301692375,48.301692,1117.973250
