m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,1152.273335519,1152.273336,46.863881
30000,30000,30000,576.488433960,576.488434,93.670570
30000,30000,30000,383.894629050,383.894629,140.663599
30000,30000,30000,290.014879935,290.014880,186.197343
30000,30000,30000,232.049342326,232.049342,232.709128
30000,30000,30000,192.970781397,192.970781,279.835111
30000,30000,30000,165.825107604,165.825108,325.644293
30000,30000,30000,148.238408817,148.238409,364.278060
30000,30000,30000,130.155468514,130.155469,414.888445
30000,30000,30000,119.131027128,119.131027,453.282418
30000,30000,30000,109.033226931,109.033227,495.261871
30000,30000,30000,100.751476858,100.751477,535.972292
30000,30000,30000,93.884255947,93.884256,575.176311
30000,30000,30000,87.134826295,87.134826,619.729244
30000,30000,30000,83.619844924,83.619845,645.779720
30000,30000,30000,91.645345146,91.645345,589.227963
30000,30000,30000,86.847702827,86.847703,621.778104
30000,30000,30000,84.021847938,84.021848,642.689983
30000,30000,30000,81.552620739,81.552621,662.149168
30000,30000,30000,79.325866175,79.325866,680.736342
30000,30000,30000,77.946649931,77.946650,692.781538
30000,30000,30000,74.777405132,74.777405,722.143272
30000,30000,30000,74.395687839,74.395688,725.848521
30000,30000,30000,78.242139805,78.242140,690.165174
30000,30000,30000,69.729549242,69.729549,774.420609
30000,30000,30000,68.397547683,68.397548,789.501990
30000,30000,30000,66.372582599,66.372583,813.588953
30000,30000,30000,75.880025894,75.880026,711.649731
30000,30000,30000,64.367347705,64.367348,838.934676
30000,30000,30000,62.795755243,62.795755,859.930736
30000,30000,30000,62.958448456,62.958448,857.708557
30000,30000,30000,70.844851823,70.844852,762.228992
30000,30000,30000,60.439390768,60.439391,893.457054
30000,30000,30000,58.087955039,58.087955,929.624738
30000,30000,30000,59.619500448,59.619500,905.743919
30000,30000,30000,64.142601666,64.142602,841.874177
30000,30000,30000,57.455262534,57.455263,939.861687
30000,30000,30000,56.250020359,56.250020,959.999653
30000,30000,30000,57.682475762,57.682476,936.159540
30000,30000,30000,56.599012161,56.599012,954.080256
30000,30000,30000,55.021830732,55.021831,981.428631
30000,30000,30000,55.636547091,55.636547,970.585035
30000,30000,30000,55.064947727,55.064948,980.660152
30000,30000,30000,54.494607898,54.494608,990.923728
30000,30000,30000,53.723182660,53.723183,1005.152661
30000,30000,30000,52.050850173,52.050850,1037.447032
30000,30000,30000,53.851844517,53.851845,1002.751168
30000,30000,30000,51.699155347,51.699155,1044.504492
30000,30000,30000,52.269910557,52.269911,1033.099147
30000,30000,30000,50.670034855,50.670035,1065.718627
30000,30000,30000,50.638756831,50.638757,1066.376890
30000,30000,30000,50.804983277,50.804983,1062.887861
30000,30000,30000,50.504769830,50.504770,1069.205942
30000,30000,30000,50.150294368,50.150294,1076.763371
30000,30000,30000,49.230755562,49.230756,1096.875305
30000,30000,30000,48.217088571,48.217089,1119.934894
30000,30000,30000,51.015226108,51.015226,1058.507511
30000,30000,30000,50.391648979,50.391649,1071.606131
30000,30000,30000,49.922411956,49.922412,1081.678506
30000,30000,30000,48.634473715,48.634474,1110.323519
