m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,34.099226056,34.099226,1583.613655
30000,30000,30000,35.604804769,35.604805,1516.649237
30000,30000,30000,37.345104865,37.345105,1445.972643
30000,30000,30000,38.985700372,38.985700,1385.123250
30000,30000,30000,40.821823461,40.821823,1322.821849
30000,30000,30000,42.930459797,42.930460,1257.848163
30000,30000,30000,44.946954148,44.946954,1201.416225
30000,30000,30000,47.787418616,47.787419,1130.004540
30000,30000,30000,50.647666930,50.647667,1066.189289
30000,30000,30000,54.014365582,54.014366,999.734041
30000,30000,30000,57.562062143,57.562062,938.117885
30000,30000,30000,61.198837301,61.198837,882.369705
30000,30000,30000,65.451136770,65.451137,825.042966
30000,30000,30000,71.372155482,71.372155,756.597578
30000,30000,30000,78.509133230,78.509133,687.818064
30000,30000,30000,87.152404210,87.152404,619.604249
30000,30000,30000,98.375561909,98.375562,548.916814
30000,30000,30000,112.420961293,112.420961,480.337469
30000,30000,30000,131.370295261,131.370295,411.051828
30000,30000,30000,158.051137734,158.051138,341.661571
30000,30000,30000,198.455696574,198.455697,272.101033
30000,30000,30000,264.975180678,264.975181,203.792672
30000,30000,30000,402.026707203,402.026707,134.319435
30000,30000,30000,800.522956481,800.522956,67.455904
30000,30000,30000,33.947359717,33.947360,1590.698082
30000,30000,30000,35.931411558,35.931412,1502.863307
30000,30000,30000,37.261213669,37.261214,1449.228157
30000,30000,30000,38.887005144,38.887005,1388.638693
30000,30000,30000,40.720899438,40.720899,1326.100375
30000,30000,30000,42.871726136,42.871726,1259.571397
30000,30000,30000,45.113337990,45.113338,1196.985247
30000,30000,30000,47.457419447,47.457419,1137.862122
30000,30000,30000,50.716135557,50.716136,1064.749895
30000,30000,30000,53.749216945,53.749217,1004.665799
30000,30000,30000,57.112211212,57.112211,945.507079
30000,30000,30000,61.280319538,61.280320,881.196449
30000,30000,30000,65.462635649,65.462636,824.898042
30000,30000,30000,71.367530255,71.367530,756.646612
30000,30000,30000,78.620516472,78.620516,686.843618
30000,30000,30000,87.306453292,87.306453,618.510980
30000,30000,30000,98.192534318,98.192534,549.939976
30000,30000,30000,112.386389944,112.386390,480.485226
30000,30000,30000,131.130527647,131.130528,411.803422
30000,30000,30000,158.048203311,158.048203,341.667914
30000,30000,30000,198.499627900,198.499628,272.040812
30000,30000,30000,266.175177454,266.175177,202.873914
30000,30000,30000,403.909133992,403.909134,133.693436
30000,30000,30000,800.957322067,800.957322,67.419322
30000,30000,30000,33.993131586,33.993132,1588.556202
30000,30000,30000,35.637190811,35.637191,1515.270951
30000,30000,30000,37.145636654,37.145637,1453.737366
30000,30000,30000,38.877881018,38.877881,1388.964588
30000,30000,30000,40.990279917,40.990280,1317.385490
30000,30000,30000,42.984832966,42.984833,1256.257063
