m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,34.564268159,34.564268,1562.307055
29500,29500,29500,32.847154787,32.847155,1563.141476
29000,29000,29000,31.159367099,31.159367,1565.436161
28500,28500,28500,29.729691908,29.729692,1557.306754
28000,28000,28000,27.989395289,27.989395,1568.594089
27500,27500,27500,26.026203063,26.026203,1598.148985
27000,27000,27000,24.684659687,24.684660,1594.755630
26500,26500,26500,23.464076391,23.464076,1586.222674
26000,26000,26000,22.028663938,22.028664,1595.739083
25500,25500,25500,21.379612619,21.379613,1551.138956
25000,25000,25000,19.679229410,19.679229,1587.968683
24500,24500,24500,18.568342315,18.568342,1583.999772
24000,24000,24000,17.276747999,17.276748,1600.301168
23500,23500,23500,16.325595825,16.325596,1589.880717
23000,23000,23000,15.201920541,15.201921,1600.718800
22500,22500,22500,14.468215788,14.468216,1574.572175
22000,22000,22000,13.494685418,13.494685,1578.102738
21500,21500,21500,12.827518837,12.827519,1549.539724
21000,21000,21000,11.664738090,11.664738,1587.862484
20500,20500,20500,10.951147349,10.951147,1573.373954
20000,20000,20000,10.410309250,10.410309,1536.938012
19500,19500,19500,9.569442631,9.569443,1549.698407
19000,19000,19000,8.801514792,8.801515,1558.595347
18500,18500,18500,8.152735750,8.152736,1553.251619
18000,18000,18000,7.461032859,7.461033,1563.322427
17500,17500,17500,6.921046145,6.921046,1548.718182
17000,17000,17000,6.205108361,6.205108,1583.533990
16500,16500,16500,5.650688093,5.650688,1589.939110
16000,16000,16000,5.306493037,5.306493,1543.769104
15500,15500,15500,4.697010305,4.697010,1585.636291
15000,15000,15000,4.264175580,4.264176,1582.955456
14500,14500,14500,3.862338737,3.862339,1578.641962
14000,14000,14000,3.458994482,3.458994,1586.588249
13500,13500,13500,3.245554639,3.245555,1516.150719
13000,13000,13000,2.842761600,2.842762,1545.680088
12500,12500,12500,2.522085864,2.522086,1548.817213
12000,12000,12000,2.213493617,2.213494,1561.332716
11500,11500,11500,1.928143923,1.928144,1577.553399
11000,11000,11000,1.688004531,1.688005,1577.009985
10500,10500,10500,1.479057467,1.479057,1565.354999
10000,10000,10000,1.287363106,1.287363,1553.563242
9500,9500,9500,1.093064694,1.093065,1568.754356
9000,9000,9000,0.907994314,0.907994,1605.736928
8500,8500,8500,0.776674840,0.776675,1581.421126
8000,8000,8000,0.640896376,0.640896,1597.762194
7500,7500,7500,0.533844874,0.533845,1580.515317
7000,7000,7000,0.443909990,0.443910,1545.358328
6500,6500,6500,0.351089663,0.351090,1564.415185
