m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,52.043286223,52.043286,1037.597814
29500,29500,29500,57.314423932,57.314424,895.843428
29000,29000,29000,53.381277809,53.381278,913.766062
28500,28500,28500,51.614845710,51.614846,896.994835
28000,28000,28000,50.918733838,50.918734,862.236680
27500,27500,27500,27.582973748,27.582974,1507.950172
27000,27000,27000,28.867111611,28.867112,1363.697225
26500,26500,26500,34.977492509,34.977493,1064.091429
26000,26000,26000,27.243948509,27.243949,1290.268185
25500,25500,25500,21.670546159,21.670546,1530.314453
25000,25000,25000,36.903891363,36.903891,846.794168
24500,24500,24500,31.450892072,31.450892,935.180151
24000,24000,24000,30.689290866,30.689291,900.900582
23500,23500,23500,20.916743052,20.916743,1240.907819
23000,23000,23000,17.283959206,17.283959,1407.895015
22500,22500,22500,16.472794816,16.472795,1382.962045
22000,22000,22000,18.656349165,18.656349,1141.488070
21500,21500,21500,22.679996117,22.679996,876.400062
21000,21000,21000,20.778528028,20.778528,891.400968
20500,20500,20500,17.437890437,17.437890,988.092571
20000,20000,20000,15.595603405,15.595603,1025.930167
19500,19500,19500,15.765432191,15.765432,940.649760
19000,19000,19000,17.806561286,17.806561,770.390183
18500,18500,18500,16.564255662,16.564256,764.492547
18000,18000,18000,13.457651157,13.457651,866.718855
17500,17500,17500,12.896196983,12.896197,831.155884
17000,17000,17000,8.336697770,8.336698,1178.644143
16500,16500,16500,7.901304105,7.901304,1137.059134
16000,16000,16000,7.406973609,7.406974,1105.984770
15500,15500,15500,7.496967217,7.496967,993.435050
15000,15000,15000,9.425308247,9.425308,716.156949
14500,14500,14500,8.872187586,8.872188,687.231863
14000,14000,14000,7.964837339,7.964837,689.028509
13500,13500,13500,6.304937724,6.304938,780.459731
13000,13000,13000,5.355306696,5.355307,820.494558
12500,12500,12500,4.983417137,4.983417,783.849694
12000,12000,12000,4.427480659,4.427481,780.579356
11500,11500,11500,3.954453605,3.954454,769.196027
11000,11000,11000,3.561785744,3.561786,747.377914
10500,10500,10500,3.321949830,3.321950,696.955137
10000,10000,10000,2.987452026,2.987452,669.466817
9500,9500,9500,2.670981763,2.670982,641.992403
9000,9000,9000,2.423992948,2.423993,601.486898
8500,8500,8500,2.211181214,2.211181,555.472339
8000,8000,8000,1.922640262,1.922640,532.600934
7500,7500,7500,1.664322909,1.664323,506.962919
7000,7000,7000,1.383637447,1.383637,495.794618
6500,6500,6500,1.143408278,1.143408,480.362099
6000,6000,6000,0.890649736,0.890650,485.039160
5500,5500,5500,0.679776361,0.679776,489.499222
5000,5000,5000,0.518293950,0.518294,482.351762
4500,4500,4500,0.377845945,0.377846,482.339436
4000,4000,4000,0.270906994,0.270907,472.486879
3500,3500,3500,0.196348081,0.196348,436.724411
3000,3000,3000,0.138194154,0.138194,390.754590
2500,2500,2500,0.101026972,0.101027,309.323336
2000,2000,2000,0.043938541,0.043939,364.145000
30000,30000,30000,56.900490872,56.900491,949.025205
29500,29500,29500,54.367374256,54.367374,944.403711
29000,29000,29000,54.758522895,54.758523,890.783707
