m,n,k,elapsed1,elapsed2,GFLOPS
20000,20000,20000,15.654416026,15.654416,1022.075814
19500,19500,19500,16.452873519,16.452874,901.347110
19000,19000,19000,15.849122477,15.849122,865.536879
18500,18500,18500,14.633348912,14.633349,865.369238
18000,18000,18000,12.847967568,12.847968,907.847871
17500,17500,17500,12.019394499,12.019394,891.787852
17000,17000,17000,9.053361339,9.053361,1085.342740
16500,16500,16500,9.809686806,9.809687,915.854928
16000,16000,16000,7.702259844,7.702260,1063.583957
15500,15500,15500,7.049501752,7.049502,1056.493106
15000,15000,15000,8.659655156,8.659655,779.476766
14500,14500,14500,7.803206105,7.803206,781.377541
14000,14000,14000,6.582647176,6.582647,833.707147
13500,13500,13500,5.561801267,5.561801,884.740350
13000,13000,13000,4.711152398,4.711152,932.680505
12500,12500,12500,4.241705403,4.241705,920.914969
12000,12000,12000,3.627224494,3.627224,952.794625
11500,11500,11500,3.467199767,3.467200,877.292975
11000,11000,11000,2.910922893,2.910923,914.486607
10500,10500,10500,2.672028554,2.672029,866.476519
10000,10000,10000,2.299691449,2.299691,869.681887
9500,9500,9500,2.076026253,2.076026,825.977031
9000,9000,9000,1.762554702,1.762555,827.208369
8500,8500,8500,1.566955533,1.566956,783.844834
8000,8000,8000,1.331134925,1.331135,769.268375
7500,7500,7500,1.171215746,1.171216,720.405274
7000,7000,7000,0.939430997,0.939431,730.229258
6500,6500,6500,0.768178835,0.768179,715.002777
6000,6000,6000,0.628960913,0.628961,686.847133
5500,5500,5500,0.490085563,0.490086,678.963073
5000,5000,5000,0.374377783,0.374378,667.774669
4500,4500,4500,0.275029801,0.275030,662.655463
4000,4000,4000,0.170466122,0.170466,750.882337
3500,3500,3500,0.119048879,0.119049,720.292377
3000,3000,3000,0.074497111,0.074497,724.860324
2500,2500,2500,0.056305758,0.056306,555.005405
2000,2000,2000,0.037108663,0.037109,431.166167
20000,20000,20000,15.746982265,15.746982,1016.067697
19500,19500,19500,17.147741203,17.147741,864.822359
19000,19000,19000,15.762993152,15.762993,870.266190
18500,18500,18500,14.582219231,14.582219,868.403485
18000,18000,18000,12.696736674,12.696737,918.661251
17500,17500,17500,11.918830229,11.918830,899.312247
17000,17000,17000,9.149909040,9.149909,1073.890457
16500,16500,16500,9.048829841,9.048830,992.863183
