m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,39.078633544,39.078634,1381.829279
29500,29500,29500,38.108414914,38.108415,1347.333656
29000,29000,29000,36.392337589,36.392338,1340.337094
28500,28500,28500,33.152408170,33.152408,1396.527509
28000,28000,28000,33.907972641,33.907973,1294.798733
27500,27500,27500,32.590105959,32.590106,1276.269247
27000,27000,27000,33.522457983,33.522458,1174.317230
26500,26500,26500,35.784867260,35.784867,1040.083500
26000,26000,26000,33.640600328,33.640600,1044.927845
25500,25500,25500,35.319034534,35.319035,938.948373
25000,25000,25000,32.175072257,32.175072,971.248790
24500,24500,24500,31.307498898,31.307499,939.463420
24000,24000,24000,31.462171167,31.462171,878.769614
23500,23500,23500,29.390000957,29.390001,883.149002
23000,23000,23000,23.501980274,23.501980,1035.402111
22500,22500,22500,17.336412165,17.336412,1314.069473
22000,22000,22000,17.418464597,17.418465,1222.610631
21500,21500,21500,16.378385989,16.378386,1213.596383
21000,21000,21000,15.607622083,15.607622,1186.727863
20500,20500,20500,13.043194449,13.043194,1321.014577
20000,20000,20000,15.735048610,15.735049,1016.838295
19500,19500,19500,14.587955186,14.587955,1016.574963
19000,19000,19000,15.658383583,15.658384,876.080211
18500,18500,18500,14.258909785,14.258910,888.093844
18000,18000,18000,13.650501261,13.650501,854.474116
17500,17500,17500,12.548146430,12.548146,854.209828
17000,17000,17000,10.974960386,10.974960,895.310749
16500,16500,16500,10.300810562,10.300811,872.188644
16000,16000,16000,7.841414274,7.841414,1044.709502
15500,15500,15500,6.811599967,6.811600,1093.392160
15000,15000,15000,6.484164224,6.484164,1040.997693
14500,14500,14500,5.932255066,5.932255,1027.813189
14000,14000,14000,5.556347923,5.556348,987.699128
13500,13500,13500,5.056543525,5.056544,973.144990
13000,13000,13000,4.568193859,4.568194,961.868111
12500,12500,12500,4.072034317,4.072034,959.287102
12000,12000,12000,3.244656955,3.244657,1065.135713
11500,11500,11500,2.950128166,2.950128,1031.056900
11000,11000,11000,2.940637913,2.940638,905.245759
10500,10500,10500,2.643463488,2.643463,875.839599
10000,10000,10000,2.365353192,2.365353,845.539688
9500,9500,9500,2.019575403,2.019575,849.064609
9000,9000,9000,1.765737053,1.765737,825.717508
8500,8500,8500,1.547999640,1.548000,793.443337
8000,8000,8000,1.282347861,1.282348,798.535274
7500,7500,7500,1.153377433,1.153377,731.547173
7000,7000,7000,0.924564282,0.924564,741.971125
6500,6500,6500,0.752502397,0.752502,729.898007
6000,6000,6000,0.628788890,0.628789,687.035040
5500,5500,5500,0.485739547,0.485740,685.037902
5000,5000,5000,0.408340005,0.408340,612.234895
4500,4500,4500,0.270106637,0.270107,674.733513
4000,4000,4000,0.165007325,0.165007,775.723138
3500,3500,3500,0.108874848,0.108875,787.601559
3000,3000,3000,0.074541075,0.074541,724.432804
2500,2500,2500,0.054867926,0.054868,569.549503
2000,2000,2000,0.033280300,0.033280,480.764897
30000,30000,30000,45.059795425,45.059795,1198.407571
29500,29500,29500,46.921118572,46.921119,1094.278047
29000,29000,29000,43.963664979,43.963665,1109.507136
28500,28500,28500,45.060657162,45.060657,1027.465042
28000,28000,28000,44.528411849,44.528412,985.977226
