m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,67.922825735,67.922826,795.019928
29500,29500,29500,63.962861524,63.962862,802.727532
29000,29000,29000,60.704526808,60.704527,803.531509
28500,28500,28500,58.032561298,58.032561,797.797805
28000,28000,28000,54.851659801,54.851660,800.413336
27500,27500,27500,51.650860930,51.650861,805.286674
27000,27000,27000,49.040352952,49.040353,802.726686
26500,26500,26500,46.447258616,46.447259,801.322858
26000,26000,26000,44.111099309,44.111099,796.896939
25500,25500,25500,41.625231829,41.625232,796.698266
25000,25000,25000,38.846390709,38.846391,804.450540
24500,24500,24500,36.791845442,36.791845,799.423069
24000,24000,24000,34.650603632,34.650604,797.908178
23500,23500,23500,32.527123025,32.527123,797.972510
23000,23000,23000,30.189516946,30.189517,806.041383
22500,22500,22500,28.346948659,28.346949,803.657927
22000,22000,22000,26.626678613,26.626679,799.799341
21500,21500,21500,25.166960839,25.166961,789.795404
21000,21000,21000,23.148281205,23.148281,800.145801
20500,20500,20500,21.600232827,21.600233,797.688161
20000,20000,20000,20.059146427,20.059146,797.641119
19500,19500,19500,18.584799334,18.584799,797.950504
19000,19000,19000,17.165407617,17.165408,799.165409
18500,18500,18500,15.960461892,15.960462,793.413755
18000,18000,18000,14.481774880,14.481775,805.426137
17500,17500,17500,13.338532071,13.338532,803.592925
17000,17000,17000,12.246076221,12.246076,802.379458
16500,16500,16500,11.269311429,11.269311,797.231495
16000,16000,16000,10.237871876,10.237872,800.166294
15500,15500,15500,9.256633628,9.256634,804.585155
15000,15000,15000,8.434027478,8.434027,800.329382
14500,14500,14500,7.641933842,7.641934,797.867415
14000,14000,14000,6.869187562,6.869188,798.929997
13500,13500,13500,6.105053126,6.105053,806.012642
13000,13000,13000,5.476775325,5.476775,802.296925
12500,12500,12500,4.863310903,4.863311,803.207954
12000,12000,12000,4.299365695,4.299366,803.839507
11500,11500,11500,3.774783954,3.774784,805.807706
11000,11000,11000,3.310278047,3.310278,804.162056
10500,10500,10500,2.886502361,2.886502,802.095308
10000,10000,10000,2.497012612,2.497013,800.957108
9500,9500,9500,2.146266792,2.146267,798.945409
9000,9000,9000,1.803238802,1.803239,808.545157
8500,8500,8500,1.545954857,1.545955,794.492798
8000,8000,8000,1.281767761,1.281768,798.896673
7500,7500,7500,1.067116741,1.067117,790.682001
7000,7000,7000,0.869682501,0.869683,788.793611
6500,6500,6500,0.679439782,0.679440,808.386578
6000,6000,6000,0.537557978,0.537558,803.634245
5500,5500,5500,0.421714775,0.421715,789.040412
5000,5000,5000,0.324870524,0.324871,769.537343
4500,4500,4500,0.230128774,0.230129,791.947903
4000,4000,4000,0.162659434,0.162659,786.920235
3500,3500,3500,0.113067421,0.113067,758.397063
3000,3000,3000,0.073262982,0.073263,737.070735
2500,2500,2500,0.044266826,0.044267,705.946254
2000,2000,2000,0.023878955,0.023879,670.046072
