m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,38.811908772,38.811909,1391.325542
29500,29500,29500,35.119804569,35.119805,1461.988489
29000,29000,29000,33.756621976,33.756622,1444.990557
28500,28500,28500,32.507958383,32.507958,1424.212787
28000,28000,28000,31.756946197,31.756946,1382.500689
27500,27500,27500,27.898173873,27.898174,1490.912996
27000,27000,27000,26.731752064,26.731752,1472.630747
26500,26500,26500,25.096158276,25.096158,1483.065639
26000,26000,26000,24.047765493,24.047765,1461.757435
25500,25500,25500,23.105464937,23.105465,1435.277329
25000,25000,25000,21.474077181,21.474077,1455.242977
24500,24500,24500,20.739665522,20.739666,1418.164144
24000,24000,24000,19.778647668,19.778648,1397.871101
23500,23500,23500,18.546299868,18.546300,1399.510964
23000,23000,23000,16.527278887,16.527279,1472.353687
22500,22500,22500,15.502366718,15.502367,1469.533679
22000,22000,22000,14.620850381,14.620850,1456.550026
21500,21500,21500,13.868838473,13.868838,1433.195003
21000,21000,21000,12.720723371,12.720723,1456.049272
20500,20500,20500,12.278756864,12.278757,1403.256876
20000,20000,20000,10.810773249,10.810773,1480.005142
19500,19500,19500,10.273679338,10.273679,1443.470203
19000,19000,19000,9.881612742,9.881613,1388.234933
18500,18500,18500,9.709980686,9.709981,1304.147805
18000,18000,18000,7.857955282,7.857955,1484.355609
17500,17500,17500,8.447566870,8.447567,1268.856484
17000,17000,17000,6.609337539,6.609338,1486.684549
16500,16500,16500,6.107535734,6.107536,1471.010632
16000,16000,16000,5.618321418,5.618321,1458.086747
15500,15500,15500,5.051386505,5.051387,1474.397176
15000,15000,15000,4.630634556,4.630635,1457.683589
14500,14500,14500,4.253846043,4.253846,1433.349947
14000,14000,14000,3.835933908,3.835934,1430.681584
13500,13500,13500,3.372522552,3.372523,1459.071044
13000,13000,13000,2.996397055,2.996397,1466.427820
12500,12500,12500,2.669574935,2.669575,1463.247931
12000,12000,12000,2.369778345,2.369778,1458.364242
11500,11500,11500,2.078463161,2.078463,1463.461108
11000,11000,11000,1.810382803,1.810383,1470.407251
10500,10500,10500,1.597369083,1.597369,1449.414556
10000,10000,10000,1.430749520,1.430750,1397.868720
9500,9500,9500,1.229405750,1.229406,1394.779551
9000,9000,9000,0.996781128,0.996781,1462.708271
8500,8500,8500,0.851787129,0.851787,1441.968255
8000,8000,8000,0.695628443,0.695628,1472.050216
7500,7500,7500,0.582139012,0.582139,1449.396077
7000,7000,7000,0.487626865,0.487627,1406.813384
6500,6500,6500,0.398377250,0.398377,1378.718288
6000,6000,6000,0.328483442,0.328483,1315.134782
5500,5500,5500,0.258865643,0.258866,1285.415848
5000,5000,5000,0.203822477,0.203822,1226.557560
4500,4500,4500,0.132543380,0.132543,1375.021521
4000,4000,4000,0.100167356,0.100167,1277.861422
3500,3500,3500,0.073757823,0.073758,1162.588543
3000,3000,3000,0.048231146,0.048231,1119.608479
2500,2500,2500,0.032848302,0.032848,951.342934
2000,2000,2000,0.019896264,0.019896,804.171075
30000,30000,30000,36.808186862,36.808187,1467.064928
29500,29500,29500,35.133625786,35.133626,1461.413357
29000,29000,29000,33.818906866,33.818907,1442.329292
28500,28500,28500,33.503086092,33.503086,1381.910009
