m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.028827231,0.028827,555.030762
2500,2500,2500,0.044339331,0.044339,704.791870
3000,3000,3000,0.042579274,0.042579,1268.222657
3500,3500,3500,0.043367289,0.043367,1977.296759
4000,4000,4000,0.108482527,0.108483,1179.913517
4500,4500,4500,0.130384999,0.130385,1397.783498
5000,5000,5000,0.097148748,0.097149,2573.373359
5500,5500,5500,0.111256174,0.111256,2990.845254
6000,6000,6000,0.257519034,0.257519,1677.545901
6500,6500,6500,0.291827678,0.291828,1882.103863
7000,7000,7000,0.218145510,0.218146,3144.689982
7500,7500,7500,0.259960129,0.259960,3245.690034
8000,8000,8000,0.776031607,0.776032,1319.533883
8500,8500,8500,0.949752494,0.949752,1293.231666
9000,9000,9000,0.674547881,0.674548,2161.447751
9500,9500,9500,0.831333782,0.831334,2062.649248
10000,10000,10000,1.886853090,1.886853,1059.965935
10500,10500,10500,2.137580998,2.137581,1083.116851
11000,11000,11000,1.685624384,1.685624,1579.236765
11500,11500,11500,1.858681528,1.858682,1636.509512
12000,12000,12000,2.638965420,2.638965,1309.604125
12500,12500,12500,3.330969779,3.330970,1172.706527
13000,13000,13000,2.695208579,2.695209,1630.300539
13500,13500,13500,2.931468509,2.931469,1678.595552
14000,14000,14000,4.182684652,4.182685,1312.075965
14500,14500,14500,4.035017583,4.035018,1511.083874
15000,15000,15000,3.773952173,3.773952,1788.575925
15500,15500,15500,4.053811003,4.053811,1837.221813
16000,16000,16000,6.060611578,6.060612,1351.678769
16500,16500,16500,6.492275260,6.492275,1383.836889
17000,17000,17000,6.261057278,6.261057,1569.383502
17500,17500,17500,5.274515190,5.274515,2032.177293
18000,18000,18000,6.711182640,6.711183,1737.994721
18500,18500,18500,6.898858530,6.898859,1835.557280
19000,19000,19000,6.371076382,6.371076,2153.168347
19500,19500,19500,6.597201840,6.597202,2247.884840
20000,20000,20000,8.151267998,8.151268,1962.884793
20500,20500,20500,10.507705761,10.507706,1639.772791
21000,21000,21000,7.871855553,7.871856,2352.939517
21500,21500,21500,10.687424913,10.687425,1859.825932
22000,22000,22000,23.950658144,23.950658,889.161370
22500,22500,22500,14.625028342,14.625028,1557.689289
23000,23000,23000,13.613711202,13.613711,1787.462628
23500,23500,23500,14.329295748,14.329296,1811.376529
24000,24000,24000,14.888861278,14.888861,1856.958668
24500,24500,24500,15.510883831,15.510884,1896.233014
25000,25000,25000,15.948869464,15.948869,1959.386530
25500,25500,25500,15.223159123,15.223159,2178.440738
26000,26000,26000,14.869599783,14.869600,2364.017896
26500,26500,26500,15.015917636,15.015918,2478.653047
27000,27000,27000,15.635508983,15.635509,2517.730638
27500,27500,27500,17.352635400,17.352635,2396.970203
28000,28000,28000,19.275363330,19.275363,2277.726196
28500,28500,28500,17.324305101,17.324305,2672.444853
29000,29000,29000,16.890392724,16.890393,2887.913904
29500,29500,29500,19.839649211,19.839649,2587.986786
30000,30000,30000,27.561291069,27.561291,1959.269610
2000,2000,2000,0.028577351,0.028577,559.883944
2500,2500,2500,0.039427297,0.039427,792.598082
3000,3000,3000,0.043352003,0.043352,1245.617186
3500,3500,3500,0.048826885,0.048827,1756.204599
4000,4000,4000,0.104012415,0.104012,1230.622325
4500,4500,4500,0.118996619,0.118997,1531.556119
5000,5000,5000,0.102723298,0.102723,2433.722484
5500,5500,5500,0.119949345,0.119949,2774.087678
6000,6000,6000,0.251095695,0.251096,1720.459604
6500,6500,6500,0.293652527,0.293653,1870.407878
7000,7000,7000,0.216557218,0.216557,3167.754030
7500,7500,7500,0.265979103,0.265979,3172.241693
8000,8000,8000,0.776955241,0.776955,1317.965239
8500,8500,8500,0.935827946,0.935828,1312.474163
9000,9000,9000,0.670188567,0.670189,2175.507121
9500,9500,9500,0.817524977,0.817525,2097.489432
10000,10000,10000,1.878832782,1.878833,1064.490688
10500,10500,10500,2.115806520,2.115807,1094.263572
11000,11000,11000,1.703309912,1.703310,1562.839493
11500,11500,11500,1.851287893,1.851288,1643.045369
12000,12000,12000,2.654271754,2.654272,1302.052058
12500,12500,12500,3.260258813,3.260259,1198.141075
13000,13000,13000,2.693339594,2.693340,1631.431851
13500,13500,13500,2.933884794,2.933885,1677.213096
14000,14000,14000,4.194430661,4.194431,1308.401651
14500,14500,14500,4.043231745,4.043232,1508.013981
15000,15000,15000,3.785082155,3.785082,1783.316642
15500,15500,15500,4.739915023,4.739915,1571.283444
16000,16000,16000,6.051926679,6.051927,1353.618514
16500,16500,16500,5.531133117,5.531133,1624.305510
17000,17000,17000,5.009755492,5.009755,1961.373168
17500,17500,17500,6.795420233,6.795420,1577.349102
18000,18000,18000,7.887030888,7.887031,1478.883520
18500,18500,18500,7.001648806,7.001649,1808.609708
19000,19000,19000,7.125945343,7.125945,1925.077915
19500,19500,19500,6.626325443,6.626325,2238.005080
20000,20000,20000,10.446246515,10.446247,1531.650625
20500,20500,20500,8.528052995,8.528053,2020.420137
21000,21000,21000,7.865753241,7.865753,2354.764945
21500,21500,21500,10.668252467,10.668252,1863.168318
22000,22000,22000,22.219088755,22.219089,958.455148
22500,22500,22500,14.601817833,14.601818,1560.165334
23000,23000,23000,13.556018967,13.556019,1795.069781
23500,23500,23500,12.548471098,12.548471,2068.439238
24000,24000,24000,17.198450552,17.198451,1607.586679
24500,24500,24500,16.114044726,16.114045,1825.255577
25000,25000,25000,15.530582411,15.530582,2012.158924
25500,25500,25500,15.212673201,15.212673,2179.942313
26000,26000,26000,21.564300725,21.564301,1630.101548
26500,26500,26500,14.988154925,14.988155,2483.244281
27000,27000,27000,16.827366204,16.827366,2339.403536
27500,27500,27500,16.047191591,16.047192,2591.964442
28000,28000,28000,17.071026911,17.071027,2571.842938
28500,28500,28500,17.370214561,17.370215,2665.381584
29000,29000,29000,16.895110872,16.895111,2887.107422
29500,29500,29500,17.438353164,17.438353,2944.357734
30000,30000,30000,19.785849786,19.785850,2729.223186
2000,2000,2000,0.028805175,0.028805,555.455747
2500,2500,2500,0.042619986,0.042620,733.224079
3000,3000,3000,0.040568324,0.040568,1331.087772
3500,3500,3500,0.050380960,0.050381,1702.031879
4000,4000,4000,0.104894092,0.104894,1220.278450
4500,4500,4500,0.120360775,0.120361,1514.197628
5000,5000,5000,0.099613147,0.099613,2509.708884
5500,5500,5500,0.105855834,0.105856,3143.426181
6000,6000,6000,0.249942544,0.249943,1728.397227
6500,6500,6500,0.303045326,0.303045,1812.435147
7000,7000,7000,0.221905636,0.221906,3091.404132
7500,7500,7500,0.263465785,0.263466,3202.503126
8000,8000,8000,0.786461722,0.786462,1302.034125
8500,8500,8500,0.930356482,0.930356,1320.192876
9000,9000,9000,0.689624766,0.689625,2114.193213
9500,9500,9500,0.830301736,0.830302,2065.213073
10000,10000,10000,1.880452054,1.880452,1063.574046
10500,10500,10500,2.117745939,2.117746,1093.261452
11000,11000,11000,1.728132828,1.728133,1540.390852
11500,11500,11500,1.846419571,1.846420,1647.377469
12000,12000,12000,2.679882804,2.679883,1289.608633
12500,12500,12500,3.336012276,3.336012,1170.933941
13000,13000,13000,2.686347860,2.686348,1635.677965
13500,13500,13500,2.945225631,2.945226,1670.754848
14000,14000,14000,4.167072486,4.167072,1316.991729
14500,14500,14500,4.038298813,4.038299,1509.856076
15000,15000,15000,3.790803359,3.790803,1780.625203
15500,15500,15500,4.050113974,4.050114,1838.898867
16000,16000,16000,6.116270526,6.116271,1339.378297
16500,16500,16500,6.473029193,6.473029,1387.951411
17000,17000,17000,6.003675836,6.003676,1636.663982
17500,17500,17500,5.286285113,5.286285,2027.652647
18000,18000,18000,6.771761617,6.771762,1722.446929
18500,18500,18500,6.963840865,6.963841,1818.428974
19000,19000,19000,7.269676078,7.269676,1887.016678
19500,19500,19500,8.745064823,8.745065,1695.785028
20000,20000,20000,10.687893599,10.687894,1497.020891
20500,20500,20500,8.582447590,8.582448,2007.614940
21000,21000,21000,7.854108467,7.854108,2358.256202
21500,21500,21500,8.235479898,8.235480,2413.550910
22000,22000,22000,23.593458988,23.593459,902.623054
22500,22500,22500,14.419055593,14.419056,1579.940507
23000,23000,23000,13.592681237,13.592681,1790.228107
23500,23500,23500,14.287125741,14.287126,1816.723004
24000,24000,24000,14.955241342,14.955241,1848.716404
24500,24500,24500,15.859181306,15.859181,1854.588168
25000,25000,25000,14.490471736,14.490472,2156.589555
25500,25500,25500,17.380927601,17.380928,1907.996556
26000,26000,26000,17.057282185,17.057282,2060.820688
26500,26500,26500,14.957546058,14.957546,2488.325950
27000,27000,27000,15.632320579,15.632321,2518.244160
27500,27500,27500,16.823402139,16.823402,2472.374473
28000,28000,28000,24.942273565,24.942274,1760.224459
28500,28500,28500,17.431978662,17.431979,2655.937739
29000,29000,29000,26.710852000,26.710852,1826.149162
29500,29500,29500,17.468347040,17.468347,2939.302149
30000,30000,30000,20.245489267,20.245489,2667.260805
