m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,28.549655630,28.549656,1891.441378
29500,29500,29500,23.994284676,23.994285,2139.874170
29000,29000,29000,25.468682499,25.468682,1915.214892
28500,28500,28500,17.072731667,17.072732,2711.824382
28000,28000,28000,24.279774458,24.279774,1808.254030
27500,27500,27500,18.092233647,18.092234,2298.983686
27000,27000,27000,17.585101066,17.585101,2238.599588
26500,26500,26500,17.026740225,17.026740,2185.929280
26000,26000,26000,16.621125636,16.621126,2114.898880
25500,25500,25500,12.722915332,12.722915,2606.537035
25000,25000,25000,12.333144085,12.333144,2533.822664
24500,24500,24500,11.711062750,11.711063,2511.492819
24000,24000,24000,13.326504820,13.326505,2074.662515
23500,23500,23500,12.446773840,12.446774,2085.339569
23000,23000,23000,10.188940822,10.188941,2388.275722
22500,22500,22500,12.550356246,12.550356,1815.187518
22000,22000,22000,14.457106557,14.457107,1473.047177
21500,21500,21500,11.124972517,11.124973,1786.678571
21000,21000,21000,10.400440659,10.400441,1780.886080
20500,20500,20500,9.488999519,9.489000,1815.813139
20000,20000,20000,8.922122330,8.922122,1793.295295
30000,30000,30000,28.147527440,28.147527,1918.463358
29500,29500,29500,23.339468240,23.339468,2199.910875
29000,29000,29000,17.859223067,17.859223,2731.249832
28500,28500,28500,24.251396131,24.251396,1909.096274
28000,28000,28000,24.324017765,24.324018,1804.964970
27500,27500,27500,22.816610476,22.816610,1822.959201
27000,27000,27000,17.584471824,17.584472,2238.679694
26500,26500,26500,17.379115121,17.379115,2141.607886
26000,26000,26000,17.005112982,17.005113,2067.142984
25500,25500,25500,15.993504481,15.993504,2073.513659
25000,25000,25000,12.407391117,12.407391,2518.660023
24500,24500,24500,14.677349599,14.677350,2003.921062
24000,24000,24000,14.026129593,14.026130,1971.178137
23500,23500,23500,12.676559679,12.676560,2047.538974
23000,23000,23000,10.112763348,10.112763,2406.266137
22500,22500,22500,9.472090020,9.472090,2405.092218
22000,22000,22000,15.361429811,15.361430,1386.329285
21500,21500,21500,10.748789220,10.748789,1849.208278
21000,21000,21000,10.248685380,10.248685,1807.256181
20500,20500,20500,9.512502826,9.512503,1811.326663
20000,20000,20000,7.286586964,7.286587,2195.815418
30000,30000,30000,26.276474906,26.276475,2055.070179
29500,29500,29500,27.005905294,27.005905,1901.241578
29000,29000,29000,25.808985741,25.808986,1889.961911
28500,28500,28500,24.042740073,24.042740,1925.664457
28000,28000,28000,22.903308558,22.903309,1916.928285
27500,27500,27500,18.105418717,18.105419,2297.309477
27000,27000,27000,17.509948241,17.509948,2248.207674
26500,26500,26500,17.021954321,17.021954,2186.543877
26000,26000,26000,17.022175737,17.022176,2065.070914
25500,25500,25500,12.942703101,12.942703,2562.273873
25000,25000,25000,11.294428013,11.294428,2766.851049
24500,24500,24500,14.871136128,14.871136,1977.807865
24000,24000,24000,13.619035234,13.619035,2030.099748
23500,23500,23500,12.303893554,12.303894,2109.555799
23000,23000,23000,10.083217511,10.083218,2413.316977
22500,22500,22500,12.525468712,12.525469,1818.794212
22000,22000,22000,14.509988364,14.509988,1467.678641
21500,21500,21500,11.146559685,11.146560,1783.218371
21000,21000,21000,10.258179043,10.258179,1805.583615
20500,20500,20500,9.472755889,9.472756,1818.926847
20000,20000,20000,7.309378793,7.309379,2188.968509
30000,30000,30000,26.100891101,26.100891,2068.894881
29500,29500,29500,24.118549431,24.118549,2128.849007
29000,29000,29000,26.272338927,26.272339,1856.629520
28500,28500,28500,24.107062699,24.107063,1920.526386
28000,28000,28000,24.028794734,24.028795,1827.141165
27500,27500,27500,22.846106518,22.846107,1820.605623
27000,27000,27000,17.480270983,17.480271,2252.024585
26500,26500,26500,17.348645594,17.348646,2145.369205
26000,26000,26000,17.022233684,17.022234,2065.063884
25500,25500,25500,16.197619371,16.197619,2047.384201
25000,25000,25000,12.312722613,12.312723,2538.025178
24500,24500,24500,11.656592876,11.656593,2523.228727
24000,24000,24000,13.148460617,13.148461,2102.755661
23500,23500,23500,12.339703762,12.339704,2103.433802
23000,23000,23000,10.120336521,10.120337,2404.465499
22500,22500,22500,12.487817442,12.487817,1824.277950
22000,22000,22000,13.609668949,13.609669,1564.769876
21500,21500,21500,11.083912284,11.083912,1793.297302
21000,21000,21000,10.273183414,10.273183,1802.946492
20500,20500,20500,9.506476470,9.506476,1812.474901
20000,20000,20000,7.283738699,7.283739,2196.674079
30000,30000,30000,28.675088350,28.675088,1883.167694
29500,29500,29500,23.998205660,23.998206,2139.524543
29000,29000,29000,25.776210050,25.776210,1892.365088
28500,28500,28500,21.024053404,21.024053,2202.156221
28000,28000,28000,24.211813367,24.211813,1813.329689
27500,27500,27500,22.739484330,22.739484,1829.142183
27000,27000,27000,17.586628013,17.586628,2238.405223
26500,26500,26500,17.122819020,17.122819,2173.663692
26000,26000,26000,13.702255228,13.702255,2565.417109
25500,25500,25500,12.911236063,12.911236,2568.518602
25000,25000,25000,12.351059996,12.351060,2530.147211
24500,24500,24500,14.636996066,14.636996,2009.445782
24000,24000,24000,14.007519231,14.007519,1973.797040
23500,23500,23500,12.615727921,12.615728,2057.411999
23000,23000,23000,10.115786167,10.115786,2405.547092
22500,22500,22500,12.161847367,12.161847,1873.173484
22000,22000,22000,15.151195599,15.151196,1405.565644
21500,21500,21500,11.114065835,11.114066,1788.431911
21000,21000,21000,10.250855132,10.250855,1806.873647
20500,20500,20500,9.475329472,9.475329,1818.432810
20000,20000,20000,7.339345716,7.339346,2180.030839
