m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.028709299,0.028709,557.310717
2500,2500,2500,0.042857792,0.042858,729.155622
3000,3000,3000,0.043391163,0.043391,1244.493032
3500,3500,3500,0.046888196,0.046888,1828.818494
4000,4000,4000,0.103305068,0.103305,1239.048601
4500,4500,4500,0.116606836,0.116607,1562.944389
5000,5000,5000,0.096202737,0.096203,2598.678663
5500,5500,5500,0.112848721,0.112849,2948.637761
6000,6000,6000,0.254953079,0.254953,1694.429429
6500,6500,6500,0.286658552,0.286659,1916.042609
7000,7000,7000,0.218510016,0.218510,3139.444189
7500,7500,7500,0.259789180,0.259789,3247.825795
8000,8000,8000,0.772031363,0.772031,1326.370986
8500,8500,8500,0.929717837,0.929718,1321.099748
9000,9000,9000,0.676244213,0.676244,2156.025844
9500,9500,9500,0.835579149,0.835579,2052.169447
10000,10000,10000,1.903242650,1.903243,1050.838158
10500,10500,10500,2.092864880,2.092865,1106.258709
11000,11000,11000,1.713715843,1.713716,1553.349705
11500,11500,11500,1.784617375,1.784617,1704.426978
12000,12000,12000,3.136329973,3.136330,1101.924871
12500,12500,12500,2.818115726,2.818116,1386.121217
13000,13000,13000,2.712010994,2.712011,1620.199922
13500,13500,13500,2.947244815,2.947245,1669.610198
14000,14000,14000,4.232257092,4.232257,1296.707615
14500,14500,14500,4.420654227,4.420654,1379.264174
15000,15000,15000,3.136691681,3.136692,2151.948832
15500,15500,15500,4.061479947,4.061480,1833.752745
16000,16000,16000,5.489932765,5.489933,1492.185852
16500,16500,16500,5.656108270,5.656108,1588.415492
17000,17000,17000,4.168869927,4.168870,2356.993663
17500,17500,17500,5.299626404,5.299626,2022.548229
18000,18000,18000,6.751352018,6.751352,1727.653953
18500,18500,18500,6.567106740,6.567107,1928.284479
19000,19000,19000,6.402321083,6.402321,2142.660423
19500,19500,19500,6.622630927,6.622631,2239.253578
20000,20000,20000,8.332559721,8.332560,1920.178257
20500,20500,20500,7.920420393,7.920420,2175.421145
21000,21000,21000,7.855781020,7.855781,2357.754112
21500,21500,21500,8.230927359,8.230927,2414.885849
22000,22000,22000,11.123691389,11.123691,1914.472386
22500,22500,22500,9.694202409,9.694202,2349.987037
23000,23000,23000,12.968179041,12.968179,1876.439238
23500,23500,23500,13.402608720,13.402609,1936.619246
24000,24000,24000,14.956335660,14.956336,1848.581138
24500,24500,24500,17.960835276,17.960835,1637.576958
25000,25000,25000,17.021842193,17.021842,1835.876496
25500,25500,25500,17.936897465,17.936897,1848.856530
26000,26000,26000,19.675044041,19.675044,1786.628783
26500,26500,26500,21.655354299,21.655354,1718.708892
27000,27000,27000,19.811966766,19.811967,1986.980922
27500,27500,27500,17.785279903,17.785280,2338.661535
28000,28000,28000,18.897452598,18.897453,2323.276101
28500,28500,28500,21.919673123,21.919673,2112.177939
29000,29000,29000,22.246844830,22.246845,2192.580583
29500,29500,29500,15.533675644,15.533676,3305.383167
30000,30000,30000,21.925167990,21.925168,2462.922976
2000,2000,2000,0.029236013,0.029236,547.270245
2500,2500,2500,0.041385461,0.041385,755.096095
3000,3000,3000,0.041502540,0.041503,1301.125184
3500,3500,3500,0.046444928,0.046445,1846.272644
4000,4000,4000,0.106736934,0.106737,1199.210013
4500,4500,4500,0.123462626,0.123463,1476.155221
5000,5000,5000,0.100881938,0.100882,2478.144304
5500,5500,5500,0.109773208,0.109773,3031.249665
6000,6000,6000,0.241971344,0.241971,1785.335374
6500,6500,6500,0.316038748,0.316039,1737.919807
7000,7000,7000,0.221760595,0.221761,3093.426044
7500,7500,7500,0.267663495,0.267663,3152.278946
8000,8000,8000,0.782502533,0.782503,1308.621962
8500,8500,8500,0.931426431,0.931426,1318.676343
