m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,21.309007782,21.309008,2534.139579
29500,29500,29500,16.481141844,16.481142,3115.363637
29000,29000,29000,17.868226942,17.868227,2729.873544
28500,28500,28500,16.794046341,16.794046,2756.825190
28000,28000,28000,19.573843436,19.573843,2242.993316
27500,27500,27500,17.729735165,17.729735,2345.988229
27000,27000,27000,17.791911393,17.791911,2212.578465
26500,26500,26500,19.029971324,19.029971,1955.822705
26000,26000,26000,19.061495284,19.061495,1844.136542
25500,25500,25500,17.088318841,17.088319,1940.667792
25000,25000,25000,16.827312717,16.827313,1857.099855
24500,24500,24500,16.316387868,16.316388,1802.620178
24000,24000,24000,14.045940079,14.045940,1968.397974
23500,23500,23500,13.508040268,13.508040,1921.503748
23000,23000,23000,13.085841072,13.085841,1859.567136
22500,22500,22500,7.929688793,7.929689,2872.905935
22000,22000,22000,10.925884394,10.925884,1949.132833
21500,21500,21500,8.543300879,8.543301,2326.589018
21000,21000,21000,8.125306135,8.125306,2279.544880
20500,20500,20500,7.633436556,7.633437,2257.207468
20000,20000,20000,5.996093982,5.996094,2668.403806
30000,30000,30000,21.791863045,21.791863,2477.989142
29500,29500,29500,18.492257539,18.492258,2776.553911
29000,29000,29000,15.567749057,15.567749,3133.272500
28500,28500,28500,20.611984716,20.611985,2246.181076
28000,28000,28000,19.461983136,19.461983,2255.885214
27500,27500,27500,16.586049722,16.586050,2507.755053
27000,27000,27000,15.830893113,15.830893,2486.656926
26500,26500,26500,19.136322731,19.136323,1944.953089
26000,26000,26000,18.810086753,18.810087,1868.784576
25500,25500,25500,16.766777933,16.766778,1977.884489
25000,25000,25000,16.659567636,16.659568,1875.798981
24500,24500,24500,16.247848193,16.247848,1810.224323
24000,24000,24000,14.035898841,14.035899,1969.806160
23500,23500,23500,13.591584769,13.591585,1909.692684
23000,23000,23000,13.115183581,13.115184,1855.406739
22500,22500,22500,9.585396391,9.585396,2376.662276
22000,22000,22000,10.457871820,10.457872,2036.360778
21500,21500,21500,8.490079694,8.490080,2341.173548
21000,21000,21000,8.101339335,8.101339,2286.288629
20500,20500,20500,7.634586055,7.634586,2256.867612
20000,20000,20000,6.005464570,6.005465,2664.240179
30000,30000,30000,21.800907607,21.800908,2476.961096
29500,29500,29500,18.612407503,18.612408,2758.630230
29000,29000,29000,17.817171146,17.817171,2737.696102
28500,28500,28500,20.500918167,20.500918,2258.350071
28000,28000,28000,19.536654879,19.536655,2247.262915
27500,27500,27500,18.050273473,18.050273,2304.327968
27000,27000,27000,16.161677592,16.161678,2435.761992
26500,26500,26500,19.180556521,19.180557,1940.467679
26000,26000,26000,18.596491987,18.596492,1890.248979
25500,25500,25500,17.051665406,17.051665,1944.839358
25000,25000,25000,16.215750962,16.215751,1927.138624
24500,24500,24500,16.156112880,16.156113,1820.502878
24000,24000,24000,14.048236481,14.048236,1968.076209
23500,23500,23500,13.571314934,13.571315,1912.544962
23000,23000,23000,10.100230235,10.100230,2409.252010
22500,22500,22500,8.033633849,8.033634,2835.734168
22000,22000,22000,8.887513580,8.887514,2396.170741
21500,21500,21500,8.508180439,8.508180,2336.192814
21000,21000,21000,8.121860636,8.121861,2280.511921
20500,20500,20500,7.687094977,7.687095,2241.451426
20000,20000,20000,5.760466161,5.760466,2777.552988
30000,30000,30000,21.875646037,21.875646,2468.498526
29500,29500,29500,18.489016993,18.489017,2777.040554
29000,29000,29000,16.360689874,16.360690,2981.414621
28500,28500,28500,16.847821537,16.847822,2748.025903
28000,28000,28000,19.597024173,19.597024,2240.340146
27500,27500,27500,18.448995581,18.448996,2254.526531
27000,27000,27000,16.649267107,16.649267,2364.428401
26500,26500,26500,19.169509722,19.169510,1941.585911
26000,26000,26000,18.961312107,18.961312,1853.880143
25500,25500,25500,16.929727715,16.929728,1958.847216
25000,25000,25000,16.806903316,16.806903,1859.355017
24500,24500,24500,16.234979585,16.234980,1811.659192
24000,24000,24000,14.046464867,14.046465,1968.324433
23500,23500,23500,13.556458910,13.556459,1914.640849
23000,23000,23000,13.088564292,13.088564,1859.180232
22500,22500,22500,8.093590302,8.093590,2814.727352
22000,22000,22000,9.330560400,9.330560,2282.392384
21500,21500,21500,8.533050298,8.533050,2329.383902
21000,21000,21000,8.118545406,8.118545,2281.443174
20500,20500,20500,7.639984678,7.639985,2255.272848
20000,20000,20000,5.925524335,5.925524,2700.182987
30000,30000,30000,21.767489668,21.767490,2480.763782
29500,29500,29500,16.759446049,16.759446,3063.630495
29000,29000,29000,17.861813992,17.861814,2730.853654
28500,28500,28500,16.886131346,16.886131,2741.791418
28000,28000,28000,20.381426339,20.381426,2154.118130
27500,27500,27500,17.647907337,17.647907,2356.865843
27000,27000,27000,19.810368106,19.810368,1987.141268
26500,26500,26500,18.701824671,18.701825,1990.140035
26000,26000,26000,17.621057635,17.621058,1994.885933
25500,25500,25500,17.207912558,17.207913,1927.180295
25000,25000,25000,17.121599877,17.121600,1825.179903
24500,24500,24500,16.281266796,16.281267,1806.508693
24000,24000,24000,14.019567339,14.019567,1972.100803
23500,23500,23500,13.553067630,13.553068,1915.119935
23000,23000,23000,13.073002048,13.073002,1861.393421
22500,22500,22500,9.502042910,9.502043,2397.510748
22000,22000,22000,8.917804158,8.917804,2388.031809
21500,21500,21500,8.539950389,8.539950,2327.501811
21000,21000,21000,8.115541043,8.115541,2282.287761
20500,20500,20500,7.589593249,7.589593,2270.246828
20000,20000,20000,5.960331571,5.960332,2684.414417
