m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,28.695951758,28.695952,1881.798536
29500,29500,29500,26.875210228,26.875210,1910.487381
29000,29000,29000,25.819650894,25.819651,1889.181236
28500,28500,28500,24.391703263,24.391703,1898.114679
28000,28000,28000,23.262887624,23.262888,1887.297945
27500,27500,27500,21.378546351,21.378546,1945.583639
27000,27000,27000,20.536452065,20.536452,1916.884176
26500,26500,26500,19.610071058,19.610071,1897.966096
26000,26000,26000,18.746864195,18.746864,1875.086928
25500,25500,25500,16.954677495,16.954677,1955.964660
25000,25000,25000,16.195369456,16.195369,1929.563885
24500,24500,24500,15.945914428,15.945914,1844.500680
24000,24000,24000,15.239914981,15.239915,1814.183349
23500,23500,23500,14.287355491,14.287355,1816.693790
23000,23000,23000,13.504973797,13.504974,1801.854662
22500,22500,22500,12.588651838,12.588652,1809.665586
22000,22000,22000,11.864500815,11.864501,1794.934345
21500,21500,21500,10.857001672,10.857002,1830.777097
21000,21000,21000,10.224266530,10.224267,1811.572492
20500,20500,20500,9.712325313,9.712325,1774.060222
20000,20000,20000,9.442356771,9.442357,1694.492211
19500,19500,19500,7.767685267,7.767685,1909.159484
19000,19000,19000,7.350393611,7.350394,1866.294613
18500,18500,18500,7.052514993,7.052515,1795.565130
18000,18000,18000,6.530539046,6.530539,1786.070019
17500,17500,17500,5.934829860,5.934830,1806.075364
17000,17000,17000,5.596210185,5.596210,1755.831121
16500,16500,16500,5.009042652,5.009043,1793.606209
16000,16000,16000,4.865789710,4.865790,1683.591049
15500,15500,15500,3.946160064,3.946160,1887.341081
15000,15000,15000,3.633931030,3.633931,1857.492601
14500,14500,14500,3.323105060,3.323105,1834.805066
14000,14000,14000,2.879639963,2.879640,1905.793804
13500,13500,13500,2.579760990,2.579761,1907.444147
13000,13000,13000,2.337084844,2.337085,1880.120018
12500,12500,12500,1.995743905,1.995744,1957.290207
12000,12000,12000,1.765024941,1.765025,1958.045985
11500,11500,11500,1.556386991,1.556387,1954.366117
11000,11000,11000,1.419278464,1.419278,1875.600925
10500,10500,10500,1.250064353,1.250064,1852.104649
10000,10000,10000,1.085151469,1.085151,1843.060676
9500,9500,9500,0.890579252,0.890579,1925.432235
9000,9000,9000,0.742910275,0.742910,1962.551938
8500,8500,8500,0.628653076,0.628653,1953.780307
8000,8000,8000,0.526972916,0.526973,1943.173869
7500,7500,7500,0.434819205,0.434819,1940.461668
7000,7000,7000,0.356091655,0.356092,1926.470307
6500,6500,6500,0.285567568,0.285568,1923.362670
6000,6000,6000,0.229585614,0.229586,1881.650999
5500,5500,5500,0.176759326,0.176759,1882.503218
5000,5000,5000,0.134131213,0.134131,1863.846560
4500,4500,4500,0.100019810,0.100020,1822.139034
4000,4000,4000,0.073381010,0.073381,1744.320499
3500,3500,3500,0.052479605,0.052480,1633.968091
3000,3000,3000,0.035532307,0.035532,1519.743708
2500,2500,2500,0.023799107,0.023799,1313.074478
2000,2000,2000,0.014563063,0.014563,1098.669971
30000,30000,30000,28.778165256,28.778165,1876.422611
29500,29500,29500,27.275190089,27.275190,1882.470840
29000,29000,29000,25.651240095,25.651240,1901.584478
28500,28500,28500,23.868493023,23.868493,1939.722376
