m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,54.958517632,54.958518,982.559252
29500,29500,29500,52.344085705,52.344086,980.908336
29000,29000,29000,49.612633230,49.612633,983.177002
28500,28500,28500,46.917519527,46.917520,986.800889
28000,28000,28000,44.634719844,44.634720,983.628891
27500,27500,27500,42.431879099,42.431879,980.247655
27000,27000,27000,40.586454219,40.586454,969.929519
26500,26500,26500,38.707050959,38.707051,961.562534
26000,26000,26000,38.146115309,38.146115,921.509300
25500,25500,25500,34.337131504,34.337132,965.798497
25000,25000,25000,32.992494121,32.992494,947.185135
24500,24500,24500,30.516774782,30.516775,963.805979
24000,24000,24000,28.611065534,28.611066,966.339403
23500,23500,23500,26.376112840,26.376113,984.062745
23000,23000,23000,25.186904412,25.186904,966.136989
22500,22500,22500,23.535619431,23.535619,967.947755
22000,22000,22000,21.750755014,21.750755,979.092449
21500,21500,21500,20.488629343,20.488629,970.135662
21000,21000,21000,18.987059991,18.987060,975.506477
20500,20500,20500,17.567903746,17.567904,980.780078
20000,20000,20000,16.321814401,16.321814,980.283172
19500,19500,19500,15.099248301,15.099248,982.151542
19000,19000,19000,14.274687693,14.274688,961.001760
18500,18500,18500,12.952546496,12.952546,977.664894
18000,18000,18000,12.174131141,12.174131,958.097121
17500,17500,17500,11.099533868,11.099534,965.693706
17000,17000,17000,10.238402174,10.238402,959.720065
16500,16500,16500,9.300830169,9.300830,965.962160
16000,16000,16000,8.542771878,8.542772,958.939337
15500,15500,15500,7.683108545,7.683109,969.366755
15000,15000,15000,7.037525046,7.037525,959.144011
14500,14500,14500,6.357623360,6.357623,959.045488
14000,14000,14000,5.722697946,5.722698,958.988235
13500,13500,13500,5.134400638,5.134401,958.388398
13000,13000,13000,4.607311948,4.607312,953.701431
12500,12500,12500,4.126940032,4.126940,946.524536
12000,12000,12000,3.545214987,3.545215,974.835098
11500,11500,11500,3.114124499,3.114124,976.759279
11000,11000,11000,2.815694398,2.815694,945.415100
10500,10500,10500,2.384640116,2.384640,970.901221
10000,10000,10000,2.045018949,2.045019,977.986048
9500,9500,9500,1.747347660,1.747348,981.344491
9000,9000,9000,1.470334703,1.470335,991.610956
8500,8500,8500,1.237255674,1.237256,992.721251
8000,8000,8000,1.039547641,1.039548,985.043840
7500,7500,7500,0.846469184,0.846469,996.787616
7000,7000,7000,0.689872293,0.689872,994.386942
6500,6500,6500,0.555928596,0.555929,987.986594
6000,6000,6000,0.436239458,0.436239,990.281810
5500,5500,5500,0.341846402,0.341846,973.390383
5000,5000,5000,0.256049902,0.256050,976.372176
4500,4500,4500,0.188437971,0.188438,967.161762
4000,4000,4000,0.135234286,0.135234,946.505533
3500,3500,3500,0.091540838,0.091541,936.740387
3000,3000,3000,0.059915317,0.059915,901.272040
2500,2500,2500,0.036878422,0.036878,847.378990
2000,2000,2000,0.021908719,0.021909,730.302853
