m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,30.154994071,30.154994,1790.748155
29500,29500,29500,29.967707096,29.967707,1713.335953
29000,29000,29000,28.445187163,28.445187,1714.806787
28500,28500,28500,25.787055075,25.787055,1795.406644
28000,28000,28000,24.231502934,24.231503,1811.856248
27500,27500,27500,22.803046737,22.803047,1824.043536
27000,27000,27000,21.611417812,21.611418,1821.537131
26500,26500,26500,21.767046660,21.767047,1709.889751
26000,26000,26000,19.625061961,19.625062,1791.179058
25500,25500,25500,17.921773080,17.921773,1850.416800
25000,25000,25000,17.348043742,17.348044,1801.355845
24500,24500,24500,16.417041007,16.417041,1791.568285
24000,24000,24000,15.320516371,15.320516,1804.638912
23500,23500,23500,15.292608457,15.292608,1697.274214
23000,23000,23000,13.122818268,13.122818,1854.327287
22500,22500,22500,12.336995165,12.336995,1846.580119
22000,22000,22000,12.673980253,12.673980,1680.292976
21500,21500,21500,11.866152018,11.866152,1675.079669
21000,21000,21000,11.049229662,11.049230,1676.315957
20500,20500,20500,9.905965224,9.905965,1739.381232
20000,20000,20000,9.223735834,9.223736,1734.655056
19500,19500,19500,8.474866506,8.474867,1749.850572
19000,19000,19000,7.700401942,7.700402,1781.465449
18500,18500,18500,7.339337768,7.339338,1725.394089
18000,18000,18000,6.579242296,6.579242,1772.848525
17500,17500,17500,6.113159467,6.113159,1753.389562
17000,17000,17000,5.604865557,5.604866,1753.119660
16500,16500,16500,4.992696354,4.992696,1799.478551
16000,16000,16000,4.385613767,4.385614,1867.925548
15500,15500,15500,3.976514894,3.976515,1872.934013
15000,15000,15000,3.657775397,3.657775,1845.383947
14500,14500,14500,3.372643884,3.372644,1807.854671
14000,14000,14000,2.923498255,2.923498,1877.203104
13500,13500,13500,2.645630153,2.645630,1859.953854
13000,13000,13000,2.343795442,2.343795,1874.736985
12500,12500,12500,2.109527237,2.109527,1851.718210
12000,12000,12000,1.855810258,1.855810,1862.259347
11500,11500,11500,1.655333014,1.655333,1837.545663
11000,11000,11000,1.477096458,1.477096,1802.184269
10500,10500,10500,1.292015052,1.292015,1791.968287
10000,10000,10000,1.119169003,1.119169,1787.040201
9500,9500,9500,0.907615140,0.907615,1889.291975
9000,9000,9000,0.762141059,0.762141,1913.031692
8500,8500,8500,0.650143771,0.650144,1889.197520
8000,8000,8000,0.540344826,0.540345,1895.086157
7500,7500,7500,0.448124166,0.448124,1882.848692
7000,7000,7000,0.364938729,0.364939,1879.767603
6500,6500,6500,0.293462283,0.293462,1871.620415
6000,6000,6000,0.232786791,0.232787,1855.775399
5500,5500,5500,0.184417313,0.184417,1804.331679
5000,5000,5000,0.138474057,0.138474,1805.392327
4500,4500,4500,0.102352161,0.102352,1780.617021
4000,4000,4000,0.075093988,0.075094,1704.530594
3500,3500,3500,0.052630963,0.052631,1629.269067
3000,3000,3000,0.036388867,0.036389,1483.970358
2500,2500,2500,0.023393037,0.023393,1335.867592
2000,2000,2000,0.015013696,0.015014,1065.693617
30000,30000,30000,30.101728478,30.101728,1793.916919
29500,29500,29500,29.943319111,29.943319,1714.731417
29000,29000,29000,28.612067891,28.612068,1704.805126
28500,28500,28500,25.496857423,25.496857,1815.841428
28000,28000,28000,24.193395799,24.193396,1814.710112
27500,27500,27500,22.950059293,22.950059,1812.359152
27000,27000,27000,21.434047864,21.434048,1836.610623
26500,26500,26500,21.836833898,21.836834,1704.425201
