m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.146068889,0.146069,109.537357
2500,2500,2500,0.036326583,0.036327,860.251568
3000,3000,3000,0.048426066,0.048426,1115.101937
3500,3500,3500,0.063985501,0.063986,1340.147356
4000,4000,4000,0.084694446,0.084694,1511.315158
4500,4500,4500,0.092636108,0.092636,1967.375400
5000,5000,5000,0.133533825,0.133534,1872.184819
5500,5500,5500,0.143064526,0.143065,2325.873571
6000,6000,6000,0.183697766,0.183698,2351.688915
6500,6500,6500,0.283743012,0.283743,1935.730491
7000,7000,7000,0.354617708,0.354618,1934.477564
7500,7500,7500,0.393885644,0.393886,2142.119198
8000,8000,8000,0.535477586,0.535478,1912.311601
8500,8500,8500,0.657623853,0.657624,1867.709017
9000,9000,9000,0.792303986,0.792304,1840.202783
9500,9500,9500,0.955727041,0.955727,1794.183827
10000,10000,10000,1.257313295,1.257313,1590.693432
10500,10500,10500,1.532888400,1.532888,1510.383926
11000,11000,11000,1.973849843,1.973850,1348.633489
11500,11500,11500,2.181843476,2.181843,1394.119254
12000,12000,12000,2.533253794,2.533254,1364.253360
12500,12500,12500,2.922876419,2.922876,1336.440355
13000,13000,13000,3.285973552,3.285974,1337.198833
13500,13500,13500,3.725890720,3.725891,1320.690909
14000,14000,14000,4.058973799,4.058974,1352.065885
14500,14500,14500,3.179167223,3.179167,1917.876466
15000,15000,15000,4.671226108,4.671226,1445.016757
15500,15500,15500,4.954743493,4.954743,1503.155514
16000,16000,16000,6.073299904,6.073300,1348.854845
16500,16500,16500,6.601743890,6.601744,1360.890418
17000,17000,17000,7.217937440,7.217937,1361.330724
17500,17500,17500,6.348551152,6.348551,1688.377355
18000,18000,18000,6.670536916,6.670537,1748.584881
18500,18500,18500,7.049227702,7.049228,1796.402462
19000,19000,19000,8.021481846,8.021482,1710.157832
19500,19500,19500,7.117372937,7.117373,2083.598841
20000,20000,20000,8.239981461,8.239981,1941.751942
20500,20500,20500,8.688548868,8.688549,1983.098704
21000,21000,21000,13.315045844,13.315046,1391.057922
21500,21500,21500,14.364392112,14.364392,1383.751560
22000,22000,22000,15.569654992,15.569655,1367.788818
22500,22500,22500,16.531778970,16.531779,1378.027739
23000,23000,23000,17.622361350,17.622361,1380.859212
23500,23500,23500,18.557894727,18.557895,1398.636558
24000,24000,24000,18.819801289,18.819801,1469.090963
24500,24500,24500,18.571765793,18.571766,1583.707781
25000,25000,25000,22.371496901,22.371497,1396.866742
25500,25500,25500,21.294675555,21.294676,1557.325911
26000,26000,26000,20.447460709,20.447461,1719.137672
26500,26500,26500,16.085537461,16.085537,2313.833162
27000,27000,27000,22.267736491,22.267736,1767.849194
27500,27500,27500,22.319122602,22.319123,1863.592523
28000,28000,28000,24.238061860,24.238062,1811.365952
28500,28500,28500,18.571820314,18.571820,2492.930107
29000,29000,29000,19.505172700,19.505173,2500.772526
29500,29500,29500,24.651204374,24.651204,2082.849553
30000,30000,30000,21.021426795,21.021427,2568.807557
2000,2000,2000,0.027144172,0.027144,589.445130
2500,2500,2500,0.034936621,0.034937,894.476887
3000,3000,3000,0.049729351,0.049729,1085.877835
3500,3500,3500,0.059384673,0.059385,1443.975283
4000,4000,4000,0.080821425,0.080821,1583.738470
4500,4500,4500,0.097811582,0.097812,1863.276273
5000,5000,5000,0.126125807,0.126126,1982.147872
5500,5500,5500,0.158457084,0.158457,2099.937671
6000,6000,6000,0.196628694,0.196629,2197.034376
6500,6500,6500,0.215215524,0.215216,2552.092850
7000,7000,7000,0.301197804,0.301198,2277.573046
7500,7500,7500,0.361571309,0.361571,2333.564580
8000,8000,8000,0.496466901,0.496467,2062.574560
8500,8500,8500,0.581351814,0.581352,2112.748202
9000,9000,9000,0.819418437,0.819418,1779.310709
9500,9500,9500,0.945939140,0.945939,1812.748757
10000,10000,10000,1.282101507,1.282102,1559.938889
10500,10500,10500,1.582689478,1.582689,1462.858022
11000,11000,11000,1.986248415,1.986248,1340.215041
11500,11500,11500,2.292754790,2.292755,1326.679160
12000,12000,12000,2.569211247,2.569211,1345.159922
12500,12500,12500,3.034894832,3.034895,1287.112146
13000,13000,13000,3.332310181,3.332310,1318.604740
13500,13500,13500,3.717315226,3.717315,1323.737617
14000,14000,14000,4.063696824,4.063697,1350.494448
14500,14500,14500,3.214602286,3.214602,1896.735415
15000,15000,15000,4.689893286,4.689893,1439.265158
15500,15500,15500,5.531801718,5.531802,1346.351583
16000,16000,16000,6.088273040,6.088273,1345.537552
16500,16500,16500,4.329398546,4.329399,2075.172776
17000,17000,17000,7.187358724,7.187359,1367.122524
17500,17500,17500,6.313501597,6.313502,1697.750422
18000,18000,18000,6.702842707,6.702843,1740.157200
18500,18500,18500,7.069795327,7.069795,1791.176323
19000,19000,19000,10.212987005,10.212987,1343.191761
19500,19500,19500,7.597829308,7.597829,1951.840374
20000,20000,20000,8.215371064,8.215371,1947.568756
20500,20500,20500,12.334391039,12.334391,1396.927497
21000,21000,21000,13.287813885,13.287814,1393.908747
21500,21500,21500,14.289207833,14.289208,1391.032325
22000,22000,22000,15.415620439,15.415620,1381.455912
22500,22500,22500,16.631649409,16.631649,1369.752899
23000,23000,23000,17.531628110,17.531628,1388.005714
23500,23500,23500,18.453212007,18.453212,1406.570845
24000,24000,24000,17.242046413,17.242046,1603.521957
24500,24500,24500,19.527701532,19.527702,1506.180845
25000,25000,25000,14.059527213,14.059527,2222.692095
25500,25500,25500,14.527747434,14.527747,2282.717961
26000,26000,26000,15.284342072,15.284342,2299.870013
26500,26500,26500,20.940100962,20.940101,1777.415021
27000,27000,27000,22.225668389,22.225668,1771.195327
