m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.045388160,0.045388,352.514841
2500,2500,2500,0.043303456,0.043303,721.651408
3000,3000,3000,0.062611782,0.062612,862.457484
3500,3500,3500,0.077606451,0.077606,1104.933918
4000,4000,4000,0.084735557,0.084736,1510.581915
4500,4500,4500,0.108190871,0.108191,1684.522902
5000,5000,5000,0.135820109,0.135820,1840.670000
5500,5500,5500,0.141380051,0.141380,2353.585231
6000,6000,6000,0.192660479,0.192660,2242.286546
6500,6500,6500,0.238956992,0.238957,2298.530775
7000,7000,7000,0.318514914,0.318515,2153.745303
7500,7500,7500,0.393229464,0.393229,2145.693742
8000,8000,8000,0.485688391,0.485688,2108.347696
8500,8500,8500,0.580058819,0.580059,2117.457678
9000,9000,9000,0.765759823,0.765760,1903.991247
9500,9500,9500,0.970948990,0.970949,1766.055702
10000,10000,10000,1.378954594,1.378955,1450.374080
10500,10500,10500,1.563513356,1.563513,1480.799631
11000,11000,11000,2.153114076,2.153114,1236.348798
11500,11500,11500,2.378021430,2.378021,1279.109583
12000,12000,12000,2.739672833,2.739673,1261.464493
12500,12500,12500,3.122039903,3.122040,1251.185161
13000,13000,13000,3.140427755,3.140428,1399.172451
13500,13500,13500,3.854112215,3.854112,1276.753173
14000,14000,14000,4.165428291,4.165428,1317.511578
14500,14500,14500,3.283923335,3.283923,1856.696816
15000,15000,15000,4.711309045,4.711309,1432.722824
15500,15500,15500,5.010600054,5.010600,1486.398818
16000,16000,16000,6.116956221,6.116956,1339.228156
16500,16500,16500,6.679496205,6.679496,1345.049046
17000,17000,17000,6.108532497,6.108532,1608.569653
17500,17500,17500,5.805209594,5.805210,1846.401896
18000,18000,18000,6.048420514,6.048421,1928.437345
18500,18500,18500,7.128359228,7.128359,1776.460697
19000,19000,19000,7.522983670,7.522984,1823.478636
19500,19500,19500,10.614682780,10.614683,1397.097804
20000,20000,20000,11.477995036,11.477995,1393.971678
20500,20500,20500,12.311834536,12.311835,1399.486807
21000,21000,21000,13.193394473,13.193394,1403.884348
21500,21500,21500,14.333976633,14.333977,1386.687764
22000,22000,22000,15.780861687,15.780862,1349.482710
22500,22500,22500,11.340839488,11.340839,2008.779864
23000,23000,23000,11.762590582,11.762591,2068.761964
23500,23500,23500,17.123876223,17.123876,1515.763701
24000,24000,24000,19.076283276,19.076283,1449.338930
24500,24500,24500,20.401681164,20.401681,1441.658154
25000,25000,25000,14.067687179,14.067687,2221.402822
25500,25500,25500,14.600007765,14.600008,2271.420025
26000,26000,26000,20.449259379,20.449259,1718.986461
26500,26500,26500,15.909255528,15.909256,2339.471507
27000,27000,27000,16.660212730,16.660213,2362.874991
27500,27500,27500,29.660841854,29.660842,1402.311850
28000,28000,28000,23.380413312,23.380413,1877.811115
28500,28500,28500,28.055192655,28.055193,1650.256000
29000,29000,29000,34.640753438,34.640753,1408.110250
29500,29500,29500,36.078616701,36.078617,1423.135217
30000,30000,30000,25.513002864,25.513003,2116.567787
2000,2000,2000,0.036840052,0.036840,434.309919
2500,2500,2500,0.043387126,0.043387,720.259738
3000,3000,3000,0.055796959,0.055797,967.794679
3500,3500,3500,0.074717391,0.074717,1147.657846
4000,4000,4000,0.088908164,0.088908,1439.687811
4500,4500,4500,0.112670625,0.112671,1617.546721
5000,5000,5000,0.118315624,0.118316,2112.992279
5500,5500,5500,0.197307521,0.197308,1686.453706
6000,6000,6000,0.236841730,0.236842,1824.002890
6500,6500,6500,0.331804732,0.331805,1655.341070
7000,7000,7000,0.400389309,0.400389,1713.332461
7500,7500,7500,0.520855980,0.520856,1619.929563
8000,8000,8000,0.662707832,0.662708,1545.175642
8500,8500,8500,0.713690864,0.713691,1720.983218
9000,9000,9000,0.862329734,0.862330,1690.768557
9500,9500,9500,1.105812293,1.105812,1550.670047
10000,10000,10000,1.312670624,1.312671,1523.611455
10500,10500,10500,1.561010836,1.561011,1483.173561
11000,11000,11000,2.021210387,2.021210,1317.032614
11500,11500,11500,2.314003373,2.314003,1314.496787
12000,12000,12000,2.648397097,2.648397,1304.940261
12500,12500,12500,3.074487586,3.074488,1270.536924
13000,13000,13000,3.381031653,3.381032,1299.603331
13500,13500,13500,3.750059305,3.750059,1312.179248
14000,14000,14000,4.077835098,4.077835,1345.812145
14500,14500,14500,4.456524699,4.456525,1368.162506
15000,15000,15000,4.677678842,4.677679,1443.023394
15500,15500,15500,4.967656037,4.967656,1499.248326
16000,16000,16000,6.135116270,6.135116,1335.264018
16500,16500,16500,6.662280487,6.662280,1348.524731
17000,17000,17000,6.084570506,6.084571,1614.904452
17500,17500,17500,5.699586709,5.699587,1880.618815
18000,18000,18000,6.078214436,6.078214,1918.984617
18500,18500,18500,7.117447496,7.117447,1779.184182
19000,19000,19000,7.517461658,7.517462,1824.818087
19500,19500,19500,7.906797522,7.906798,1875.569718
20000,20000,20000,11.494439036,11.494439,1391.977455
20500,20500,20500,12.251534733,12.251535,1406.374824
21000,21000,21000,13.290805552,13.290806,1393.594988
21500,21500,21500,14.291911158,14.291911,1390.769211
22000,22000,22000,15.697474550,15.697475,1356.651347
22500,22500,22500,16.855161978,16.855162,1351.588910
23000,23000,23000,11.744928994,11.744929,2071.872892
23500,23500,23500,17.363375232,17.363375,1494.856251
24000,24000,24000,12.813856937,12.813857,2157.664171
24500,24500,24500,20.103751794,20.103752,1463.022937
25000,25000,25000,19.511106930,19.511107,1601.651824
25500,25500,25500,14.558465391,14.558465,2277.901490
26000,26000,26000,15.282210911,15.282211,2300.190738
26500,26500,26500,21.164792181,21.164792,1758.545498
27000,27000,27000,22.727535194,22.727535,1732.083997
27500,27500,27500,22.742196481,22.742196,1828.924046
28000,28000,28000,18.045314923,18.045315,2432.986079
28500,28500,28500,23.656301108,23.656301,1957.121267
29000,29000,29000,24.694821903,24.694822,1975.231901
29500,29500,29500,24.391709954,24.391710,2105.008222
30000,30000,30000,25.259870162,25.259870,2137.778209
2000,2000,2000,0.036093752,0.036094,443.290019
2500,2500,2500,0.041511623,0.041512,752.801209
3000,3000,3000,0.059628009,0.059628,905.614675
3500,3500,3500,0.074309333,0.074309,1153.960028
4000,4000,4000,0.089901555,0.089902,1423.779600
4500,4500,4500,0.100257207,0.100257,1817.824428
5000,5000,5000,0.140514836,0.140515,1779.171560
5500,5500,5500,0.183257388,0.183257,1815.752170
6000,6000,6000,0.237094185,0.237094,1822.060714
6500,6500,6500,0.341640335,0.341640,1607.684877
7000,7000,7000,0.390391775,0.390392,1757.209152
7500,7500,7500,0.532641126,0.532641,1584.087219
8000,8000,8000,0.617424851,0.617425,1658.501433
8500,8500,8500,0.743507072,0.743507,1651.968147
9000,9000,9000,0.918055944,0.918056,1588.138511
9500,9500,9500,1.035149771,1.035150,1656.523576
10000,10000,10000,1.285648005,1.285648,1555.635751
10500,10500,10500,1.528943912,1.528944,1514.280532
11000,11000,11000,1.946593579,1.946594,1367.517097
11500,11500,11500,2.287970828,2.287971,1329.453139
12000,12000,12000,2.552658035,2.552658,1353.882875
12500,12500,12500,3.021029178,3.021029,1293.019620
13000,13000,13000,3.349476381,3.349476,1311.846838
13500,13500,13500,3.773773129,3.773773,1303.933711
14000,14000,14000,4.057030288,4.057030,1352.713589
14500,14500,14500,3.219130139,3.219130,1894.067570
15000,15000,15000,4.704618946,4.704619,1434.760196
15500,15500,15500,4.971460548,4.971461,1498.100996
16000,16000,16000,6.146388146,6.146388,1332.815274
16500,16500,16500,6.707821989,6.707822,1339.369174
17000,17000,17000,6.096165795,6.096166,1611.832803
17500,17500,17500,6.235956841,6.235957,1718.862121
18000,18000,18000,6.097255294,6.097255,1912.991902
18500,18500,18500,7.144533795,7.144534,1772.438953
19000,19000,19000,7.521846237,7.521846,1823.754377
19500,19500,19500,11.014850829,11.014851,1346.341429
20000,20000,20000,11.456833048,11.456833,1396.546492
20500,20500,20500,12.238795920,12.238796,1407.838656
21000,21000,21000,13.201967670,13.201968,1402.972683
