m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,22.773330117,22.773330,2371.194714
29500,29500,29500,23.807736609,23.807737,2156.641383
29000,29000,29000,21.293140052,21.293140,2290.784726
28500,28500,28500,23.001240999,23.001241,2012.858785
28000,28000,28000,30.131837602,30.131838,1457.063475
27500,27500,27500,27.163088414,27.163088,1531.259972
27000,27000,27000,25.826978760,25.826979,1524.220094
26500,26500,26500,24.998355338,24.998355,1488.867947
26000,26000,26000,24.825058439,24.825058,1415.988610
25500,25500,25500,23.341961698,23.341962,1420.735345
25000,25000,25000,22.425014326,22.425014,1393.533112
24500,24500,24500,21.294220699,21.294221,1381.231575
24000,24000,24000,18.658673016,18.658673,1481.777401
23500,23500,23500,18.342418833,18.342419,1415.066913
23000,23000,23000,17.592652507,17.592653,1383.191079
22500,22500,22500,9.921496843,9.921497,2296.150506
22000,22000,22000,9.418486285,9.418486,2261.085206
21500,21500,21500,8.298719427,8.298719,2395.158696
21000,21000,21000,8.525831015,8.525831,2172.456851
20500,20500,20500,7.158723788,7.158724,2406.888506
20000,20000,20000,6.966209353,6.966209,2296.801487
19500,19500,19500,7.873698538,7.873699,1883.454126
19000,19000,19000,6.312460849,6.312461,2173.161993
18500,18500,18500,5.741031812,5.741032,2205.744614
18000,18000,18000,5.978036953,5.978037,1951.142171
17500,17500,17500,4.763513395,4.763513,2250.177361
17000,17000,17000,5.340241946,5.340242,1839.991540
16500,16500,16500,5.874907820,5.874908,1529.258037
16000,16000,16000,4.023989801,4.023990,2035.790448
15500,15500,15500,5.078847355,5.078847,1466.425250
15000,15000,15000,3.493473772,3.493474,1932.174231
14500,14500,14500,4.471527619,4.471528,1363.572032
14000,14000,14000,3.617904174,3.617904,1516.900320
13500,13500,13500,3.742960289,3.742960,1314.667969
13000,13000,13000,3.367889107,3.367889,1304.674786
12500,12500,12500,3.023896507,3.023897,1291.793549
12000,12000,12000,2.595270372,2.595270,1331.653163
11500,11500,11500,2.252941437,2.252941,1350.123865
11000,11000,11000,1.986174503,1.986175,1340.264914
10500,10500,10500,1.596056531,1.596057,1450.606514
10000,10000,10000,1.226888194,1.226888,1630.140391
9500,9500,9500,0.946747599,0.946748,1811.200791
9000,9000,9000,0.775579681,0.775580,1879.884215
8500,8500,8500,0.553236864,0.553237,2220.115975
8000,8000,8000,0.495669586,0.495670,2065.892338
7500,7500,7500,0.338739752,0.338740,2490.850262
7000,7000,7000,0.276660846,0.276661,2479.570239
6500,6500,6500,0.205699767,0.205700,2670.153729
6000,6000,6000,0.177885642,0.177886,2428.526525
5500,5500,5500,0.139200512,0.139201,2390.436610
5000,5000,5000,0.104339582,0.104340,2396.022633
4500,4500,4500,0.084652039,0.084652,2152.931012
4000,4000,4000,0.075886272,0.075886,1686.734591
3500,3500,3500,0.061117525,0.061118,1403.034563
3000,3000,3000,0.050273834,0.050274,1074.117403
2500,2500,2500,0.035429224,0.035429,882.040205
2000,2000,2000,0.027261196,0.027261,586.914822
30000,30000,30000,22.383296871,22.383297,2412.513237
29500,29500,29500,24.486538307,24.486538,2096.856214
29000,29000,29000,22.730114710,22.730115,2145.963653
28500,28500,28500,22.136797244,22.136797,2091.461086
28000,28000,28000,30.172986888,30.172987,1455.076362
27500,27500,27500,25.996148892,25.996149,1599.996606
27000,27000,27000,24.601667401,24.601667,1600.135444
26500,26500,26500,23.679254688,23.679255,1571.808340
26000,26000,26000,25.073170868,25.073171,1401.976646
25500,25500,25500,23.916759500,23.916760,1386.590437
25000,25000,25000,22.272078232,22.272078,1403.102112
24500,24500,24500,21.240379793,21.240380,1384.732773
24000,24000,24000,18.618853911,18.618854,1484.946395
23500,23500,23500,18.436296240,18.436296,1407.861409
23000,23000,23000,17.561127681,17.561128,1385.674112
22500,22500,22500,9.863666145,9.863666,2309.612842
22000,22000,22000,8.535282014,8.535282,2495.055227
21500,21500,21500,14.659118450,14.659118,1355.930786
21000,21000,21000,7.690510854,7.690511,2408.422581
20500,20500,20500,7.213371518,7.213372,2388.654176
20000,20000,20000,6.328443290,6.328443,2528.267896
19500,19500,19500,10.671774391,10.671774,1389.623642
19000,19000,19000,6.017284822,6.017285,2279.765776
18500,18500,18500,5.694717498,5.694717,2223.683616
18000,18000,18000,6.770524941,6.770525,1722.761544
17500,17500,17500,4.897623783,4.897624,2188.561326
17000,17000,17000,4.595834276,4.595834,2138.023134
16500,16500,16500,5.894626586,5.894627,1524.142347
16000,16000,16000,4.065212482,4.065212,2015.146819
15500,15500,15500,5.071133713,5.071134,1468.655812
15000,15000,15000,3.479065684,3.479066,1940.176074
14500,14500,14500,4.493882344,4.493882,1356.788971
14000,14000,14000,3.617834648,3.617835,1516.929471
13500,13500,13500,3.755467172,3.755467,1310.289712
13000,13000,13000,3.348798558,3.348799,1312.112366
12500,12500,12500,3.019363480,3.019363,1293.732943
12000,12000,12000,2.572761831,2.572762,1343.303511
11500,11500,11500,2.264595649,2.264596,1343.175768
11000,11000,11000,1.961968738,1.961969,1356.800416
10500,10500,10500,1.573587922,1.573588,1471.319122
10000,10000,10000,1.246323489,1.246323,1604.719816
9500,9500,9500,0.984483247,0.984483,1741.776719
9000,9000,9000,0.798229067,0.798229,1826.543357
8500,8500,8500,0.607199935,0.607200,2022.809834
8000,8000,8000,0.498300631,0.498301,2054.984353
7500,7500,7500,0.371076216,0.371076,2273.791646
7000,7000,7000,0.285012110,0.285012,2406.915271
6500,6500,6500,0.218278225,0.218278,2516.283977
