m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,27.270103204,27.270103,1980.190526
30000,30000,30000,27.276822617,27.276823,1979.702723
30000,30000,30000,25.174921468,25.174921,2144.991795
30000,30000,30000,27.752209371,27.752209,1945.791028
30000,30000,30000,27.811879424,27.811879,1941.616357
30000,30000,30000,26.520644437,26.520644,2036.149617
30000,30000,30000,26.805857345,26.805857,2014.485092
30000,30000,30000,26.116509791,26.116510,2067.657602
30000,30000,30000,25.955591759,25.955592,2080.476550
30000,30000,30000,25.757923812,25.757924,2096.442260
30000,30000,30000,26.652369130,26.652369,2026.086302
30000,30000,30000,25.649652284,25.649652,2105.291698
30000,30000,30000,26.477071724,26.477072,2039.500461
30000,30000,30000,28.546210303,28.546210,1891.669662
30000,30000,30000,28.464932466,28.464932,1897.071074
30000,30000,30000,27.099587547,27.099588,1992.650254
30000,30000,30000,27.694328293,27.694328,1949.857726
30000,30000,30000,28.579354392,28.579354,1889.475852
30000,30000,30000,28.797631303,28.797631,1875.154225
30000,30000,30000,28.685026705,28.685027,1882.515242
30000,30000,30000,29.390234853,29.390235,1837.344964
30000,30000,30000,29.648638968,29.648639,1821.331497
30000,30000,30000,30.428349820,30.428350,1774.660812
30000,30000,30000,31.577564102,31.577564,1710.074907
30000,30000,30000,29.980190431,29.980190,1801.189359
30000,30000,30000,30.462733242,30.462733,1772.657744
30000,30000,30000,30.830373544,30.830374,1751.519485
30000,30000,30000,32.402867872,32.402868,1666.519155
30000,30000,30000,32.485637240,32.485637,1662.273072
30000,30000,30000,32.506761828,32.506762,1661.192840
30000,30000,30000,33.985603621,33.985604,1588.908074
30000,30000,30000,34.991835835,34.991836,1543.217117
30000,30000,30000,34.655249240,34.655249,1558.205501
30000,30000,30000,36.950972097,36.950972,1461.395924
30000,30000,30000,36.732061318,36.732061,1470.105354
30000,30000,30000,39.313346432,39.313346,1373.579329
30000,30000,30000,38.978354098,38.978354,1385.384305
30000,30000,30000,41.265574818,41.265575,1308.596820
30000,30000,30000,44.648903821,44.648904,1209.436187
30000,30000,30000,45.104231094,45.104231,1197.226927
30000,30000,30000,45.706550021,45.706550,1181.449923
30000,30000,30000,48.737245306,48.737245,1107.982194
30000,30000,30000,50.886398935,50.886399,1061.187294
30000,30000,30000,53.731801386,53.731801,1004.991432
30000,30000,30000,53.426137765,53.426138,1010.741226
30000,30000,30000,59.079553511,59.079554,914.021803
30000,30000,30000,59.029118068,59.029118,914.802758
30000,30000,30000,66.028427787,66.028428,817.829559
30000,30000,30000,68.566514664,68.566515,787.556437
30000,30000,30000,68.511619567,68.511620,788.187469
30000,30000,30000,73.177974559,73.177975,737.926956
30000,30000,30000,82.146030072,82.146030,657.365912
30000,30000,30000,81.670583537,81.670584,661.192778
30000,30000,30000,94.654657786,94.654658,570.494905
30000,30000,30000,103.236579125,103.236579,523.070412
30000,30000,30000,116.881017754,116.881018,462.008297
30000,30000,30000,115.156285163,115.156285,468.927944
30000,30000,30000,150.538196768,150.538197,358.712946
30000,30000,30000,150.485933557,150.485934,358.837525
30000,30000,30000,221.233739545,221.233740,244.085735
30000,30000,30000,293.172679319,293.172679,184.191788
