m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,33.280233347,33.280233,1622.584777
29500,29500,29500,31.457544394,31.457544,1632.191927
29000,29000,29000,30.022025992,30.022026,1624.740449
28500,28500,28500,28.468843685,28.468844,1626.277854
28000,28000,28000,26.991165199,26.991165,1626.606324
27500,27500,27500,25.459737510,25.459738,1633.706945
27000,27000,27000,24.219636457,24.219636,1625.375347
26500,26500,26500,22.797193945,22.797194,1632.624177
26000,26000,26000,21.654165549,21.654166,1623.336624
25500,25500,25500,20.308042454,20.308042,1632.986049
25000,25000,25000,19.332881765,19.332882,1616.417065
24500,24500,24500,17.999233574,17.999234,1634.083467
24000,24000,24000,16.974223492,16.974223,1628.822668
23500,23500,23500,16.002539489,16.002539,1621.976938
23000,23000,23000,14.920554524,14.920555,1630.904532
22500,22500,22500,13.930695510,13.930696,1635.327539
22000,22000,22000,13.124407309,13.124407,1622.625655
21500,21500,21500,12.164052452,12.164052,1634.056584
21000,21000,21000,11.304772549,11.304773,1638.423057
20500,20500,20500,10.437702776,10.437703,1650.770325
20000,20000,20000,9.865523378,9.865523,1621.809547
19500,19500,19500,9.049602866,9.049603,1638.718319
19000,19000,19000,8.465738964,8.465739,1620.413771
18500,18500,18500,7.820721622,7.820722,1619.192015
18000,18000,18000,7.164808667,7.164809,1627.956941
17500,17500,17500,6.592057333,6.592057,1626.009826
17000,17000,17000,6.018765344,6.018765,1632.560739
16500,16500,16500,5.534547533,5.534548,1623.303431
16000,16000,16000,5.022382273,5.022382,1631.098462
15500,15500,15500,4.530514809,4.530515,1643.908102
15000,15000,15000,4.188745888,4.188746,1611.460848
14500,14500,14500,3.736283056,3.736283,1631.902591
14000,14000,14000,3.362992842,3.362993,1631.879774
13500,13500,13500,3.037469127,3.037469,1620.016466
13000,13000,13000,2.712586018,2.712586,1619.856466
12500,12500,12500,2.411811950,2.411812,1619.632907
12000,12000,12000,2.147705377,2.147705,1609.159262
11500,11500,11500,1.879034526,1.879035,1618.783454
11000,11000,11000,1.640573041,1.640573,1622.603769
10500,10500,10500,1.428701437,1.428701,1620.527522
10000,10000,10000,1.245473583,1.245474,1605.814870
9500,9500,9500,1.064084882,1.064085,1611.478585
9000,9000,9000,0.903637213,0.903637,1613.479369
8500,8500,8500,0.763574498,0.763574,1608.552935
8000,8000,8000,0.633529843,0.633530,1616.340590
7500,7500,7500,0.525728721,0.525729,1604.915171
7000,7000,7000,0.431311023,0.431311,1590.499578
6500,6500,6500,0.348033930,0.348034,1578.150728
6000,6000,6000,0.277871024,0.277871,1554.678116
5500,5500,5500,0.215121150,0.215121,1546.802813
5000,5000,5000,0.167515812,0.167516,1492.396431
4500,4500,4500,0.122524050,0.122524,1487.463074
4000,4000,4000,0.086073965,0.086074,1487.093106
3500,3500,3500,0.061848321,0.061848,1386.456392
3000,3000,3000,0.040133235,0.040133,1345.518247
2500,2500,2500,0.027016891,0.027017,1156.683795
2000,2000,2000,0.016437180,0.016437,973.402980
30000,30000,30000,33.239875143,33.239875,1624.554839
29500,29500,29500,31.436453461,31.436453,1633.286976
29000,29000,29000,30.002764852,30.002765,1625.783498
28500,28500,28500,28.458875618,28.458876,1626.847477
28000,28000,28000,27.016472791,27.016473,1625.082606
27500,27500,27500,25.384651233,25.384651,1638.539353
27000,27000,27000,24.146596215,24.146596,1630.291891
26500,26500,26500,22.787209910,22.787210,1633.339498
26000,26000,26000,21.575574192,21.575574,1629.249803
25500,25500,25500,20.273420001,20.273420,1635.774822
25000,25000,25000,19.318967193,19.318967,1617.581297
24500,24500,24500,18.012469054,18.012469,1632.882750
24000,24000,24000,16.977812737,16.977813,1628.478322
23500,23500,23500,16.011297803,16.011298,1621.089703
23000,23000,23000,14.944975502,14.944976,1628.239538
22500,22500,22500,13.942495134,13.942495,1633.943550
22000,22000,22000,13.123641499,13.123641,1622.720340
21500,21500,21500,12.160563041,12.160563,1634.525468
21000,21000,21000,11.301338900,11.301339,1638.920854
20500,20500,20500,10.476382728,10.476383,1644.675500
20000,20000,20000,9.865152273,9.865152,1621.870556
19500,19500,19500,9.052859736,9.052860,1638.128772
19000,19000,19000,8.461917873,8.461918,1621.145490
18500,18500,18500,7.807987250,7.807987,1621.832823
18000,18000,18000,7.165141370,7.165141,1627.881349
17500,17500,17500,6.597640430,6.597640,1624.633854
17000,17000,17000,6.019793326,6.019793,1632.281952
16500,16500,16500,5.537861071,5.537861,1622.332140
16000,16000,16000,5.080913503,5.080914,1612.308494
15500,15500,15500,4.529778500,4.529778,1644.175317
15000,15000,15000,4.194333915,4.194334,1609.313931
14500,14500,14500,3.737153423,3.737153,1631.522528
14000,14000,14000,3.363305303,3.363305,1631.728168
13500,13500,13500,3.036512440,3.036512,1620.526870
13000,13000,13000,2.713394486,2.713394,1619.373822
12500,12500,12500,2.413443149,2.413443,1618.538229
12000,12000,12000,2.146838063,2.146838,1609.809356
11500,11500,11500,1.879119227,1.879119,1618.710487
11000,11000,11000,1.640877977,1.640878,1622.302229
10500,10500,10500,1.428172608,1.428173,1621.127577
10000,10000,10000,1.245886232,1.245886,1605.283010
9500,9500,9500,1.063436599,1.063437,1612.460961
9000,9000,9000,0.903638916,0.903639,1613.476328
8500,8500,8500,0.762956236,0.762956,1609.856427
8000,8000,8000,0.632939945,0.632940,1617.847014
7500,7500,7500,0.524832435,0.524832,1607.655975
7000,7000,7000,0.431558332,0.431558,1589.588125
6500,6500,6500,0.346425064,0.346425,1585.479970
6000,6000,6000,0.277972185,0.277972,1554.112330
5500,5500,5500,0.215702380,0.215702,1542.634810
