m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,16.622689451,16.622689,3248.571789
29500,29500,29500,15.726598410,15.726598,3264.835069
29000,29000,29000,14.884678857,14.884679,3277.060961
28500,28500,28500,14.114633184,14.114633,3280.159633
28000,28000,28000,13.223583820,13.223584,3320.128688
27500,27500,27500,12.189310752,12.189311,3412.313530
27000,27000,27000,11.609712858,11.609713,3390.781536
26500,26500,26500,11.519164002,11.519164,3231.072150
26000,26000,26000,10.649226320,10.649226,3300.897074
25500,25500,25500,9.777682965,9.777683,3391.677775
25000,25000,25000,9.412239599,9.412240,3320.144974
24500,24500,24500,9.064219487,9.064219,3244.873984
24000,24000,24000,8.545644352,8.545644,3235.332394
23500,23500,23500,8.021098319,8.021098,3235.934652
23000,23000,23000,7.166895128,7.166895,3395.333623
22500,22500,22500,6.741535841,6.741536,3379.237393
22000,22000,22000,6.535622596,6.535623,3258.450084
21500,21500,21500,6.065768062,6.065768,3276.872738
21000,21000,21000,5.698242580,5.698243,3250.475869
20500,20500,20500,5.327617432,5.327617,3234.138003
20000,20000,20000,5.025268469,5.025268,3183.909496
19500,19500,19500,4.524663102,4.524663,3277.536839
19000,19000,19000,4.198270018,4.198270,3267.536376
18500,18500,18500,3.986045107,3.986045,3176.895810
18000,18000,18000,3.493380828,3.493381,3338.885903
17500,17500,17500,3.247612019,3.247612,3300.502011
17000,17000,17000,2.951695287,2.951695,3328.934407
16500,16500,16500,2.690076870,2.690077,3339.774450
16000,16000,16000,2.531057659,2.531058,3236.591617
15500,15500,15500,2.309913301,2.309913,3224.255212
15000,15000,15000,2.143260959,2.143261,3149.406502
14500,14500,14500,1.861207433,1.861207,3275.964781
14000,14000,14000,1.702814755,1.702815,3222.899017
13500,13500,13500,1.520081137,1.520081,3237.162728
13000,13000,13000,1.348860478,1.348860,3257.564494
12500,12500,12500,1.229019858,1.229020,3178.345716
12000,12000,12000,1.099016152,1.099016,3144.630762
11500,11500,11500,0.914882769,0.914883,3324.742910
11000,11000,11000,0.812093029,0.812093,3277.949576
10500,10500,10500,0.718077285,0.718077,3224.235118
10000,10000,10000,0.639564314,0.639564,3127.128822
9500,9500,9500,0.535951763,0.535952,3199.448380
9000,9000,9000,0.508712863,0.508713,2866.056878
8500,8500,8500,0.436021560,0.436022,2816.947859
8000,8000,8000,0.355459257,0.355459,2880.780230
7500,7500,7500,0.307252959,0.307253,2746.108623
7000,7000,7000,0.260610523,0.260611,2632.280508
6500,6500,6500,0.201202735,0.201203,2729.833668
6000,6000,6000,0.158432750,0.158433,2726.708966
5500,5500,5500,0.123511732,0.123512,2694.076057
5000,5000,5000,0.097252530,0.097253,2570.627211
4500,4500,4500,0.070211645,0.070212,2595.723259
4000,4000,4000,0.065251495,0.065251,1961.640879
3500,3500,3500,0.038939902,0.038940,2202.111346
3000,3000,3000,0.026525625,0.026526,2035.767300
2500,2500,2500,0.017906188,0.017906,1745.206741
2000,2000,2000,0.034314209,0.034314,466.279144
30000,30000,30000,16.299158259,16.299158,3313.054524
29500,29500,29500,15.838125284,15.838125,3241.845173
29000,29000,29000,14.860107282,14.860107,3282.479667
28500,28500,28500,14.077591411,14.077591,3288.790578
28000,28000,28000,12.738537938,12.738538,3446.549377
27500,27500,27500,12.190368054,12.190368,3412.017571
27000,27000,27000,11.791498439,11.791498,3338.506993
26500,26500,26500,11.504548765,11.504549,3235.176864
26000,26000,26000,10.336412849,10.336413,3400.792955
