m,n,k,elapsed1,elapsed2,GFLOPS
2000,2000,2000,0.016096999,0.016097,993.974094
2500,2500,2500,0.026383293,0.026383,1184.461697
3000,3000,3000,0.040947562,0.040948,1318.759832
3500,3500,3500,0.062214572,0.062215,1378.294461
4000,4000,4000,0.085900665,0.085901,1490.093237
4500,4500,4500,0.122000538,0.122001,1493.845871
5000,5000,5000,0.166746820,0.166747,1499.278967
5500,5500,5500,0.213800631,0.213801,1556.356492
6000,6000,6000,0.277289524,0.277290,1557.938410
6500,6500,6500,0.345979383,0.345979,1587.522341
7000,7000,7000,0.431264402,0.431264,1590.671516
7500,7500,7500,0.526530078,0.526530,1602.472556
8000,8000,8000,0.633925136,0.633925,1615.332698
8500,8500,8500,0.764272917,0.764273,1607.082984
9000,9000,9000,0.903967944,0.903968,1612.889052
9500,9500,9500,1.063091494,1.063091,1612.984404
10000,10000,10000,1.246996151,1.246996,1603.854189
10500,10500,10500,1.427740353,1.427740,1621.618381
11000,11000,11000,1.641289205,1.641289,1621.895758
11500,11500,11500,1.880472049,1.880472,1617.545978
12000,12000,12000,2.148450209,2.148450,1608.601393
12500,12500,12500,2.414823780,2.414824,1617.612860
13000,13000,13000,2.714381445,2.714381,1618.785012
13500,13500,13500,3.040545617,3.040546,1618.377298
14000,14000,14000,3.363901889,3.363902,1631.438782
14500,14500,14500,3.736506674,3.736507,1631.804927
15000,15000,15000,4.177076162,4.177076,1615.962874
15500,15500,15500,4.533757862,4.533758,1642.732194
16000,16000,16000,5.034133590,5.034134,1627.290944
16500,16500,16500,5.537893870,5.537894,1622.322531
17000,17000,17000,6.021432259,6.021432,1631.837672
17500,17500,17500,6.594118846,6.594119,1625.501489
18000,18000,18000,7.223309775,7.223310,1614.772225
18500,18500,18500,7.848366686,7.848367,1613.488578
19000,19000,19000,8.406939329,8.406939,1631.747234
19500,19500,19500,9.045432676,9.045433,1639.473813
20000,20000,20000,9.894501576,9.894502,1617.059725
20500,20500,20500,10.455122614,10.455123,1648.019888
21000,21000,21000,11.312159644,11.312160,1637.353130
21500,21500,21500,12.154061738,12.154062,1635.399789
22000,22000,22000,13.082900102,13.082900,1627.773646
22500,22500,22500,13.965583488,13.965583,1631.242262
23000,23000,23000,14.967170554,14.967171,1625.824996
23500,23500,23500,15.984503333,15.984503,1623.807100
24000,24000,24000,16.942456235,16.942456,1631.876725
24500,24500,24500,17.994819421,17.994819,1634.484310
25000,25000,25000,19.330234813,19.330235,1616.638406
25500,25500,25500,20.216171081,20.216171,1640.407072
26000,26000,26000,21.621513257,21.621513,1625.788148
26500,26500,26500,22.720982178,22.720982,1638.100400
27000,27000,27000,24.279735880,24.279736,1621.352069
27500,27500,27500,25.426072455,25.426072,1635.870034
28000,28000,28000,26.966714857,26.966715,1628.081145
28500,28500,28500,28.436705260,28.436705,1628.115830
29000,29000,29000,29.968630808,29.968631,1627.635253
29500,29500,29500,31.540764322,31.540764,1627.885408
30000,30000,30000,33.225608729,33.225609,1625.252390
