m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,23.175283889,23.175284,2330.068545
29500,29500,29500,27.305238077,27.305238,1880.399279
29000,29000,29000,25.421222234,25.421222,1918.790511
28500,28500,28500,24.156501883,24.156502,1916.595798
28000,28000,28000,20.310751681,20.310752,2161.613745
27500,27500,27500,19.576576658,19.576577,2124.669227
27000,27000,27000,18.809783225,18.809783,2092.847085
26500,26500,26500,18.180004667,18.180005,2047.262951
26000,26000,26000,12.937568048,12.937568,2717.048511
25500,25500,25500,18.665672307,18.665672,1776.670535
25000,25000,25000,16.045606346,16.045606,1947.573643
24500,24500,24500,16.034884739,16.034885,1834.266381
24000,24000,24000,13.905556340,13.905556,1988.269964
23500,23500,23500,14.497185802,14.497186,1790.399210
23000,23000,23000,10.334896311,10.334896,2354.547087
22500,22500,22500,13.291162003,13.291162,1714.014922
22000,22000,22000,12.636046604,12.636047,1685.337247
21500,21500,21500,12.051499411,12.051499,1649.317593
21000,21000,21000,11.138426818,11.138427,1662.891924
20500,20500,20500,6.146736212,6.146736,2803.154293
20000,20000,20000,6.670971804,6.670972,2398.451151
19500,19500,19500,6.432807199,6.432807,2305.331023
19000,19000,19000,6.254257888,6.254258,2193.385729
18500,18500,18500,5.332371485,5.332371,2374.787660
18000,18000,18000,5.556963388,5.556963,2098.988096
17500,17500,17500,4.317139688,4.317140,2482.836038
17000,17000,17000,4.814792860,4.814793,2040.793921
16500,16500,16500,4.254832211,4.254832,2111.540374
16000,16000,16000,4.482876534,4.482877,1827.398086
15500,15500,15500,3.512605082,3.512605,2120.292440
15000,15000,15000,3.183316972,3.183317,2120.429747
14500,14500,14500,2.875199710,2.875200,2120.635300
14000,14000,14000,2.778933797,2.778934,1974.858129
13500,13500,13500,2.539493067,2.539493,1937.689874
13000,13000,13000,2.404361508,2.404362,1827.512205
12500,12500,12500,1.923303286,1.923303,2031.010932
12000,12000,12000,1.767663511,1.767664,1955.123234
11500,11500,11500,1.536630581,1.536631,1979.493339
11000,11000,11000,1.458598169,1.458598,1825.039998
10500,10500,10500,1.296239148,1.296239,1786.128743
10000,10000,10000,1.107163926,1.107164,1806.417237
9500,9500,9500,0.945864634,0.945865,1812.891547
9000,9000,9000,0.842775715,0.842776,1729.997642
8500,8500,8500,0.726813607,0.726814,1689.910574
8000,8000,8000,0.637201450,0.637201,1607.027103
7500,7500,7500,0.536561238,0.536561,1572.513891
7000,7000,7000,0.442455629,0.442456,1550.437954
6500,6500,6500,0.352032878,0.352033,1560.223588
6000,6000,6000,0.231552043,0.231552,1865.671295
5500,5500,5500,0.172774974,0.172775,1925.915497
5000,5000,5000,0.126700896,0.126701,1973.151003
4500,4500,4500,0.098045338,0.098045,1858.833920
4000,4000,4000,0.073100118,0.073100,1751.023165
3500,3500,3500,0.056266984,0.056267,1523.984296
3000,3000,3000,0.042408245,0.042408,1273.337296
2500,2500,2500,0.030653691,0.030654,1019.453090
2000,2000,2000,0.020602079,0.020602,776.620651
30000,30000,30000,23.239479212,23.239479,2323.632105
29500,29500,29500,18.572386125,18.572386,2764.574765
29000,29000,29000,26.163221789,26.163222,1864.372836
28500,28500,28500,21.272823086,21.272823,2176.403659
28000,28000,28000,20.191378577,20.191379,2174.393384
27500,27500,27500,19.604879796,19.604880,2121.601889
27000,27000,27000,16.579855995,16.579856,2374.327015
26500,26500,26500,19.412439397,19.412439,1917.288664
26000,26000,26000,12.926325684,12.926326,2719.411599
25500,25500,25500,16.495197112,16.495197,2010.448846
25000,25000,25000,12.575186836,12.575187,2485.052541
24500,24500,24500,14.339596785,14.339597,2051.121133
24000,24000,24000,11.391917022,11.391917,2426.983970
23500,23500,23500,12.906848706,12.906849,2011.005985
23000,23000,23000,13.911143657,13.911144,1749.245109
22500,22500,22500,12.926593037,12.926593,1762.355319
22000,22000,22000,12.155585068,12.155585,1751.951871
21500,21500,21500,11.884730313,11.884730,1672.461173
21000,21000,21000,11.237144747,11.237145,1648.283476
20500,20500,20500,6.768797639,6.768798,2545.540718
20000,20000,20000,6.769170377,6.769170,2363.657451
19500,19500,19500,6.409364445,6.409364,2313.762952
19000,19000,19000,5.991975548,5.991976,2289.395190
18500,18500,18500,5.514933060,5.514933,2296.174743
18000,18000,18000,5.472515415,5.472515,2131.378190
17500,17500,17500,4.733961389,4.733961,2264.224213
17000,17000,17000,4.773928699,4.773929,2058.262831
16500,16500,16500,4.310663631,4.310664,2084.191848
16000,16000,16000,3.981194890,3.981195,2057.673695
15500,15500,15500,3.512848020,3.512848,2120.145807
15000,15000,15000,3.282572872,3.282573,2056.313832
14500,14500,14500,2.916267697,2.916268,2090.771710
14000,14000,14000,2.787496018,2.787496,1968.792050
13500,13500,13500,2.388063835,2.388064,2060.560496
13000,13000,13000,2.360374390,2.360374,1861.569088
12500,12500,12500,2.011424652,2.011425,1942.031483
12000,12000,12000,1.740506769,1.740507,1985.628589
11500,11500,11500,1.562051284,1.562051,1947.279216
11000,11000,11000,1.446591696,1.446592,1840.187530
10500,10500,10500,1.303121075,1.303121,1776.695999
10000,10000,10000,1.086457890,1.086458,1840.844471
9500,9500,9500,0.949235354,0.949235,1806.453998
9000,9000,9000,0.849437319,0.849437,1716.430356
8500,8500,8500,0.729515077,0.729515,1683.652660
8000,8000,8000,0.605634129,0.605634,1690.789787
7500,7500,7500,0.528372998,0.528373,1596.883268
7000,7000,7000,0.424522758,0.424523,1615.932213
6500,6500,6500,0.322098519,0.322099,1705.223612
6000,6000,6000,0.237606797,0.237607,1818.129807
5500,5500,5500,0.174077390,0.174077,1911.506141
5000,5000,5000,0.130038040,0.130038,1922.514366
4500,4500,4500,0.098207377,0.098207,1855.766904
4000,4000,4000,0.075163762,0.075164,1702.948290
3500,3500,3500,0.055572966,0.055573,1543.016437
3000,3000,3000,0.043042539,0.043043,1254.572831
2500,2500,2500,0.030087299,0.030087,1038.644247
2000,2000,2000,0.020528505,0.020529,779.404053
