m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,27.027875064,27.027875,1997.937310
29500,29500,29500,18.861072674,18.861073,2722.260334
29000,29000,29000,26.315395332,26.315395,1853.591762
28500,28500,28500,24.364440368,24.364440,1900.238598
28000,28000,28000,20.590282927,20.590283,2132.267932
27500,27500,27500,17.518746807,17.518747,2374.242316
27000,27000,27000,16.782881285,16.782881,2345.604389
26500,26500,26500,18.528383551,18.528384,2008.769405
26000,26000,26000,18.847775742,18.847776,1865.047658
25500,25500,25500,14.478528773,14.478529,2290.477888
25000,25000,25000,17.801655436,17.801655,1755.454717
24500,24500,24500,16.861781950,16.861782,1744.314455
24000,24000,24000,11.477808295,11.477808,2408.822250
23500,23500,23500,14.951673231,14.951673,1735.976275
23000,23000,23000,14.375356347,14.375356,1692.758038
22500,22500,22500,13.528824394,13.528824,1683.904627
22000,22000,22000,9.451672494,9.451672,2253.146204
21500,21500,21500,8.477099846,8.477100,2344.758274
21000,21000,21000,10.913184892,10.913185,1697.213067
20500,20500,20500,8.536160291,8.536160,2018.501225
20000,20000,20000,7.223829091,7.223829,2214.891825
30000,30000,30000,28.377601312,28.377601,1902.909249
29500,29500,29500,22.122422948,22.122423,2320.937002
29000,29000,29000,25.507382388,25.507382,1912.309121
28500,28500,28500,25.530287728,25.530288,1813.463698
28000,28000,28000,20.576830504,20.576831,2133.661936
27500,27500,27500,18.057816778,18.057817,2303.365380
27000,27000,27000,18.439500864,18.439501,2134.873405
26500,26500,26500,18.217719369,18.217719,2043.024664
26000,26000,26000,13.741290754,13.741291,2558.129409
25500,25500,25500,15.337781173,15.337781,2162.160851
25000,25000,25000,16.131275694,16.131276,1937.230545
24500,24500,24500,16.485940956,16.485941,1784.080756
24000,24000,24000,15.942293248,15.942293,1734.254889
23500,23500,23500,9.556415048,9.556415,2716.055118
23000,23000,23000,14.099915528,14.099916,1725.825942
22500,22500,22500,12.825213414,12.825213,1776.286231
22000,22000,22000,12.956676454,12.956676,1643.631380
21500,21500,21500,8.777381563,8.777382,2264.542091
21000,21000,21000,11.385186225,11.385186,1626.850860
20500,20500,20500,8.624041517,8.624042,1997.932172
20000,20000,20000,7.195912338,7.195912,2223.484563
30000,30000,30000,28.511869253,28.511869,1893.948079
29500,29500,29500,26.751006631,26.751007,1919.357679
29000,29000,29000,26.294776572,26.294777,1855.045236
28500,28500,28500,21.350587027,21.350587,2168.476677
28000,28000,28000,15.593855684,15.593856,2815.467893
27500,27500,27500,21.577154297,21.577154,1927.675421
27000,27000,27000,17.601910563,17.601911,2236.461767
26500,26500,26500,20.983425194,20.983425,1773.745213
26000,26000,26000,19.013783437,19.013783,1848.764088
25500,25500,25500,17.240320635,17.240321,1923.557613
25000,25000,25000,15.666759571,15.666760,1994.669023
24500,24500,24500,16.209320363,16.209320,1814.527034
24000,24000,24000,15.431570075,15.431570,1791.651780
23500,23500,23500,14.988719866,14.988720,1731.685576
23000,23000,23000,14.308946545,14.308947,1700.614362
22500,22500,22500,13.463768670,13.463769,1692.041104
22000,22000,22000,12.518825134,12.518825,1701.118098
21500,21500,21500,8.477766756,8.477767,2344.573821
21000,21000,21000,10.792241870,10.792242,1716.232848
20500,20500,20500,8.486859441,8.486859,2030.226861
20000,20000,20000,6.958853817,6.958854,2299.229215
30000,30000,30000,28.692743008,28.692743,1882.008980
29500,29500,29500,22.620274913,22.620275,2269.855260
29000,29000,29000,21.263809643,21.263810,2293.944539
28500,28500,28500,21.575356276,21.575356,2145.885769
28000,28000,28000,20.198703734,20.198704,2173.604830
27500,27500,27500,15.439335165,15.439335,2694.011728
27000,27000,27000,19.467854712,19.467855,2022.102619
26500,26500,26500,17.907654122,17.907654,2078.398977
26000,26000,26000,18.950911399,18.950911,1854.897596
25500,25500,25500,17.249913672,17.249914,1922.487882
25000,25000,25000,16.343492300,16.343492,1912.076038
24500,24500,24500,16.932398194,16.932398,1737.039825
24000,24000,24000,15.790671725,15.790672,1750.907148
23500,23500,23500,15.061058750,15.061059,1723.368219
23000,23000,23000,10.485280651,10.485281,2320.777174
22500,22500,22500,13.563023644,13.563024,1679.658651
22000,22000,22000,9.355769472,9.355769,2276.242490
21500,21500,21500,8.808237414,8.808237,2256.609247
21000,21000,21000,10.750990376,10.750990,1722.818024
20500,20500,20500,8.470605056,8.470605,2034.122697
20000,20000,20000,7.239897532,7.239898,2209.976029
30000,30000,30000,23.348408431,23.348408,2312.791476
29500,29500,29500,22.953661308,22.953661,2236.887149
29000,29000,29000,26.172324854,26.172325,1863.724383
28500,28500,28500,17.588303998,17.588304,2632.331691
28000,28000,28000,15.986807721,15.986808,2746.264343
27500,27500,27500,18.313675601,18.313676,2271.185256
27000,27000,27000,17.419823856,17.419824,2259.839154
26500,26500,26500,20.557433692,20.557434,1810.500793
26000,26000,26000,18.853504097,18.853504,1864.480991
25500,25500,25500,17.212345103,17.212345,1926.684005
25000,25000,25000,15.547362938,15.547363,2009.987168
24500,24500,24500,16.658590493,16.658590,1765.590553
24000,24000,24000,15.397322079,15.397322,1795.636920
23500,23500,23500,15.009953084,15.009953,1729.235918
23000,23000,23000,14.172108402,14.172108,1717.034566
22500,22500,22500,13.455435362,13.455435,1693.089030
22000,22000,22000,9.439040341,9.439040,2256.161562
21500,21500,21500,8.787387835,8.787388,2261.963438
21000,21000,21000,11.341113378,11.341113,1633.172986
20500,20500,20500,8.501614825,8.501615,2026.703203
20000,20000,20000,7.138279731,7.138280,2241.436397
