m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,19.808023093,19.808023,2726.168066
30000,30000,30000,19.964143360,19.964143,2704.849340
30000,30000,30000,20.471476261,20.471476,2637.816605
30000,30000,30000,20.033861380,20.033861,2695.436440
30000,30000,30000,21.022925863,21.022926,2568.624384
30000,30000,30000,19.548066827,19.548067,2762.421496
30000,30000,30000,19.785093190,19.785093,2729.327554
30000,30000,30000,20.079908373,20.079908,2689.255299
30000,30000,30000,20.194143467,20.194143,2674.042605
30000,30000,30000,21.038778474,21.038778,2566.688939
30000,30000,30000,20.340996759,20.340997,2654.737162
30000,30000,30000,21.306648755,21.306649,2534.420153
30000,30000,30000,20.559554283,20.559554,2626.516084
30000,30000,30000,20.822144762,20.822145,2593.392785
30000,30000,30000,20.142766501,20.142767,2680.863128
30000,30000,30000,20.063220950,20.063221,2691.492066
30000,30000,30000,20.572254142,20.572254,2624.894658
30000,30000,30000,21.288350809,21.288351,2536.598560
30000,30000,30000,21.393681873,21.393682,2524.109703
30000,30000,30000,21.711248955,21.711249,2487.189941
30000,30000,30000,21.444916172,21.444916,2518.079323
30000,30000,30000,22.017014971,22.017015,2452.648557
30000,30000,30000,22.039407525,22.039408,2450.156609
30000,30000,30000,23.023961940,23.023962,2345.382612
30000,30000,30000,23.400502363,23.400502,2307.642766
30000,30000,30000,22.707979741,22.707980,2378.018680
30000,30000,30000,23.584409483,23.584409,2289.648169
30000,30000,30000,23.321799837,23.321800,2315.430215
30000,30000,30000,23.243798098,23.243798,2323.200355
30000,30000,30000,23.122825266,23.122825,2335.354758
30000,30000,30000,23.831915046,23.831915,2265.869104
30000,30000,30000,24.602302492,24.602302,2194.916513
30000,30000,30000,24.229081575,24.229082,2228.726658
30000,30000,30000,25.442720153,25.442720,2122.414572
30000,30000,30000,25.460064303,25.460064,2120.968720
30000,30000,30000,26.322830067,26.322830,2051.451150
30000,30000,30000,26.607745161,26.607745,2029.484260
30000,30000,30000,27.087340282,27.087340,1993.551210
30000,30000,30000,27.406767367,27.406767,1970.316283
30000,30000,30000,27.877136406,27.877136,1937.071269
30000,30000,30000,28.884275836,28.884276,1869.529301
30000,30000,30000,30.482532925,30.482533,1771.506329
30000,30000,30000,31.121888776,31.121889,1735.113199
30000,30000,30000,32.399653036,32.399653,1666.684515
30000,30000,30000,33.462401718,33.462402,1613.751471
30000,30000,30000,35.137970227,35.137970,1536.799071
30000,30000,30000,37.174867319,37.174867,1452.594290
30000,30000,30000,38.934272957,38.934273,1386.952828
30000,30000,30000,40.755569846,40.755570,1324.972273
30000,30000,30000,43.399224139,43.399224,1244.261875
30000,30000,30000,45.912004545,45.912005,1176.162978
30000,30000,30000,49.112780872,49.112781,1099.510128
30000,30000,30000,52.149597959,52.149598,1035.482575
30000,30000,30000,56.569138424,56.569138,954.584098
