m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,19.922313193,19.922313,2710.528616
30000,30000,30000,13.891610427,13.891610,3887.238293
30000,30000,30000,15.640585418,15.640585,3452.556190
30000,30000,30000,14.918337375,14.918337,3619.706315
30000,30000,30000,15.108909995,15.108910,3574.050015
30000,30000,30000,14.973437084,14.973437,3606.386409
30000,30000,30000,15.421470978,15.421471,3501.611492
30000,30000,30000,14.878428760,14.878429,3629.415503
30000,30000,30000,14.850321240,14.850321,3636.284975
30000,30000,30000,15.028731730,15.028732,3593.117568
30000,30000,30000,15.334996791,15.334997,3521.357111
30000,30000,30000,13.199748724,13.199749,4090.986967
30000,30000,30000,14.832087179,14.832087,3640.755300
30000,30000,30000,15.264074739,15.264075,3537.718527
30000,30000,30000,14.916510824,14.916511,3620.149554
30000,30000,30000,14.942524208,14.942524,3613.847249
30000,30000,30000,18.129156850,18.129157,2978.627216
30000,30000,30000,15.006709542,15.006710,3598.390430
30000,30000,30000,19.722234296,19.722234,2738.026493
30000,30000,30000,14.791570511,14.791571,3650.727958
30000,30000,30000,19.895021712,19.895022,2714.246849
30000,30000,30000,14.875663167,14.875663,3630.090262
30000,30000,30000,18.156187333,18.156187,2974.192710
30000,30000,30000,19.604836577,19.604837,2754.422348
30000,30000,30000,15.602013270,15.602013,3461.091788
30000,30000,30000,18.121784801,18.121785,2979.838939
30000,30000,30000,19.281357458,19.281357,2800.632690
30000,30000,30000,18.562648247,18.562648,2909.067676
30000,30000,30000,15.308413582,15.308414,3527.471982
30000,30000,30000,15.776987946,15.776988,3422.706551
30000,30000,30000,18.974078767,18.974079,2845.987975
30000,30000,30000,16.136448759,16.136449,3346.461220
30000,30000,30000,18.948297444,18.948297,2849.860266
30000,30000,30000,15.557365652,15.557366,3471.024671
30000,30000,30000,18.580340499,18.580340,2906.297654
30000,30000,30000,15.701306415,15.701306,3439.204266
30000,30000,30000,25.029219007,25.029219,2157.478425
30000,30000,30000,24.880369080,24.880369,2170.385810
30000,30000,30000,24.440702918,24.440703,2209.429090
30000,30000,30000,17.982769930,17.982770,3002.874430
30000,30000,30000,24.396269088,24.396269,2213.453205
30000,30000,30000,24.716763592,24.716764,2184.752053
30000,30000,30000,24.317309016,24.317309,2220.640449
