m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,18.021482813,18.021483,2996.423799
30000,30000,30000,18.571624059,18.571624,2907.661701
30000,30000,30000,20.025985048,20.025985,2696.496570
30000,30000,30000,21.492319051,21.492319,2512.525515
30000,30000,30000,22.137435832,22.137436,2439.306901
30000,30000,30000,23.435864223,23.435864,2304.160815
30000,30000,30000,23.822660124,23.822660,2266.749377
30000,30000,30000,25.460854672,25.460855,2120.902880
30000,30000,30000,27.239496466,27.239496,1982.415500
30000,30000,30000,28.751507751,28.751508,1878.162372
30000,30000,30000,30.856699985,30.856700,1750.025117
30000,30000,30000,33.107996272,33.107996,1631.025918
30000,30000,30000,33.642148046,33.642148,1605.129373
30000,30000,30000,36.738717496,36.738717,1469.839006
30000,30000,30000,40.459847801,40.459848,1334.656528
30000,30000,30000,45.150102131,45.150102,1196.010584
30000,30000,30000,50.672622744,50.672623,1065.664200
30000,30000,30000,57.299356419,57.299356,942.418962
30000,30000,30000,67.364472679,67.364473,801.609481
30000,30000,30000,80.803693997,80.803694,668.286279
30000,30000,30000,101.230116731,101.230117,533.438089
30000,30000,30000,136.437852867,136.437853,395.784593
30000,30000,30000,206.563595657,206.563596,261.420701
30000,30000,30000,403.002308247,403.002308,133.994270
30000,30000,30000,18.164501939,18.164502,2972.831305
30000,30000,30000,19.198384216,19.198384,2812.736707
30000,30000,30000,20.826688928,20.826689,2592.826934
30000,30000,30000,21.141204852,21.141205,2554.253666
30000,30000,30000,21.896912488,21.896912,2466.101101
30000,30000,30000,23.211127917,23.211128,2326.470312
30000,30000,30000,24.096641316,24.096641,2240.976213
30000,30000,30000,25.762639396,25.762639,2096.058528
30000,30000,30000,27.391607041,27.391607,1971.406786
30000,30000,30000,28.472186868,28.472187,1896.587721
30000,30000,30000,30.757264969,30.757265,1755.682765
30000,30000,30000,33.304860565,33.304861,1621.384960
30000,30000,30000,33.563077046,33.563077,1608.910885
30000,30000,30000,36.613120777,36.613121,1474.881104
30000,30000,30000,40.332504051,40.332504,1338.870503
30000,30000,30000,44.710454915,44.710455,1207.771205
30000,30000,30000,50.587033130,50.587033,1067.467227
30000,30000,30000,57.713237692,57.713238,935.660555
30000,30000,30000,67.426552432,67.426552,800.871438
30000,30000,30000,81.403688883,81.403689,663.360601
30000,30000,30000,101.339883493,101.339883,532.860293
30000,30000,30000,137.056047117,137.056047,393.999398
30000,30000,30000,205.749689093,205.749689,262.454832
30000,30000,30000,403.281980845,403.281981,133.901346
30000,30000,30000,18.155280066,18.155280,2974.341338
30000,30000,30000,19.105274609,19.105275,2826.444587
30000,30000,30000,20.241277612,20.241278,2667.815789
30000,30000,30000,21.014839324,21.014839,2569.612794
30000,30000,30000,21.878332253,21.878332,2468.195444
30000,30000,30000,23.043135473,23.043135,2343.431087
30000,30000,30000,24.627680000,24.627680,2192.654769
30000,30000,30000,24.989325657,24.989326,2160.922657
30000,30000,30000,26.852083730,26.852084,2011.017117
30000,30000,30000,28.665136953,28.665137,1883.821455
30000,30000,30000,31.095250063,31.095250,1736.599638
30000,30000,30000,33.484366474,33.484366,1612.692898
30000,30000,30000,33.749510621,33.749511,1600.023201
30000,30000,30000,36.726959930,36.726960,1470.309552
30000,30000,30000,40.180086283,40.180086,1343.949329
30000,30000,30000,44.984495080,44.984495,1200.413607
30000,30000,30000,50.709686770,50.709687,1064.885300
30000,30000,30000,57.809568446,57.809568,934.101420
30000,30000,30000,67.746881919,67.746882,797.084655
30000,30000,30000,81.205165561,81.205166,664.982328
30000,30000,30000,101.080384550,101.080385,534.228280
30000,30000,30000,135.770242454,135.770242,397.730747
30000,30000,30000,205.376278741,205.376279,262.932021
30000,30000,30000,403.565250941,403.565251,133.807358
30000,30000,30000,17.968701078,17.968701,3005.225573
30000,30000,30000,18.588081760,18.588082,2905.087286
30000,30000,30000,20.248812127,20.248812,2666.823104
30000,30000,30000,21.215620627,21.215621,2545.294382
30000,30000,30000,22.224118405,22.224118,2429.792670
30000,30000,30000,23.637581542,23.637582,2284.497672
30000,30000,30000,24.759671241,24.759671,2180.965954
30000,30000,30000,25.674308504,25.674309,2103.269889
30000,30000,30000,27.597984338,27.597984,1956.664637
30000,30000,30000,28.935229733,28.935230,1866.237127
30000,30000,30000,30.835538170,30.835538,1751.226124
30000,30000,30000,33.308302547,33.308303,1621.217410
30000,30000,30000,33.734824429,33.734824,1600.719758
30000,30000,30000,36.929422273,36.929422,1462.248708
30000,30000,30000,40.238858732,40.238859,1341.986371
30000,30000,30000,44.720718298,44.720718,1207.494022
30000,30000,30000,50.479517396,50.479517,1069.740813
30000,30000,30000,57.763303926,57.763304,934.849573
30000,30000,30000,67.443356988,67.443357,800.671888
30000,30000,30000,80.437150866,80.437151,671.331585
30000,30000,30000,101.326299958,101.326300,532.931727
30000,30000,30000,135.601097577,135.601098,398.226865
30000,30000,30000,206.408965441,206.408965,261.616543
30000,30000,30000,402.810162048,402.810162,134.058187
30000,30000,30000,18.089859544,18.089860,2985.097804
30000,30000,30000,19.232263555,19.232264,2807.781822
30000,30000,30000,20.035503264,20.035503,2695.215553
30000,30000,30000,20.761940497,20.761940,2600.912955
