m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,17.971596011,17.971596,3004.741480
29500,29500,29500,17.370238820,17.370239,2955.903516
29000,29000,29000,16.372827694,16.372828,2979.204381
28500,28500,28500,15.431478647,15.431479,3000.247161
28000,28000,28000,14.487552957,14.487553,3030.463470
27500,27500,27500,13.610806184,13.610806,3055.935808
27000,27000,27000,13.168412346,13.168412,2989.426437
26500,26500,26500,12.402146842,12.402147,3001.032843
26000,26000,26000,11.617732791,11.617733,3025.719444
25500,25500,25500,11.049622594,11.049623,3001.256352
25000,25000,25000,10.355165768,10.355166,3017.817455
24500,24500,24500,9.799955429,9.799955,3001.263650
24000,24000,24000,8.970887362,8.970887,3081.969362
23500,23500,23500,8.694441934,8.694442,2985.326741
23000,23000,23000,7.765956752,7.765957,3133.419458
22500,22500,22500,7.356318116,7.356318,3096.827739
22000,22000,22000,7.237764645,7.237765,2942.344915
21500,21500,21500,6.799636207,6.799636,2923.207859
21000,21000,21000,6.277173615,6.277174,2950.691049
20500,20500,20500,5.722470238,5.722470,3010.981147
20000,20000,20000,5.231483193,5.231483,3058.406079
19500,19500,19500,4.784272921,4.784273,3099.687297
19000,19000,19000,4.454571977,4.454572,3079.532685
18500,18500,18500,4.128223175,4.128223,3067.481932
18000,18000,18000,3.750788718,3.750789,3109.745943
17500,17500,17500,3.462918893,3.462919,3095.293402
17000,17000,17000,3.177765354,3.177765,3092.109991
16500,16500,16500,2.996448936,2.996449,2998.299051
16000,16000,16000,2.614637493,2.614637,3133.130318
15500,15500,15500,2.413662457,2.413662,3085.663440
15000,15000,15000,2.202356784,2.202357,3064.898498
14500,14500,14500,1.942634479,1.942634,3138.650151
14000,14000,14000,1.794054649,1.794055,3058.992658
13500,13500,13500,1.602790768,1.602791,3070.113765
13000,13000,13000,1.451781674,1.451782,3026.625889
12500,12500,12500,1.266374876,1.266375,3084.592149
12000,12000,12000,1.152863217,1.152863,2997.753722
11500,11500,11500,0.990069601,0.990070,3072.258755
11000,11000,11000,0.897731146,0.897731,2965.253029
10500,10500,10500,0.766386401,0.766386,3020.995671
10000,10000,10000,0.668855832,0.668856,2990.180999
9500,9500,9500,0.571495132,0.571495,3000.463003
9000,9000,9000,0.491837188,0.491837,2964.395608
