m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,41.468670705,41.468671,1302.187871
29500,29500,29500,33.913353547,33.913354,1513.998016
29000,29000,29000,35.249782842,35.249783,1383.781574
28500,28500,28500,32.438710759,32.438711,1427.253085
28000,28000,28000,30.850731031,30.850731,1423.110524
27500,27500,27500,35.308915746,35.308916,1177.995674
27000,27000,27000,28.657193199,28.657193,1373.686520
26500,26500,26500,29.498524863,29.498525,1261.732584
26000,26000,26000,28.325176711,28.325177,1241.016088
25500,25500,25500,31.389085299,31.389085,1056.505778
20000,20000,20000,12.035853092,12.035853,1329.361523
19500,19500,19500,14.599083648,14.599084,1015.800057
19000,19000,19000,14.737193892,14.737194,930.842065
18500,18500,18500,13.427276112,13.427276,943.098950
18000,18000,18000,12.648339315,12.648339,922.176399
17500,17500,17500,10.487763313,10.487763,1022.024399
17000,17000,17000,10.058778275,10.058778,976.858196
16500,16500,16500,8.254984989,8.254985,1088.342379
16000,16000,16000,6.743229266,6.743229,1214.848209
15500,15500,15500,6.987992582,6.987993,1065.792488
15000,15000,15000,7.541974181,7.541974,894.991131
14500,14500,14500,6.855171465,6.855171,889.438000
14000,14000,14000,5.975660358,5.975660,918.392223
13500,13500,13500,5.449073817,5.449074,903.043373
13000,13000,13000,4.520276018,4.520276,972.064534
12500,12500,12500,4.103078406,4.103078,952.029090
12000,12000,12000,3.720129827,3.720130,928.999836
11500,11500,11500,3.024043604,3.024044,1005.855205
11000,11000,11000,3.650014599,3.650015,729.312151
10500,10500,10500,2.773589284,2.773589,834.748682
10000,10000,10000,2.398078671,2.398079,834.000996
9500,9500,9500,2.103197112,2.103197,815.306369
9000,9000,9000,1.795221539,1.795222,812.156031
8500,8500,8500,1.525285090,1.525285,805.259297
8000,8000,8000,1.285779619,1.285780,796.403975
7500,7500,7500,1.083408281,1.083408,778.792275
7000,7000,7000,0.885198346,0.885198,774.967557
6500,6500,6500,0.726281683,0.726282,756.249280
6000,6000,6000,0.597285330,0.597285,723.272410
5500,5500,5500,0.456013028,0.456013,729.694065
5000,5000,5000,0.327905451,0.327905,762.414895
4500,4500,4500,0.223820869,0.223821,814.267234
4000,4000,4000,0.131179518,0.131180,975.762085
3500,3500,3500,0.081956083,0.081956,1046.292073
3000,3000,3000,0.054781206,0.054781,985.739525
2500,2500,2500,0.038364481,0.038364,814.555526
2000,2000,2000,0.024542000,0.024542,651.943607
