m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,77.671190281,77.671190,695.238477
29500,29500,29500,44.784267547,44.784268,1146.490784
29000,29000,29000,41.286040036,41.286040,1181.464727
28500,28500,28500,39.286561571,39.286562,1178.475493
28000,28000,28000,41.829668013,41.829668,1049.589970
27500,27500,27500,37.263422103,37.263422,1116.208541
27000,27000,27000,41.396856620,41.396857,950.941767
26500,26500,26500,36.136793052,36.136793,1029.954428
26000,26000,26000,40.349061867,40.349062,871.197455
25500,25500,25500,37.700499674,37.700500,879.636882
25000,25000,25000,39.871705220,39.871705,783.763820
24500,24500,24500,36.623667616,36.623668,803.094062
24000,24000,24000,42.304972893,42.304973,653.540189
23500,23500,23500,37.253414499,37.253414,696.734792
23000,23000,23000,35.931114630,35.931115,677.240332
22500,22500,22500,38.137121771,38.137122,597.351057
22000,22000,22000,22.296093924,22.296094,955.144882
21500,21500,21500,23.534017496,23.534017,844.596551
21000,21000,21000,20.763256482,20.763256,892.056601
20500,20500,20500,18.220220045,18.220220,945.666406
20000,20000,20000,19.628458161,19.628458,815.142986
19500,19500,19500,19.870456258,19.870456,746.321564
19000,19000,19000,21.012235242,21.012235,652.857720
18500,18500,18500,20.755271471,20.755271,610.122109
18000,18000,18000,18.768688261,18.768688,621.460586
17500,17500,17500,16.137695837,16.137696,664.205727
17000,17000,17000,15.718200759,15.718201,625.135163
16500,16500,16500,11.059638282,11.059638,812.345736
16000,16000,16000,10.229719556,10.229720,800.803967
15500,15500,15500,8.512871939,8.512872,874.881010
15000,15000,15000,11.129172013,11.129172,606.514123
14500,14500,14500,10.150715602,10.150716,600.671937
14000,14000,14000,9.345047783,9.345048,587.262915
13500,13500,13500,8.735164354,8.735164,563.326550
13000,13000,13000,6.461463187,6.461463,680.031732
12500,12500,12500,4.778740906,4.778741,817.422429
12000,12000,12000,5.211893595,5.211894,663.098725
11500,11500,11500,4.497183685,4.497184,676.367748
11000,11000,11000,3.487260557,3.487261,763.349901
10500,10500,10500,3.124580390,3.124580,740.979495
10000,10000,10000,3.293799323,3.293799,607.201534
9500,9500,9500,2.821523188,2.821523,607.739113
9000,9000,9000,2.407914179,2.407914,605.503308
8500,8500,8500,2.160152962,2.160153,568.593994
8000,8000,8000,1.786117936,1.786118,573.310407
7500,7500,7500,1.490548522,1.490549,566.066778
7000,7000,7000,1.220521847,1.220522,562.054667
6500,6500,6500,0.979074285,0.979074,560.989098
6000,6000,6000,0.768471899,0.768472,562.154583
5500,5500,5500,0.584751845,0.584752,569.044806
5000,5000,5000,0.429803571,0.429804,581.661058
4500,4500,4500,0.287935387,0.287935,632.954504
4000,4000,4000,0.186305075,0.186305,687.045160
3500,3500,3500,0.115239764,0.115240,744.100795
3000,3000,3000,0.075674029,0.075674,713.586956
2500,2500,2500,0.055161929,0.055162,566.513909
2000,2000,2000,0.037708362,0.037708,424.309070
