m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,37.491134085,37.491134,1440.340532
29500,29500,29500,37.464271614,37.464272,1370.499086
29000,29000,29000,40.089916088,40.089916,1216.714944
28500,28500,28500,36.157444027,36.157444,1280.462468
28000,28000,28000,33.242503798,33.242504,1320.718808
27500,27500,27500,41.215269839,41.215270,1009.183008
27000,27000,27000,32.174070785,32.174071,1223.531839
26500,26500,26500,32.129013374,32.129013,1158.431153
26000,26000,26000,31.679694736,31.679695,1109.606652
25500,25500,25500,27.700893055,27.700893,1197.172594
25000,25000,25000,34.038292255,34.038292,918.083662
24500,24500,24500,31.757149523,31.757150,926.161524
24000,24000,24000,31.285147263,31.285147,883.742044
23500,23500,23500,28.883574538,28.883575,898.633580
23000,23000,23000,27.290946427,27.290946,891.651012
22500,22500,22500,26.088075477,26.088075,873.243794
22000,22000,22000,18.789073242,18.789073,1133.424716
21500,21500,21500,18.622574565,18.622575,1067.347049
21000,21000,21000,15.499186151,15.499186,1195.030489
20500,20500,20500,14.490137095,14.490137,1189.101931
20000,20000,20000,15.591658102,15.591658,1026.189767
19500,19500,19500,15.100355913,15.100356,982.079501
19000,19000,19000,14.053068910,14.053069,976.156887
18500,18500,18500,14.508377720,14.508378,872.823292
18000,18000,18000,13.668695818,13.668696,853.336716
17500,17500,17500,12.593598597,12.593599,851.126858
17000,17000,17000,11.576552256,11.576552,848.784663
16500,16500,16500,9.689244462,9.689244,927.239480
16000,16000,16000,7.820034754,7.820035,1047.565677
15500,15500,15500,7.163036948,7.163037,1039.747534
15000,15000,15000,8.783096531,8.783097,768.521668
14500,14500,14500,7.777205281,7.777205,783.989850
14000,14000,14000,6.339093401,6.339093,865.738940
13500,13500,13500,5.618083166,5.618083,875.877030
13000,13000,13000,3.927313395,3.927313,1118.831007
12500,12500,12500,4.092753148,4.092753,954.430883
12000,12000,12000,3.835378852,3.835379,901.084387
11500,11500,11500,3.022588289,3.022588,1006.339504
11000,11000,11000,3.025015021,3.025015,879.995630
10500,10500,10500,2.651606474,2.651606,873.149927
10000,10000,10000,2.378340636,2.378341,840.922435
9500,9500,9500,2.024578092,2.024578,846.966589
9000,9000,9000,1.749551832,1.749552,833.356276
8500,8500,8500,1.484725832,1.484726,827.257109
8000,8000,8000,1.298250729,1.298251,788.753649
7500,7500,7500,1.119630986,1.119631,753.596507
7000,7000,7000,0.928800668,0.928801,738.586893
6500,6500,6500,0.783025367,0.783025,701.445985
6000,6000,6000,0.622787729,0.622788,693.655286
5500,5500,5500,0.486638018,0.486638,683.773128
5000,5000,5000,0.360585690,0.360586,693.316476
4500,4500,4500,0.273445784,0.273446,666.494094
4000,4000,4000,0.163556528,0.163557,782.604043
3500,3500,3500,0.110006596,0.110007,779.498713
3000,3000,3000,0.074756130,0.074756,722.348789
2500,2500,2500,0.051131412,0.051131,611.170292
2000,2000,2000,0.032576916,0.032577,491.145325
30000,30000,30000,58.192459083,58.192459,927.955286
29500,29500,29500,41.190526146,41.190526,1246.518430
29000,29000,29000,35.452771713,35.452772,1375.858576
28500,28500,28500,32.043582139,32.043582,1444.852507
28000,28000,28000,35.195939205,35.195939,1247.416634
27500,27500,27500,32.529848377,32.529848,1278.633381
27000,27000,27000,30.656359233,30.656359,1284.105516
26500,26500,26500,28.393358853,28.393359,1310.843504
26000,26000,26000,35.926462508,35.926463,978.443118
25500,25500,25500,30.899549463,30.899549,1073.243804
25000,25000,25000,32.678624299,32.678624,956.282606
24500,24500,24500,30.752973814,30.752974,956.403442
