action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
i,10000,0,0,1,1,2.915500,0.078882,0.000000,0.000000
i,10000,0,0,2,1,2.210074,0.200455,0.037739,0.037739
i,10000,0,0,3,1,2.042120,0.158919,0.057860,0.028930
i,10000,0,0,4,1,1.664001,0.135855,0.054199,0.018066
i,10000,0,0,5,1,1.590120,0.133807,0.058682,0.014670
i,10000,0,0,6,1,1.499143,0.128766,0.066403,0.013281
i,10000,0,0,7,1,1.456167,0.132879,0.089292,0.014882
i,10000,0,0,8,1,1.421837,0.126422,0.071372,0.010196
i,10000,0,0,9,1,1.402253,0.126911,0.080458,0.010057
i,10000,0,0,10,1,1.402920,0.125699,0.094805,0.010534
i,10000,0,0,11,1,1.385231,0.130933,0.094247,0.009425
i,10000,0,0,12,1,1.379058,0.129932,0.107452,0.009768
i,10000,0,0,1,1,3.103410,0.268492,0.000000,0.000000
i,10000,0,0,2,1,2.159815,0.155921,0.038475,0.038475
i,10000,0,0,3,1,1.930164,0.144223,0.056922,0.028461
i,10000,0,0,4,1,1.708078,0.148622,0.074729,0.024910
i,10000,0,0,5,1,1.558162,0.131501,0.066150,0.016537
i,10000,0,0,6,1,1.512779,0.131288,0.092419,0.018484
i,10000,0,0,7,1,1.455617,0.127189,0.070333,0.011722
i,10000,0,0,8,1,4.851909,3.497994,0.135323,0.019332
i,10000,0,0,9,1,1.411382,0.136990,0.108144,0.013518
i,10000,0,0,10,1,133.857366,132.546812,0.082803,0.009200
i,10000,0,0,11,1,1.375301,0.133388,0.128128,0.012813
i,10000,0,0,12,1,1.365899,0.129275,0.114502,0.010409
i,10000,0,0,1,1,3.941884,1.066043,0.000000,0.000000
i,10000,0,0,2,1,2.162232,0.173109,0.046192,0.046192
i,10000,0,0,3,1,1.834104,0.142834,0.055624,0.027812
i,10000,0,0,4,1,1.662053,0.139741,0.061368,0.020456
i,10000,0,0,5,1,1.561396,0.131690,0.065279,0.016320
i,10000,0,0,6,1,1.499112,0.129786,0.064688,0.012938
i,10000,0,0,7,1,1.524127,0.129696,0.070698,0.011783
i,10000,0,0,8,1,1.433786,0.130799,0.085145,0.012164
i,10000,0,0,9,1,1.402170,0.133855,0.120162,0.015020
i,10000,0,0,10,1,1.381211,0.128682,0.097689,0.010854
i,10000,0,0,11,1,1.368767,0.123882,0.108058,0.010806
i,10000,0,0,12,1,1.378666,0.141066,0.150200,0.013655
i,10000,0,0,1,1,3.125991,0.292269,0.000000,0.000000
