action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,10000,100,100000,2,32,94.306900,0.499428,0.329732,0.329732
e1,10000,100,100000,2,31,94.651738,0.490356,0.320680,0.320680
e1,10000,100,100000,2,30,94.686217,0.462370,0.316914,0.316914
e1,10000,100,100000,2,29,94.714726,0.455414,0.311546,0.311546
e1,10000,100,100000,2,28,94.699456,0.453706,0.295512,0.295512
e1,10000,100,100000,2,27,94.799557,0.616192,0.467569,0.467569
e1,10000,100,100000,2,26,94.681797,0.476769,0.314966,0.314966
e1,10000,100,100000,2,25,94.775561,0.504446,0.354967,0.354967
e1,10000,100,100000,2,24,94.699047,0.480837,0.322177,0.322177
e1,10000,100,100000,2,23,94.602962,0.426169,0.276782,0.276782
e1,10000,100,100000,2,22,94.737535,0.440309,0.289643,0.289643
e1,10000,100,100000,2,21,94.774083,0.468471,0.317378,0.317378
e1,10000,100,100000,2,20,94.661752,0.425657,0.311233,0.311233
e1,10000,100,100000,2,19,94.589797,0.461929,0.291832,0.291832
e1,10000,100,100000,2,18,94.729360,0.487096,0.331205,0.331205
e1,10000,100,100000,2,17,94.528601,0.346799,0.243656,0.243656
e1,10000,100,100000,2,16,94.655291,0.471001,0.250988,0.250988
e1,10000,100,100000,2,15,94.654235,0.449751,0.270923,0.270923
e1,10000,100,100000,2,14,94.630643,0.467096,0.323056,0.323056
e1,10000,100,100000,2,13,94.591349,0.474849,0.311044,0.311044
e1,10000,100,100000,2,12,94.678153,0.448683,0.286461,0.286461
e1,10000,100,100000,2,11,94.594432,0.463736,0.296042,0.296042
e1,10000,100,100000,2,10,94.573584,0.467431,0.338327,0.338327
e1,10000,100,100000,2,9,94.422605,0.456581,0.299600,0.299600
e1,10000,100,100000,2,8,94.482301,0.431052,0.267718,0.267718
e1,10000,100,100000,2,7,94.544804,0.430192,0.298400,0.298400
e1,10000,100,100000,2,6,94.549569,0.422758,0.275156,0.275156
e1,10000,100,100000,2,5,94.625150,0.411900,0.297111,0.297111
e1,10000,100,100000,2,4,94.540796,0.447453,0.292132,0.292132
e1,10000,100,100000,2,3,94.691274,0.474741,0.331044,0.331044
e1,10000,100,100000,2,2,94.564071,0.425744,0.292329,0.292329
e1,10000,100,100000,2,1,94.631165,0.516655,0.352667,0.352667
e1,10000,100,100000,2,32,94.572966,0.451598,0.304666,0.304666
e1,10000,100,100000,2,31,94.626395,0.429970,0.288370,0.288370
e1,10000,100,100000,2,30,94.619761,0.411586,0.278502,0.278502
e1,10000,100,100000,2,29,94.574470,0.421097,0.275200,0.275200
e1,10000,100,100000,2,28,94.571112,0.394217,0.253702,0.253702
e1,10000,100,100000,2,27,94.636562,0.468557,0.306196,0.306196
e1,10000,100,100000,2,26,94.553005,0.436030,0.291376,0.291376
e1,10000,100,100000,2,25,94.700653,0.439728,0.294375,0.294375
e1,10000,100,100000,2,24,94.597747,0.407058,0.268780,0.268780
e1,10000,100,100000,2,23,94.610277,0.513629,0.329966,0.329966
e1,10000,100,100000,2,22,94.655048,0.427534,0.270436,0.270436
e1,10000,100,100000,2,21,94.703008,0.508395,0.338550,0.338550
e1,10000,100,100000,2,20,94.577908,0.431209,0.279206,0.279206
e1,10000,100,100000,2,19,94.512884,0.459969,0.290234,0.290234
e1,10000,100,100000,2,18,94.683922,0.512934,0.334716,0.334716
e1,10000,100,100000,2,17,94.367242,0.452451,0.297563,0.297563
e1,10000,100,100000,2,16,94.649569,0.497337,0.355855,0.355855
e1,10000,100,100000,2,15,94.656405,0.473818,0.299543,0.299543
e1,10000,100,100000,2,14,94.573786,0.428848,0.266179,0.266179
e1,10000,100,100000,2,13,94.591771,0.464338,0.317937,0.317937
e1,10000,100,100000,2,12,94.449689,0.488922,0.314520,0.314520
e1,10000,100,100000,2,11,94.159242,0.507031,0.329373,0.329373
e1,10000,100,100000,2,10,94.218324,0.633303,0.489810,0.489810
e1,10000,100,100000,2,9,93.966242,0.376203,0.248680,0.248680
e1,10000,100,100000,2,8,94.021041,0.429363,0.276860,0.276860
e1,10000,100,100000,2,7,93.968149,0.410576,0.264209,0.264209
e1,10000,100,100000,2,6,94.213141,0.493606,0.319859,0.319859
e1,10000,100,100000,2,5,94.186404,0.538964,0.371889,0.371889
e1,10000,100,100000,2,4,94.252549,0.468130,0.317686,0.317686
e1,10000,100,100000,2,3,94.274029,0.391888,0.254773,0.254773
e1,10000,100,100000,2,2,94.279053,0.422969,0.284507,0.284507
e1,10000,100,100000,2,1,94.271080,0.453797,0.299032,0.299032
e1,10000,100,100000,2,32,94.248917,0.448666,0.279683,0.279683
e1,10000,100,100000,2,31,94.204518,0.481992,0.344244,0.344244
e1,10000,100,100000,2,30,94.173139,0.485094,0.338520,0.338520
e1,10000,100,100000,2,29,94.126334,0.503823,0.336860,0.336860
e1,10000,100,100000,2,28,94.262845,0.498012,0.368179,0.368179
e1,10000,100,100000,2,27,94.256384,0.399413,0.254905,0.254905
e1,10000,100,100000,2,26,94.369187,0.458769,0.299657,0.299657
e1,10000,100,100000,2,25,94.490942,0.445217,0.299677,0.299677
e1,10000,100,100000,2,24,94.505617,0.415460,0.269716,0.269716
e1,10000,100,100000,2,23,94.442484,0.464377,0.302442,0.302442
e1,10000,100,100000,2,22,94.598131,0.495594,0.352287,0.352287
