action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e1,15000,100,100000,2,64,209.981582,0.634718,0.411649,0.411649
e1,15000,100,100000,2,63,209.890236,0.688209,0.436680,0.436680
e1,15000,100,100000,2,62,209.949686,0.616436,0.377850,0.377850
e1,15000,100,100000,2,61,209.601399,0.532293,0.304436,0.304436
e1,15000,100,100000,2,60,209.796798,0.520950,0.294469,0.294469
e1,15000,100,100000,2,59,209.896530,0.607302,0.380229,0.380229
e1,15000,100,100000,2,58,209.747307,0.750146,0.498538,0.498538
e1,15000,100,100000,2,57,209.710717,0.613879,0.389635,0.389635
e1,15000,100,100000,2,56,209.887564,0.623353,0.399936,0.399936
e1,15000,100,100000,2,55,209.880013,0.567772,0.340921,0.340921
e1,15000,100,100000,2,54,209.865150,0.721374,0.469952,0.469952
e1,15000,100,100000,2,53,210.012590,0.679086,0.437120,0.437120
e1,15000,100,100000,2,52,211.428876,0.661128,0.412963,0.412963
e1,15000,100,100000,2,51,209.661949,0.562946,0.337638,0.337638
e1,15000,100,100000,2,50,209.701093,0.667383,0.423382,0.423382
e1,15000,100,100000,2,49,209.877943,0.590270,0.376617,0.376617
e1,15000,100,100000,2,48,209.667615,0.628837,0.412213,0.412213
e1,15000,100,100000,2,47,209.938811,0.717150,0.491328,0.491328
e1,15000,100,100000,2,46,209.702620,0.634661,0.391512,0.391512
e1,15000,100,100000,2,45,209.662798,0.641483,0.396859,0.396859
e1,15000,100,100000,2,44,209.787920,0.568646,0.315207,0.315207
e1,15000,100,100000,2,43,209.604323,0.577634,0.340314,0.340314
e1,15000,100,100000,2,42,209.629517,0.575004,0.354047,0.354047
e1,15000,100,100000,2,41,209.814899,0.588029,0.342500,0.342500
e1,15000,100,100000,2,40,209.606576,0.601159,0.371907,0.371907
e1,15000,100,100000,2,39,209.851890,0.597824,0.374415,0.374415
e1,15000,100,100000,2,38,209.567531,0.561372,0.346800,0.346800
e1,15000,100,100000,2,37,209.808521,0.737330,0.525085,0.525085
e1,15000,100,100000,2,36,209.809980,0.600273,0.373079,0.373079
e1,15000,100,100000,2,35,209.546713,0.552505,0.320541,0.320541
e1,15000,100,100000,2,34,209.604233,0.610615,0.372305,0.372305
e1,15000,100,100000,2,33,209.807581,0.571227,0.355484,0.355484
e1,15000,100,100000,2,32,209.646932,0.577007,0.361702,0.361702
e1,15000,100,100000,2,31,209.909545,0.655564,0.442077,0.442077
