m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,50.408517701,50.408518,1071.247528
29500,29500,29500,36.499719526,36.499720,1406.716289
29000,29000,29000,48.730592688,48.730593,1000.972845
28500,28500,28500,47.733967314,47.733967,969.922523
28000,28000,28000,36.181361887,36.181362,1213.442439
27500,27500,27500,34.101258251,34.101258,1219.713058
27000,27000,27000,33.857829518,33.857830,1162.685280
26500,26500,26500,37.184526385,37.184526,1000.933819
26000,26000,26000,24.827850625,24.827851,1415.829366
25500,25500,25500,24.269755520,24.269756,1366.422912
25000,25000,25000,23.247977063,23.247977,1344.202978
24500,24500,24500,21.965850283,21.965850,1338.998929
24000,24000,24000,20.865696227,20.865696,1325.045649
23500,23500,23500,20.633661141,20.633661,1257.932357
23000,23000,23000,17.620382182,17.620382,1381.014313
22500,22500,22500,16.712889449,16.712889,1363.094638
22000,22000,22000,22.687002338,22.687002,938.687257
21500,21500,21500,20.360867914,20.360868,976.223120
21000,21000,21000,19.231036745,19.231037,963.130602
20500,20500,20500,17.834811459,17.834811,966.102167
20000,20000,20000,15.878702932,15.878703,1007.638978
19500,19500,19500,16.203034722,16.203035,915.245215
19000,19000,19000,12.580123064,12.580123,1090.450382
18500,18500,18500,12.021028576,12.021029,1053.424831
18000,18000,18000,10.075229811,10.075230,1157.690715
17500,17500,17500,10.575137773,10.575138,1013.580176
17000,17000,17000,10.397239249,10.397239,945.058565
16500,16500,16500,9.611429812,9.611430,934.746461
16000,16000,16000,7.585499877,7.585500,1079.955195
15500,15500,15500,8.377861609,8.377862,888.979831
15000,15000,15000,7.599458752,7.599459,888.221151
14500,14500,14500,6.840090381,6.840090,891.399040
14000,14000,14000,5.998701336,5.998701,914.864684
13500,13500,13500,5.467675417,5.467675,899.971126
13000,13000,13000,4.538288972,4.538289,968.206306
12500,12500,12500,4.155220577,4.155221,940.082464
12000,12000,12000,3.730322416,3.730322,926.461473
11500,11500,11500,3.373288035,3.373288,901.716654
11000,11000,11000,3.670924384,3.670924,725.157950
10500,10500,10500,2.723847431,2.723847,849.992541
10000,10000,10000,2.425843542,2.425844,824.455479
9500,9500,9500,2.139462903,2.139463,801.486204
9000,9000,9000,1.831423588,1.831424,796.102010
8500,8500,8500,1.550910270,1.550910,791.954263
8000,8000,8000,1.302669550,1.302670,786.078096
7500,7500,7500,1.088276086,1.088276,775.308776
7000,7000,7000,0.892024837,0.892025,769.036883
6500,6500,6500,0.726621415,0.726621,755.895696
6000,6000,6000,0.590839645,0.590840,731.162852
5500,5500,5500,0.453403429,0.453403,733.893876
5000,5000,5000,0.326433288,0.326433,765.853267
4500,4500,4500,0.218711681,0.218712,833.288826
4000,4000,4000,0.130960580,0.130961,977.393350
3500,3500,3500,0.092888151,0.092888,923.153266
3000,3000,3000,0.053448210,0.053448,1010.323826
2500,2500,2500,0.036738858,0.036739,850.598023
2000,2000,2000,0.025497356,0.025497,627.516045
