m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,55.607741038,55.607741,971.087820
29500,29500,29500,52.548165228,52.548165,977.098815
29000,29000,29000,50.170649154,50.170649,972.241755
28500,28500,28500,36.904996785,36.904997,1254.525241
28000,28000,28000,35.925765706,35.925766,1222.075553
27500,27500,27500,28.475199869,28.475200,1460.700897
27000,27000,27000,33.608812721,33.608813,1171.299930
26500,26500,26500,25.612964649,25.612965,1453.141037
26000,26000,26000,25.386988745,25.386989,1384.646299
25500,25500,25500,30.558562842,30.558563,1085.219556
25000,25000,25000,22.904202651,22.904203,1364.378428
24500,24500,24500,25.394016059,25.394016,1158.235465
24000,24000,24000,20.993224560,20.993225,1316.996344
23500,23500,23500,22.006983266,22.006983,1179.432441
23000,23000,23000,19.114086809,19.114087,1273.092471
22500,22500,22500,24.608220838,24.608221,925.757703
22000,22000,22000,28.677945797,28.677946,742.591542
21500,21500,21500,20.940007948,20.940008,949.223613
21000,21000,21000,19.170535063,19.170535,966.170216
20500,20500,20500,18.476203710,18.476204,932.564409
20000,20000,20000,13.807240155,13.807240,1158.812320
19500,19500,19500,13.880167363,13.880167,1068.412910
19000,19000,19000,12.812891003,12.812891,1070.640498
18500,18500,18500,10.873225613,10.873226,1164.626804
18000,18000,18000,12.528630198,12.528630,930.987651
17500,17500,17500,11.753722206,11.753722,911.945153
17000,17000,17000,10.899692537,10.899693,901.493319
16500,16500,16500,9.544706552,9.544707,941.280903
16000,16000,16000,7.584981657,7.584982,1080.028980
15500,15500,15500,6.975488070,6.975488,1067.703066
15000,15000,15000,7.590568668,7.590569,889.261437
14500,14500,14500,6.922416337,6.922416,880.797933
14000,14000,14000,6.067543617,6.067544,904.484639
13500,13500,13500,5.531419230,5.531419,889.599901
13000,13000,13000,4.997777033,4.997777,879.190882
12500,12500,12500,4.081487173,4.081487,957.065362
12000,12000,12000,3.148467826,3.148468,1097.676772
11500,11500,11500,2.887919324,2.887919,1053.266958
11000,11000,11000,2.916851963,2.916852,912.627735
10500,10500,10500,2.479286504,2.479287,933.837213
10000,10000,10000,2.391746241,2.391746,836.209112
9500,9500,9500,2.101935106,2.101935,815.795880
9000,9000,9000,1.774071605,1.774072,821.838305
8500,8500,8500,1.526324818,1.526325,804.710757
8000,8000,8000,1.395648338,1.395648,733.709182
7500,7500,7500,1.107744692,1.107745,761.682729
7000,7000,7000,0.912899033,0.912899,751.452215
6500,6500,6500,0.738149226,0.738149,744.090735
6000,6000,6000,0.612951342,0.612951,704.786776
5500,5500,5500,0.460236680,0.460237,722.997567
5000,5000,5000,0.323417184,0.323417,772.995414
4500,4500,4500,0.218612883,0.218613,833.665416
4000,4000,4000,0.130627897,0.130628,979.882574
3500,3500,3500,0.092497602,0.092498,927.051060
3000,3000,3000,0.062042245,0.062042,870.374694
2500,2500,2500,0.043269277,0.043269,722.221451
2000,2000,2000,0.030913105,0.030913,517.579842
30000,30000,30000,54.221273918,54.221274,995.919057
29500,29500,29500,52.788175851,52.788176,972.656266
29000,29000,29000,50.146485975,50.146486,972.710232
28500,28500,28500,32.536928460,32.536928,1422.944703
28000,28000,28000,44.926727652,44.926728,977.235652
27500,27500,27500,34.972235058,34.972235,1189.336339
27000,27000,27000,29.081769352,29.081769,1353.631532
26500,26500,26500,32.249817087,32.249817,1154.091817
26000,26000,26000,29.315550465,29.315550,1199.090566
25500,25500,25500,24.197088876,24.197089,1370.526437
25000,25000,25000,23.337411345,23.337411,1339.051686
24500,24500,24500,20.763488452,20.763488,1416.537017
24000,24000,24000,28.165056642,28.165057,981.641910
23500,23500,23500,18.966990941,18.966991,1368.469573
23000,23000,23000,26.107933428,26.107933,932.053855
22500,22500,22500,21.089663926,21.089664,1080.209248
22000,22000,22000,27.015095630,27.015096,788.300004
21500,21500,21500,21.136791820,21.136792,940.386326
21000,21000,21000,20.866362696,20.866363,887.648713
20500,20500,20500,18.416753876,18.416754,935.574755
20000,20000,20000,13.811955196,13.811955,1158.416732
19500,19500,19500,14.206320162,14.206320,1043.883978
19000,19000,19000,12.647771244,12.647771,1084.617972
18500,18500,18500,10.812227376,10.812227,1171.197160
18000,18000,18000,12.291476111,12.291476,948.950305
17500,17500,17500,11.707320784,11.707321,915.559606
17000,17000,17000,10.861424816,10.861425,904.669522
16500,16500,16500,9.701421310,9.701421,926.075645
16000,16000,16000,8.851184486,8.851184,925.525845
15500,15500,15500,6.991153863,6.991154,1065.310555
15000,15000,15000,7.545614137,7.545614,894.559393
14500,14500,14500,6.917038597,6.917039,881.482720
14000,14000,14000,6.111736532,6.111737,897.944467
13500,13500,13500,5.603973023,5.603973,878.082385
13000,13000,13000,4.534506871,4.534507,969.013859
12500,12500,12500,3.452455481,3.452455,1131.441092
12000,12000,12000,3.115829443,3.115829,1109.174961
11500,11500,11500,2.895730380,2.895730,1050.425834
11000,11000,11000,2.882707808,2.882708,923.437330
10500,10500,10500,2.731177119,2.731177,847.711408
10000,10000,10000,2.537435546,2.537436,788.197361
9500,9500,9500,2.121401709,2.121402,808.309898
9000,9000,9000,1.779207591,1.779208,819.465928
8500,8500,8500,1.542270374,1.542270,796.390841
