m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,48.735524940,48.735525,1108.021306
29500,29500,29500,49.792709016,49.792709,1031.170045
29000,29000,29000,50.259343814,50.259344,970.526002
28500,28500,28500,50.799180375,50.799180,911.397579
28000,28000,28000,48.283466815,48.283467,909.296761
27500,27500,27500,43.779311787,43.779312,950.077749
27000,27000,27000,26.133427285,26.133427,1506.346625
26500,26500,26500,33.107987331,33.107987,1124.177366
26000,26000,26000,25.996416899,25.996417,1352.186347
25500,25500,25500,22.766071996,22.766072,1456.674213
25000,25000,25000,20.498770338,20.498770,1524.481688
24500,24500,24500,20.611595594,20.611596,1426.975892
24000,24000,24000,19.297207448,19.297207,1432.746167
23500,23500,23500,20.014995698,20.014996,1296.815168
23000,23000,23000,22.767026985,22.767027,1068.826422
22500,22500,22500,20.799644160,20.799644,1095.271141
22000,22000,22000,21.290263086,21.290263,1000.269462
21500,21500,21500,20.526477109,20.526477,968.346877
21000,21000,21000,18.891827634,18.891828,980.423936
20500,20500,20500,19.300981349,19.300981,892.713675
20000,20000,20000,16.993184124,16.993184,941.553971
19500,19500,19500,16.152581431,16.152581,918.104023
19000,19000,19000,14.976328384,14.976328,915.978847
18500,18500,18500,15.083466871,15.083467,839.545053
18000,18000,18000,14.150103559,14.150104,824.304921
17500,17500,17500,11.914884840,11.914885,899.610038
17000,17000,17000,10.024887901,10.024888,980.160586
16500,16500,16500,10.429077525,10.429078,861.461618
16000,16000,16000,9.609694464,9.609694,852.472473
15500,15500,15500,6.849133226,6.849133,1087.400369
15000,15000,15000,6.394011634,6.394012,1055.675277
14500,14500,14500,6.732246224,6.732246,905.678402
14000,14000,14000,6.238329233,6.238329,879.722726
13500,13500,13500,4.991809426,4.991809,985.764796
13000,13000,13000,4.584963486,4.584963,958.350053
12500,12500,12500,4.911160553,4.911161,795.382264
12000,12000,12000,4.630462150,4.630462,746.361786
11500,11500,11500,3.411398729,3.411399,891.643060
11000,11000,11000,4.000022425,4.000022,665.496269
10500,10500,10500,2.995491153,2.995491,772.911647
10000,10000,10000,3.140054691,3.140055,636.931581
9500,9500,9500,2.150785579,2.150786,797.266830
9000,9000,9000,1.868407001,1.868407,780.343897
8500,8500,8500,2.244082042,2.244082,547.328474
8000,8000,8000,1.955626185,1.955626,523.617452
7500,7500,7500,1.021276604,1.021277,826.171868
7000,7000,7000,0.786415852,0.786416,872.312019
6500,6500,6500,1.074343231,1.074343,511.242575
6000,6000,6000,0.802394002,0.802394,538.388870
5500,5500,5500,0.298321458,0.298321,1115.407528
5000,5000,5000,0.205764610,0.205765,1214.980555
4500,4500,4500,0.291017102,0.291017,626.251855
4000,4000,4000,0.209462401,0.209462,611.088192
3500,3500,3500,0.103444734,0.103445,828.945048
3000,3000,3000,0.075072585,0.075073,719.303858
2500,2500,2500,0.092544417,0.092544,337.675691
2000,2000,2000,0.059159586,0.059160,270.454901
