m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,51.429066893,51.429067,1049.989884
29500,29500,29500,36.326766329,36.326766,1413.413722
29000,29000,29000,34.198863929,34.198864,1426.304690
28500,28500,28500,32.428973788,32.428974,1427.681625
28000,28000,28000,31.013521038,31.013521,1415.640615
27500,27500,27500,31.554355684,31.554356,1318.161918
27000,27000,27000,28.607783863,28.607784,1376.059054
26500,26500,26500,27.129286187,27.129286,1371.921463
26000,26000,26000,27.014293930,27.014294,1301.237045
25500,25500,25500,30.116599695,30.116600,1101.145227
25000,25000,25000,27.799850509,27.799851,1124.106764
24500,24500,24500,29.579701657,29.579702,994.338967
24000,24000,24000,26.929534829,26.929535,1026.679450
23500,23500,23500,27.345730213,27.345730,949.170119
23000,23000,23000,26.382363304,26.382363,922.358612
22500,22500,22500,24.291886119,24.291886,937.813140
22000,22000,22000,21.898681148,21.898681,972.478655
21500,21500,21500,15.582072123,15.582072,1275.616609
21000,21000,21000,15.622713136,15.622713,1185.581521
20500,20500,20500,14.016788296,14.016788,1229.258061
20000,20000,20000,13.022303342,13.022303,1228.661288
19500,19500,19500,13.843231974,13.843232,1071.263562
19000,19000,19000,12.523160258,12.523160,1095.410401
18500,18500,18500,13.104408817,13.104409,966.335084
18000,18000,18000,12.475918400,12.475918,934.921152
17500,17500,17500,11.572543924,11.572544,926.222451
17000,17000,17000,10.176903686,10.176904,965.519602
16500,16500,16500,9.502053662,9.502054,945.506132
16000,16000,16000,7.597694228,7.597694,1078.221860
15500,15500,15500,5.866926039,5.866926,1269.446717
15000,15000,15000,6.439654289,6.439654,1048.192915
14500,14500,14500,5.952889891,5.952890,1024.250425
14000,14000,14000,5.493587766,5.493588,998.982857
13500,13500,13500,4.960709715,4.960710,991.944758
13000,13000,13000,4.528607230,4.528607,970.276241
12500,12500,12500,4.136813084,4.136813,944.265530
12000,12000,12000,3.686814934,3.686815,937.394489
11500,11500,11500,2.839956184,2.839956,1071.055257
11000,11000,11000,3.547644251,3.547644,750.357085
10500,10500,10500,2.693021883,2.693022,859.721941
10000,10000,10000,2.448819126,2.448819,816.720181
9500,9500,9500,2.140230241,2.140230,801.198846
9000,9000,9000,1.797026038,1.797026,811.340498
8500,8500,8500,1.542487302,1.542487,796.278840
8000,8000,8000,1.305710626,1.305711,784.247275
7500,7500,7500,1.067716490,1.067716,790.237865
7000,7000,7000,0.911526739,0.911527,752.583518
6500,6500,6500,0.787577094,0.787577,697.392045
6000,6000,6000,0.608994983,0.608995,709.365450
5500,5500,5500,0.462749932,0.462750,719.070878
5000,5000,5000,0.341694565,0.341695,731.647575
4500,4500,4500,0.219923216,0.219923,828.698322
4000,4000,4000,0.143384494,0.143384,892.704618
3500,3500,3500,0.096669845,0.096670,887.039800
3000,3000,3000,0.064025674,0.064026,843.411660
2500,2500,2500,0.043686273,0.043686,715.327673
2000,2000,2000,0.029210891,0.029211,547.740909
30000,30000,30000,51.449767282,51.449767,1049.567430
29500,29500,29500,33.659741097,33.659741,1525.405375
29000,29000,29000,31.634132842,31.634133,1541.942061
28500,28500,28500,32.689296854,32.689297,1416.312202
28000,28000,28000,31.132946743,31.132947,1410.210230
27500,27500,27500,30.076480306,30.076480,1382.932763
27000,27000,27000,26.991621133,26.991621,1458.452599
26500,26500,26500,27.071304464,27.071304,1374.859865
26000,26000,26000,24.201647679,24.201648,1452.463091
25500,25500,25500,30.662544532,30.662545,1081.539399
25000,25000,25000,27.640070567,27.640071,1130.604928
24500,24500,24500,29.337332493,29.337332,1002.553658
24000,24000,24000,25.675741114,25.675741,1076.814098
23500,23500,23500,27.326618786,27.326619,949.833940
23000,23000,23000,26.647108961,26.647109,913.194750
22500,22500,22500,24.689602298,24.689602,922.706236
22000,22000,22000,21.933570554,21.933571,970.931748
21500,21500,21500,15.994245370,15.994245,1242.743846
21000,21000,21000,15.576104053,15.576104,1189.129190
20500,20500,20500,12.544542081,12.544542,1373.525625
