m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,130.090799696,130.090800,415.094689
29500,29500,29500,125.471033253,125.471033,409.215965
29000,29000,29000,118.444570265,118.444570,411.821326
28500,28500,28500,111.812165218,111.812165,414.071670
28000,28000,28000,105.133414325,105.133414,417.602722
27500,27500,27500,102.541491556,102.541492,405.628486
27000,27000,27000,96.991079312,96.991079,405.872378
26500,26500,26500,91.612636502,91.612637,406.267644
26000,26000,26000,86.654359904,86.654360,405.657604
25500,25500,25500,81.897196239,81.897196,404.931445
25000,25000,25000,77.747343212,77.747343,401.942995
