m,n,k,elapsed1,elapsed2,GFLOPS
30000,30000,30000,129.948855549,129.948856,415.548100
29500,29500,29500,124.890594430,124.890594,411.117829
29000,29000,29000,118.908576529,118.908577,410.214313
28500,28500,28500,112.264340687,112.264341,412.403883
28000,28000,28000,104.897364656,104.897365,418.542450
27500,27500,27500,101.644328705,101.644329,409.208763
27000,27000,27000,97.567240717,97.567241,403.475590
26500,26500,26500,92.113183273,92.113183,404.059969
26000,26000,26000,86.345858984,86.345859,407.106958
25500,25500,25500,82.125221613,82.125222,403.807130
25000,25000,25000,78.182608434,78.182608,399.705262
24500,24500,24500,72.029737427,72.029737,408.334822
24000,24000,24000,66.643094858,66.643095,414.866687
23500,23500,23500,63.940663314,63.940663,405.934951
23000,23000,23000,59.688196262,59.688196,407.685297
22500,22500,22500,55.674934195,55.674934,409.183241
22000,22000,22000,51.321387141,51.321387,414.953710
21500,21500,21500,48.118804852,48.118805,413.076552
21000,21000,21000,44.479465401,44.479465,416.416875
20500,20500,20500,41.375757612,41.375758,416.433462
20000,20000,20000,37.857193341,37.857193,422.640946
19500,19500,19500,35.198036678,35.198037,421.323216
19000,19000,19000,32.635694745,32.635695,420.337306
18500,18500,18500,30.125861938,30.125862,420.344820
18000,18000,18000,27.536716194,27.536716,423.579918
17500,17500,17500,25.528545309,25.528545,419.873121
17000,17000,17000,22.887346850,22.887347,429.320186
16500,16500,16500,21.383577904,21.383578,420.147182
16000,16000,16000,19.504473557,19.504474,420.006209
15500,15500,15500,17.980564187,17.980564,414.211141
15000,15000,15000,16.439871182,16.439871,410.587159
14500,14500,14500,14.732744558,14.732745,413.857036
14000,14000,14000,13.317665143,13.317665,412.084246
13500,13500,13500,12.155930775,12.155931,404.802404
13000,13000,13000,10.749392849,10.749393,408.767273
12500,12500,12500,9.721479158,9.721479,401.816425
12000,12000,12000,8.477084903,8.477085,407.687317
11500,11500,11500,7.515175800,7.515176,404.747684
11000,11000,11000,6.527202620,6.527203,407.831678
10500,10500,10500,5.553335663,5.553336,416.911590
10000,10000,10000,4.679854912,4.679855,427.363676
9500,9500,9500,4.008045511,4.008046,427.826978
9000,9000,9000,3.363590908,3.363591,433.465317
8500,8500,8500,2.806273344,2.806273,437.680101
8000,8000,8000,2.287809574,2.287810,447.589700
7500,7500,7500,1.910590647,1.910591,441.617361
7000,7000,7000,1.499521599,1.499522,457.479239
6500,6500,6500,1.225877552,1.225878,448.046380
6000,6000,6000,0.905749098,0.905749,476.953277
5500,5500,5500,0.707484377,0.707484,470.328407
5000,5000,5000,0.538074146,0.538074,464.619982
4500,4500,4500,0.384666969,0.384667,473.786456
4000,4000,4000,0.271821854,0.271822,470.896648
3500,3500,3500,0.184444116,0.184444,464.910466
3000,3000,3000,0.117649782,0.117650,458.989376
2500,2500,2500,0.069985256,0.069985,446.522622
2000,2000,2000,0.038493536,0.038494,415.654202
30000,30000,30000,129.846124879,129.846125,415.876870
29500,29500,29500,124.697405438,124.697405,411.754758
29000,29000,29000,118.843021984,118.843022,410.440589
28500,28500,28500,111.233320372,111.233320,416.226449
28000,28000,28000,105.046658786,105.046659,417.947610
27500,27500,27500,101.829293510,101.829294,408.465468
27000,27000,27000,96.653431994,96.653432,407.290245
26500,26500,26500,91.680555182,91.680555,405.966673
26000,26000,26000,86.225655017,86.225655,407.674491
25500,25500,25500,81.977098495,81.977098,404.536762
25000,25000,25000,77.597438880,77.597439,402.719477
24500,24500,24500,71.769809043,71.769809,409.813686
24000,24000,24000,67.099505064,67.099505,412.044768
23500,23500,23500,64.091740028,64.091740,404.978083
23000,23000,23000,59.844405932,59.844406,406.621131
22500,22500,22500,55.648088182,55.648088,409.380641
22000,22000,22000,50.845741583,50.845742,418.835469
21500,21500,21500,50.804041853,50.804042,391.243477
21000,21000,21000,45.870037521,45.870038,403.792999
20500,20500,20500,40.940301764,40.940302,420.862799
20000,20000,20000,37.916003229,37.916003,421.985406
19500,19500,19500,37.422482410,37.422482,396.279163
19000,19000,19000,41.630590188,41.630590,329.517308
18500,18500,18500,37.000229322,37.000229,342.247879
18000,18000,18000,34.609621625,34.609622,337.016109
17500,17500,17500,31.218229963,31.218230,343.349063
17000,17000,17000,30.001598416,30.001598,327.515883
16500,16500,16500,26.208653054,26.208653,342.797090
16000,16000,16000,21.593910103,21.593910,379.366218
15500,15500,15500,17.944340555,17.944341,415.047295
15000,15000,15000,16.422858194,16.422858,411.012500
14500,14500,14500,14.795434997,14.795435,412.103463
14000,14000,14000,13.341389882,13.341390,411.351445
13500,13500,13500,12.094382292,12.094382,406.862449
13000,13000,13000,10.688313775,10.688314,411.103200
12500,12500,12500,9.800736073,9.800736,398.567003
12000,12000,12000,8.500430245,8.500430,406.567656
11500,11500,11500,7.494422230,7.494422,405.868512
11000,11000,11000,6.545215711,6.545216,406.709285
10500,10500,10500,5.608829207,5.608829,412.786682
10000,10000,10000,4.706173141,4.706173,424.973740
9500,9500,9500,3.994060916,3.994061,429.324949
9000,9000,9000,3.424779170,3.424779,425.720879
8500,8500,8500,2.796139601,2.796140,439.266337
8000,8000,8000,2.325165107,2.325165,440.398833
7500,7500,7500,1.912617710,1.912618,441.149319
7000,7000,7000,1.493241621,1.493242,459.403214
6500,6500,6500,1.212175721,1.212176,453.110874
6000,6000,6000,0.915444008,0.915444,471.902155
5500,5500,5500,0.728736071,0.728736,456.612501
5000,5000,5000,0.525568810,0.525569,475.675107
4500,4500,4500,0.383413136,0.383413,475.335827
4000,4000,4000,0.273351787,0.273352,468.261069
3500,3500,3500,0.184036651,0.184037,465.939798
3000,3000,3000,0.117651956,0.117652,458.980894
2500,2500,2500,0.070337903,0.070338,444.283930
2000,2000,2000,0.038474044,0.038474,415.864784
30000,30000,30000,130.070581248,130.070581,415.159212
29500,29500,29500,124.361303239,124.361303,412.867577
29000,29000,29000,118.240135296,118.240135,412.533357
28500,28500,28500,112.087320604,112.087321,413.055194
28000,28000,28000,105.284134574,105.284135,417.004900
27500,27500,27500,102.261921952,102.261922,406.737417
27000,27000,27000,96.713097397,96.713097,407.038975
26500,26500,26500,91.635720361,91.635720,406.165302
26000,26000,26000,86.423094994,86.423095,406.743128
25500,25500,25500,81.720518157,81.720518,405.806898
25000,25000,25000,77.712104800,77.712105,402.125256
24500,24500,24500,71.803509303,71.803509,409.621344
24000,24000,24000,66.667999181,66.667999,414.711711
23500,23500,23500,64.131852856,64.131853,404.724779
23000,23000,23000,59.709455991,59.709456,407.540139
22500,22500,22500,55.766501653,55.766502,408.511370
22000,22000,22000,51.082188319,51.082188,416.896783
21500,21500,21500,48.293282366,48.293282,411.584159
21000,21000,21000,44.730995954,44.730996,414.075287
